"ma_GeV","gtau"
0.159441815,0.13604296341149805
0.163589207,0.11668149091206254
0.172210441,0.10007406633676877
0.17668997,0.08583168901360229
0.186001621,0.07591081586493238
0.195804001,0.06713508869884524
0.21148463,0.05757784044426194
0.234362691,0.050918440516552345
0.27340281,0.04936911149018007
0.310860153,0.05012079615518616
0.353449309,0.050880889016986126
0.412326868,0.05407737537714701
0.456931713,0.05574050504237566
0.512905286,0.05657012656245404
0.575735552,0.05829133497682893
0.689112238,0.060945667244614116
0.846270678,0.06463774365974506
1.012922477,0.06745635991728767
1.243928846,0.07131773928774422
1.608124626,0.07728125681515512
2.303846457,0.08578356825445967
3.135324729,0.09297150987632416
3.850364626,0.10918742123009836
4.54980271,0.14121322272345832
5.376297237,0.18604945655845845
6.271880421,0.2490144513691211
7.131154591,0.3318670065981232
7.902591204,0.447517568509907
8.319061779,0.5790510173861277
8.645755985,0.7415442714902197
8.870648902,0.9111868898887915
9.101391722,1.1547179336421876
9.33813661,1.4193133653809555
9.458808462,1.8347309412829744
