ma_GeV,cl+gg0,cl-gg0
4.101423487544484,55.0026896147268,43.44932174962246
4.101423487544484,55.0026896147268,43.44932174962246
4.170818505338079,47.30759073099899,38.553206519670326
4.234875444839858,54.37661507169914,45.522497769021264
4.304270462633452,76.65122250997698,65.94935243120027
4.362989323843417,97.56762404053049,85.79732946502625
4.427046263345196,120.97048180457719,108.80278681987984
4.491103202846976,121.06540863780958,111.2376009379389
4.56049822064057,111.84908137859382,105.0433132180194
4.613879003558719,115.36985850848552,110.09997162216544
4.677935943060498,133.72157591380815,129.978749349079
4.731316725978648,157.4061849715224,155.2556569413844
4.790035587188612,186.7592891165725,187.07312936330194
4.843416370106762,203.3799525740412,206.48390224739543
4.902135231316726,215.72216400993727,222.15323513318097
4.955516014234876,222.43148174442751,231.92848952084503
5.0035587188612105,223.78245784998032,235.87157083642228
5.062277580071174,218.29226916608513,233.03265395916497
5.104982206405694,212.06610101567193,228.42063105066438
5.158362989323844,197.64031576251747,215.2008321424267
5.2064056939501775,188.2831415066151,206.9545012650943
5.259786476868327,183.0822535368597,203.28830546461953
5.307829181494662,164.62702510244347,184.4177756823462
5.387900355871886,150.08058531157235,170.51591762311287
5.387900355871886,150.08058531157235,170.51591762311287
5.441281138790036,148.61462771071427,170.3832838833477
5.48932384341637,153.1911448952934,177.0201095611423
5.569395017793594,170.74676176398216,199.81527586123661
5.569395017793594,170.74676176398216,199.81527586123661
5.628113879003559,173.04118252711413,204.30751201857873
5.665480427046264,177.45181089321287,210.66927662643423
5.702846975088968,167.10408122046684,199.45338396882696
5.750889679715303,149.13378246349848,179.20748833645743
5.788256227758007,139.38820074755807,168.3547918384894
5.830960854092527,115.08276572130764,139.7937515020317
5.9163701067615655,,
5.969750889679715,,
5.969750889679715,,
6.02846975088968,,
6.06049822064057,,
6.103202846975089,119.10074942767727,149.56899537497773
6.135231316725979,153.8798662098901,193.94009433158408
6.167259786476869,159.70775799405558,201.99612241196988
6.215302491103203,117.67914092346012,149.6108340596668
6.258007117437723,65.3744897533199,83.48712133780393
6.279359430604982,,
6.316725978647687,,
6.359430604982206,,
6.380782918149466,78.76814410952592,101.83909257763085
6.418149466192171,143.93146740902233,186.7580069898673
6.45017793594306,121.17786278080916,157.70983079116164
6.5088967971530245,136.96405281260425,179.22129285825244
6.5088967971530245,136.96405281260425,179.22129285825244
6.551601423487544,145.43729234671233,191.03828090028782
6.5836298932384345,153.30055742023544,201.93426426743312
6.642348754448399,156.97986090409253,207.82451648507416
6.642348754448399,156.97986090409253,207.82451648507416
6.674377224199288,139.51627896510936,185.20048586467865
6.7064056939501775,141.40817097643014,188.20739457950773
6.759786476868328,164.97419476044894,220.51808478432065
6.786476868327402,173.22035667367146,232.02820865196375
6.786476868327402,173.22035667367146,232.02820865196375
6.8185053380782925,181.87974052972706,244.2338969212436
6.850533807829182,196.45933174371058,264.45769126108917
6.9039145907473305,239.28228356877554,323.38901408693334
6.9039145907473305,239.28228356877554,323.38901408693334
6.930604982206406,257.02825670688713,348.05144109543414
6.98932384341637,227.6045977321773,309.50548917741014
6.98932384341637,227.6045977321773,309.50548917741014
7.0160142348754455,212.63880681064887,289.6951849656208
7.069395017793594,242.82025973247147,332.02719286764733
7.069395017793594,242.82025973247147,332.02719286764733
7.133451957295374,245.05323726380814,336.51227344937945
7.133451957295374,245.05323726380814,336.51227344937945
7.165480427046264,249.31106133868008,343.07219493572865
7.2188612099644125,298.3175389281887,411.9043958148883
7.2188612099644125,298.3175389281887,411.9043958148883
7.261565836298932,357.7627893511939,495.2944651540112
7.282918149466193,399.43490446512413,553.7075436010996
7.330960854092527,396.94927016424316,551.8502203023901
7.357651245551601,378.5976137007051,527.1650416496288
7.411032028469751,327.96680101726685,458.0750380719202
7.427046263345195,304.7358037366404,426.0148403375694
7.443060498220641,286.0882780708468,400.306532057519
7.443060498220641,286.0882780708468,400.306532057519
7.4644128113879,210.41246987367109,294.7685079032374
7.50711743772242,68.4230550639694,96.07928269655649
7.571174377224199,202.09473439429797,284.75344662093346
7.571174377224199,202.09473439429797,284.75344662093346
7.587188612099644,297.8897877908027,420.0819120348324
7.645907473309609,249.8231713135724,353.36438417657826
7.645907473309609,249.8231713135724,353.36438417657826
7.683274021352313,299.824620188274,424.88611555061317
7.7259786476868335,329.60457627368544,468.07128207652914
7.752669039145907,382.73835842003814,544.2294875349583
7.779359430604982,463.93458106491283,660.5274321216775
7.827402135231317,433.03929282229166,617.9319649088816
7.864768683274022,428.4210870875691,612.3928778295907
7.896797153024911,440.2396276192854,630.1981054738152
7.923487544483986,420.1472333916893,602.1517308391739
7.944839857651246,370.78754839415956,531.9097611580838
7.976868327402135,197.08214682057536,283.1162628143031
7.976868327402135,197.08214682057536,283.1162628143031
7.992882562277581,,
8.040925266903916,,
8.062277580071175,213.6141848189197,307.9747748101854
8.09964412811388,247.82778393301342,357.8498132681782
8.142348754448399,283.6041245024008,410.2132441608344
8.179715302491104,340.68228756134505,493.50014953164276
8.222419928825623,282.22757177331454,409.5013755097904
8.270462633451958,230.921353910011,335.66853034924003
8.270462633451958,230.921353910011,335.66853034924003
8.275800711743774,444.94644811197367,646.9057412386688
8.307829181494661,539.7461047504389,785.6670420810048
8.334519572953738,538.7308715391431,784.9548876452999
8.334519572953738,538.7308715391431,784.9548876452999
8.371886120996441,522.8206793980057,762.7987083066912
8.371886120996441,522.8206793980057,762.7987083066912
8.40391459074733,721.1380700586038,1053.3392919052972
8.419928825622776,819.7715355945215,1198.0811372703886
8.435943060498222,914.8289123417751,1337.7500200698441
