ma_GeV,c_g2tau_ATLAS,g2tau_BelleII
0.001,388.7771815048647,7.131568066647927
0.0010233717986325203,388.77718871610347,7.131567512781805
0.0010472898382363584,388.77719679808666,7.13156696222375
0.0010717668854455034,388.7772058009661,7.131566415656596
0.001096816005273138,388.777215777314,7.131565873801985
0.001122450568085307,388.7772267822312,7.131565337422185
0.0011486842567375536,388.7772388734602,7.131564807322006
0.0011755310738783698,388.7772521115021,7.131564284350774
0.0012030053494233243,388.77726655974016,7.131563769404427
0.0012311217482038907,388.7772822845642,7.131563263427617
0.0012598952777950272,388.7772993555078,7.131562767416056
0.0012893412965257157,388.7773178453852,7.1315622824188365
0.001319475521676706,388.77733783043453,7.131561809540886
0.0013503140378698735,388.77735939047005,7.131561349945561
0.0013818733056536322,388.7773826090388,7.131560904857334
0.001414170170289024,388.77740757358373,7.131560475564594
0.0014472218707411344,388.7774343756145,7.131560063422585
0.0014810460488806755,388.7774631108845,7.13155966985644
0.0015156607589006028,388.77749387957635,7.131559296364391
0.0015510844769528406,388.77752678649426,7.131558944521103
0.0015873361110102086,388.7775619412659,7.13155861598114
0.001624435010958867,388.77759945854916,7.131558312482576
0.001662400978926612,388.77763945825313,7.131558035850809
0.0017012542798525892,388.77768206576206,7.131557788002471
0.0017410156523040153,388.77772741217296,7.131557570949556
0.0017817063195457307,388.77777563454316,7.131557386803746
0.0018233480008684403,388.77782687614365,7.13155723778082
0.001865962923181746,388.77788128672915,7.131557126205395
0.0019095738328780967,388.7779390228116,7.1315570545157065
0.0019542040079740535,388.77800024795584,7.131557025268789
0.001999877270535287,388.7780651330751,7.1315570411456735
0.00204661799939199,388.7781338567475,7.131557104956958
0.0020944511431514688,388.7782066055425,7.131557219648534
0.0021434022335148567,388.7782835743594,7.131557388307578
0.00219349739890506,388.7783649667835,7.131557614168811
0.002244763378413224,388.77845099545095,7.131557900620974
0.0022972275360711512,388.77854188243657,7.131558251213659
0.0023509178754572866,388.7786378596482,7.131558669664317
0.002405863054644067,388.7787391692449,7.131559159865658
0.0024620924014946257,388.77884606406775,7.131559725893286
0.0025196359293170162,388.778958808089,7.131560372013713
0.002578524352884274,388.77907767688055,7.131561102692644
0.0026387891048289345,388.7792029581009,7.131561922603677
0.0027004623524206823,388.77933495199954,7.131562836637278
0.0027635770147361603,388.77947397194544,7.1315638499102025
0.0028281667802300325,388.77962034497455,7.131564967775264
0.0028942661247167516,388.77977441235817,7.1315661958315
0.0029619103297725533,388.7799365301969,7.131567539934769
0.003031135501567579,388.7801070700377,7.131569006208823
0.003101978590138097,388.7802864195128,7.131570601056703
0.0031744774091091933,388.7804749830082,7.131572331172762
0.003248670655878375,388.7806731823561,7.131574203555053
0.0033245979322709418,388.78088145755567,7.131576225518272
0.003402299765678068,388.7811002675212,7.131578404707208
0.0034818176306889667,388.78133009086355,7.13158074911076
0.003563193971228584,388.78157142669886,7.131583267076507
0.0036464722232127486,388.78182479548985,7.131585967325822
0.0037316968377327556,388.782090739921,7.131588858969655
0.003818913304781854,388.7823698258086,7.131591951524904
0.003908168177536264,388.7826626430464,7.131595254931492
0.003999509097203665,388.7829698065869,7.13159877957003
0.004092984818452442,388.78329195746215,7.131602536280296
0.004188645235435271,388.78362976384545,7.131606536380343
0.004286541408420925,388.7839839221526,7.131610791686456
0.0043867255910484985,388.7843551581867,7.131615314533814
0.004489251258218608,388.784744228329,7.131620117798034
0.0045941731346364765,388.78515192077305,7.131625214917521
0.004701547224022129,388.78557905680776,7.131630619916678
0.0048114308390032594,388.78602649215287,7.131636347430123
0.004923882631706742,388.7864951183406,7.131642412727699
0.00503896262506515,388.7869858641557,7.131648831740608
0.005156732244854963,388.7874996971271,7.13165562108846
0.0052772543524835375,388.78803762507795,7.13166279810741
0.005400593278542374,388.7886006977362,7.1316703808793855
0.005526814857144603,388.7891900084059,7.131678388262461
0.005655986461065008,388.78980669569967,7.13168683992232
0.005788177037701274,388.79045194534154,7.131695756365043
0.005923457145875806,388.79112699203455,7.131705158971072
0.006061898993497572,388.7918331214012,7.131715070030492
0.006203576476104275,388.792571671996,7.131725512779689
0.006348565216305217,388.79334403739443,7.1317365114393585
0.006496942604146125,388.79415166836026,7.131748091253991
0.006648787838417263,388.79499607509376,7.131760278532834
0.006804181968927101,388.79587882956497,7.1317731006924125
0.006963207939763883,388.7968015679342,7.131786586300677
0.007125950633568411,388.79776599305956,7.1318007651227155
0.007292496916841445,388.79877387710496,7.131815668168359
0.007462935686310138,388.79982706423493,7.131831327741345
0.007637357916378027,388.8009274734177,7.131847777490515
0.007815856707684091,388.8020771013268,7.1318650524627865
0.007998527336796709,388.803278025352,7.131883189158166
0.008185467307069028,388.8045324067184,7.131902225586756
0.008376776400682925,388.8058424937211,7.131922201327866
0.008572556731909325,388.8072106250792,7.131943157591358
0.008772912801613356,388.80863923340826,7.131965137281142
0.008977951553033322,388.81013084882414,7.131988185061131
0.00918778242886334,388.81168810267144,7.132012347423447
0.009402517429670132,388.8133137313913,7.132037672759254
0.009622271173675135,388.8150105805257,7.132064211432051
0.009847160957933775,388.81678160886764,7.132092015853704
0.010077306820944612,388.8186298927582,7.132121140563158
0.010312831606721848,388.8205586305369,7.132151642307991
0.010553861030365236,388.8225711471529,7.132183580128943
0.010800523745162528,388.82467089893595,7.132217015447374
0.011052951411260215,388.8268614785408,7.132252012155945
0.011311278765939214,388.8291466200616,7.132288636712422
0.011575643695533041,388.83153020432695,7.13232695823683
0.011846187309026836,388.8340162643845,7.132367048612103
0.012123054013376522,388.836608991172,7.132408982588166
