ma_GeV,c_g2tau_ATLAS,g2tau_BelleII
0.001,389.1288342246668,7.131568066647927
0.0010233717986325203,389.12880400336394,7.131567512781805
0.0010472898382363584,389.12877396256334,7.13156696222375
0.0010717668854455034,389.12874413952335,7.131566415656596
0.001096816005273138,389.12871457361985,7.131565873801985
0.001122450568085307,389.1286853064455,7.131565337422185
0.0011486842567375536,389.1286563819141,7.131564807322006
0.0011755310738783698,389.1286278463685,7.131564284350774
0.0012030053494233243,389.1285997486949,7.131563769404427
0.0012311217482038907,389.1285721404376,7.131563263427617
0.0012598952777950272,389.12854507592687,7.131562767416056
0.0012893412965257157,389.1285186124057,7.1315622824188365
0.001319475521676706,389.12849281016366,7.131561809540886
0.0013503140378698735,389.1284677326783,7.131561349945561
0.0013818733056536322,389.1284434467624,7.131560904857334
0.001414170170289024,389.1284200227157,7.131560475564594
0.0014472218707411344,389.12839753448617,7.131560063422585
0.0014810460488806755,389.12837605983515,7.13155966985644
0.0015156607589006028,389.12835568051264,7.131559296364391
0.0015510844769528406,389.12833648243907,7.131558944521103
0.0015873361110102086,389.1283185558945,7.13155861598114
0.001624435010958867,389.1283019957157,7.131558312482576
0.001662400978926612,389.1282869015041,7.131558035850809
0.0017012542798525892,389.1282733778395,7.131557788002471
0.0017410156523040153,389.12826153450476,7.131557570949556
0.0017817063195457307,389.1282514867224,7.131557386803746
0.0018233480008684403,389.12824335539455,7.13155723778082
0.001865962923181746,389.1282372673625,7.131557126205395
0.0019095738328780967,389.1282333556667,7.1315570545157065
0.0019542040079740535,389.1282317598299,7.131557025268789
0.001999877270535287,389.1282326261405,7.1315570411456735
0.00204661799939199,389.128236107957,7.131557104956958
0.0020944511431514688,389.1282423660195,7.131557219648534
0.0021434022335148567,389.12825156877784,7.131557388307578
0.00219349739890506,389.12826389273204,7.131557614168811
0.002244763378413224,389.1282795227864,7.131557900620974
0.0022972275360711512,389.1282986526217,7.131558251213659
0.0023509178754572866,389.12832148507806,7.131558669664317
0.002405863054644067,389.1283482325584,7.131559159865658
0.0024620924014946257,389.128379117445,7.131559725893286
0.0025196359293170162,389.128414372537,7.131560372013713
0.002578524352884274,389.1284542415024,7.131561102692644
0.0026387891048289345,389.1284989793527,7.131561922603677
0.0027004623524206823,389.1285488529326,7.131562836637278
0.0027635770147361603,389.1286041414341,7.1315638499102025
0.0028281667802300325,389.1286651369296,7.131564967775264
0.0028942661247167516,389.12873214492663,7.1315661958315
0.0029619103297725533,389.1288054849457,7.131567539934769
0.003031135501567579,389.12888549112495,7.131569006208823
0.003101978590138097,389.12897251284176,7.131570601056703
0.0031744774091091933,389.1290669153685,7.131572331172762
0.003248670655878375,389.1291690805489,7.131574203555053
0.0033245979322709418,389.12927940750404,7.131576225518272
0.003402299765678068,389.1293983133663,7.131578404707208
0.0034818176306889667,389.12952623404414,7.13158074911076
0.003563193971228584,389.12966362501714,7.131583267076507
0.0036464722232127486,389.1298109621607,7.131585967325822
0.0037316968377327556,389.1299687426072,7.131588858969655
0.003818913304781854,389.13013748563924,7.131591951524904
0.003908168177536264,389.13031773362155,7.131595254931492
0.003999509097203665,389.1305100529646,7.13159877957003
0.004092984818452442,389.13071503513294,7.131602536280296
0.004188645235435271,389.1309332976881,7.131606536380343
0.004286541408420925,389.13116548537687,7.131610791686456
0.0043867255910484985,389.1314122712595,7.131615314533814
0.004489251258218608,389.13167435788466,7.131620117798034
0.0045941731346364765,389.13195247850905,7.131625214917521
0.004701547224022129,389.1322473983642,7.131630619916678
0.0048114308390032594,389.13255991597725,7.131636347430123
0.004923882631706742,389.1328908645363,7.131642412727699
0.00503896262506515,389.1332411133156,7.131648831740608
0.005156732244854963,389.1336115691522,7.13165562108846
0.0052772543524835375,389.1340031779809,7.13166279810741
0.005400593278542374,389.1344169264289,7.1316703808793855
0.005526814857144603,389.13485384347325,7.131678388262461
0.005655986461065008,389.1353150021578,7.13168683992232
0.005788177037701274,389.13580152138184,7.131695756365043
0.005923457145875806,389.13631456775374,7.131705158971072
0.006061898993497572,389.1368553575158,7.131715070030492
0.006203576476104275,389.1374251585446,7.131725512779689
0.006348565216305217,389.1380252924247,7.1317365114393585
0.006496942604146125,389.1386571366035,7.131748091253991
0.006648787838417263,389.139322126626,7.131760278532834
0.006804181968927101,389.1400217584548,7.1317731006924125
0.006963207939763883,389.14075759087956,7.131786586300677
0.007125950633568411,389.1415312480106,7.1318007651227155
0.007292496916841445,389.14234442187694,7.131815668168359
0.007462935686310138,389.14319887510845,7.131831327741345
0.007637357916378027,389.1440964437299,7.131847777490515
0.007815856707684091,389.1450390400507,7.1318650524627865
0.007998527336796709,389.14602865566724,7.131883189158166
0.008185467307069028,389.14706736457333,7.131902225586756
0.008376776400682925,389.14815732638516,7.131922201327866
0.008572556731909325,389.1493007896889,7.131943157591358
0.008772912801613356,389.15050009550527,7.131965137281142
0.008977951553033322,389.15175768088824,7.131988185061131
0.00918778242886334,389.1530760826468,7.132012347423447
0.009402517429670132,389.1544579412096,7.132037672759254
0.009622271173675135,389.1559060046244,7.132064211432051
0.009847160957933775,389.15742313270664,7.132092015853704
0.010077306820944612,389.1590123013342,7.132121140563158
0.010312831606721848,389.1606766068975,7.132151642307991
0.010553861030365236,389.1624192709117,7.132183580128943
0.010800523745162528,389.1642436447887,7.132217015447374
0.011052951411260215,389.1661532147852,7.132252012155945
0.011311278765939214,389.16815160712093,7.132288636712422
0.011575643695533041,389.17024259327985,7.13232695823683
0.011846187309026836,389.172430095502,7.132367048612103
0.012123054013376522,389.17471819246293,7.132408982588166
