ma_GeV,c_g2e_Cs
0.001,59.37126195978793
0.0010233717986325203,60.2077984498728
0.0010472898382363584,61.07391324388653
0.0010717668854455034,61.97108556801199
0.001096816005273138,62.90090383647505
0.001122450568085307,63.86507653406342
0.0011486842567375536,64.86544446325225
0.0011755310738783698,65.9039945633656
0.0012030053494233243,66.98287554649828
0.0012311217482038907,68.10441564009037
0.0012598952777950272,69.27114278073334
0.0012893412965257157,70.4858076707278
0.001319475521676706,71.75141019080502
0.0013503140378698735,73.07122976327916
0.0013818733056536322,74.44886038506472
0.001414170170289024,75.88825120563334
0.0014472218707411344,77.39375372008911
0.0014810460488806755,78.97017689336423
0.0015156607589006028,80.6228518440014
0.0015510844769528406,82.35770811415385
0.0015873361110102086,84.18136406638035
0.001624435010958867,86.10123461305635
0.001662400978926612,88.125660355834
0.0017012542798525892,90.26406336144557
0.0017410156523040153,92.52713633238213
0.0017817063195457307,94.9270739910343
0.0018233480008684403,97.4778583012711
0.001865962923181746,100.19561301083026
0.0019095738328780967,103.09904837997254
0.0019542040079740535,106.21002456910175
0.001999877270535287,109.5542730682327
0.00204661799939199,113.16233146307184
0.0020944511431514688,117.07077044762337
0.0021434022335148567,121.32382773558722
0.00219349739890506,125.97561881257646
0.002244763378413224,131.09318206704822
0.0022972275360711512,136.7607584438208
0.0023509178754572866,143.08594502887007
0.002405863054644067,150.2087776261306
0.0024620924014946257,158.31554852921468
0.0025196359293170162,167.66058714248186
0.002578524352884274,178.60207034537592
0.0026387891048289345,191.66397911062754
0.0027004623524206823,207.65026318366037
0.0027635770147361603,227.87274569943682
0.0028281667802300325,254.65676662026544
0.0028942661247167516,292.64049365585777
0.0029619103297725533,352.94238793523834
0.003031135501567579,472.908507408503
0.003101978590138097,996.4606169342643
