ma_GeV,c_g2mu
5.3366992312063095,531.206420677952
5.722367659350217,353.7961113813379
6.1359072734131725,294.43779880513597
6.579332246575681,264.39338472203934
7.054802310718643,246.87785983452477
7.564633275546289,236.11494310486634
8.111308307896872,229.69872266510393
8.697490026177835,225.64157840799712
9.326033468832199,223.7774850751135
10.0,223.5627341218018
10.722672220103231,224.65699850914547
11.497569953977356,226.84676527781457
12.32846739442066,229.98959214228722
13.219411484660293,233.98845425327747
14.174741629268055,238.7773076009152
15.199110829529339,244.31194878540134
16.297508346206442,250.56440779968182
17.47528400007684,257.5189181981215
18.73817422860384,265.1695598464675
20.09233002565047,273.5181371477927
21.544346900318846,282.5730537639928
23.101297000831604,292.3482869154541
24.770763559917114,302.86281127485535
26.560877829466868,314.1400828830426
28.48035868435802,326.2077745502396
30.538555088334157,339.09740208692267
32.74549162877728,352.84442893166346
35.11191734215131,367.4880368002027
37.64935806792467,383.07118934432526
40.370172585965555,399.64062001722056
43.287612810830595,417.24694887903706
46.4158883361278,435.94475186728215
49.770235643321115,455.79273460725193
53.3669923120631,476.8538032682851
57.22367659350217,499.19549212583183
61.35907273413173,522.8898370515979
65.79332246575683,548.0139161984972
70.54802310718645,574.6497973425833
75.64633275546291,602.8851808206897
81.11308307896873,632.8134994223859
86.97490026177834,664.5342604683292
93.26033468832199,698.153616861646
100.0,733.7839050990087
107.22672220103232,771.5456920356982
114.97569953977356,811.5666167719075
123.28467394420659,853.9826695316518
132.19411484660287,898.938521546245
141.74741629268047,946.5880807037639
151.99110829529332,997.0950677028743
162.9750834620645,1050.633514146101
174.7528400007685,1107.389131836043
187.3817422860385,1167.5584480346076
200.9233002565048,1231.35129342926
215.44346900318845,1298.9905445186928
231.01297000831605,1370.713364926438
247.70763559917114,1446.771985489072
265.6087782946687,1527.4347509114566
284.8035868435802,1612.9871318754501
305.3855508833416,1703.732736051518
327.45491628777285,1799.994618038927
351.1191734215131,1902.116318766154
376.49358067924675,2010.4639419291243
403.70172585965537,2125.4259473526217
432.8761281083057,2247.416547460828
464.1588833612782,2376.875904134867
497.7023564332114,2514.272777682798
533.6699231206312,2660.1061669209457
572.236765935022,2814.9063583246234
613.5907273413176,2979.2383989116006
657.9332246575682,3153.704422158958
705.4802310718645,3338.9428200496045
756.463327554629,3535.635061852396
811.1308307896873,3744.5060617244703
869.7490026177834,3966.3259011421324
932.60334688322,4201.919384534666
1000.0,4452.158385077804
