ma_GeV,c_g2e_Be
0.0031744774091091933,415.22870978181317
0.003248670655878375,268.72278002104184
0.0033245979322709418,214.77548874612827
0.003402299765678068,184.76103601326426
0.0034818176306889667,165.07548261076644
0.003563193971228584,150.94200267728857
0.0036464722232127486,140.19412767177926
0.0037316968377327556,131.68878017101412
0.003818913304781854,124.75856903940513
0.003908168177536264,118.98434571363603
0.003999509097203665,114.08792339008521
0.004092984818452442,109.8764960107104
0.004188645235435271,106.21168216749325
0.004286541408420925,102.99126118790849
0.0043867255910484985,100.13787848212237
0.004489251258218608,97.59178111352782
0.0045941731346364765,95.30598814890483
0.004701547224022129,93.24298673238037
0.0048114308390032594,91.37241540193504
0.004923882631706742,89.6694040566366
0.00503896262506515,88.11336156523875
0.005156732244854963,86.68707489739117
0.0052772543524835375,85.37602944565324
0.005400593278542374,84.1678895565536
0.005526814857144603,83.05209567574343
0.005655986461065008,82.01954924779808
0.005788177037701274,81.06236309061404
0.005923457145875806,80.17366197176128
0.006061898993497572,79.34742198712681
0.006203576476104275,78.57833979801923
0.006348565216305217,77.86172574628205
0.006496942604146125,77.1934156288312
0.006648787838417263,76.5696975171567
0.006804181968927101,75.98725067465998
0.006963207939763883,75.44309420700392
0.007125950633568411,74.93454363983643
0.007292496916841445,74.45917438954741
0.007462935686310138,74.01479019762054
0.007637357916378027,73.59939635565298
0.007815856707684091,73.21117666983093
0.007998527336796709,72.84847335842485
0.008185467307069028,72.50977006740372
0.008376776400682925,72.19367644242716
0.008572556731909325,71.898915516758
0.008772912801613356,71.62431172808849
0.008977951553033322,71.36878117797704
0.00918778242886334,71.13132246958867
0.009402517429670132,70.91100919051895
0.009622271173675135,70.7069827102017
0.009847160957933775,70.51844587367408
0.010077306820944612,70.34465768503311
0.010312831606721848,70.18492911537352
0.010553861030365236,70.03861677149516
0.010800523745162528,69.90512077602936
0.011052951411260215,69.78388114826059
0.011311278765939214,69.67437344493703
0.011575643695533041,69.57610638245293
0.011846187309026836,69.48862005192713
0.012123054013376522,69.41148238468016
0.012406391590588319,69.34428778297664
0.012696351276599734,69.28665480660875
0.012993087842004158,69.23822483579934
0.013296759674662127,69.19866055205624
0.013607528864243339,69.16764229724963
0.013925561288744634,69.14487113251704
0.014251026703029985,69.13006274905099
0.014584098829439862,69.12295026211346
0.014924955450518298,69.12328014005516
0.01527377850390714,69.13081451320366
0.015630754179458167,69.14532568390116
0.01599607301861488,69.16660128963039
0.016369930016117026,69.19443825480144
0.016752524724082157,69.22864585073646
0.017144061358519713,69.26903925992457
0.017544748908334597,69.31544911683775
0.017954801246878312,69.36771015093593
0.018374437246107267,69.42566717552484
0.018803880893409158,69.48917659879561
0.0192433614111598,69.5580941567607
0.01969311337907423,69.63229024233253
0.02015337685941733,69.71164047940688
0.020624397525140916,69.79601989003775
0.02110642679101555,69.88532589206322
0.021599721947827184,69.97944093325408
0.022104546299710218,70.07826297727729
0.022621169304690252,70.18170932048369
0.02314986671851161,70.28967121357873
0.023690920741826334,70.40206449774259
0.024244620170823284,70.51880896214288
0.02481126055137769,70.6398378206372
0.02539114433680347,70.76505910043836
0.025984581049292486,70.89441522561852
0.026591887445126937,71.02782500392678
0.027213387683753074,71.16524190156022
0.02784941350080644,71.3065994000761
0.028500304385181082,71.45183023425939
0.029166407760237052,71.60089030792851
0.029848079169243275,71.75374305718242
0.030545682465154336,71.91031089380435
0.03125959000482281,72.0706048423232
0.03199018284775065,72.2345044882389
0.03273785095948577,72.4020193885333
0.033502993419772316,72.57311768885481
0.034286018635565865,72.74771632217383
0.03508734455902713,72.92584021233628
0.03590739891061055,73.1074296193708
0.0367466194073669,73.29247460456118
0.03760545399658172,73.48089545411922
0.03848436109487431,73.67276722743055
0.03938380983288489,73.86802776737865
0.04030428030568053,74.05557567421464
0.04124626382901352,74.25786083515726
0.04221026320156901,74.46344259493982
0.04319679297334174,74.67230643454789
0.04420637972028532,74.8844387997998
0.04523956232538053,75.09982788126769
0.046296892266272656,75.31846330728034
0.04737893390963144,75.54033608445896
0.04848626481239081,75.7654385484953
0.04961947603002903,75.99376431963213
0.05077917243205401,76.22530826105546
0.05196597302486197,76.46006643947126
0.053180511282142,76.69803608751127
0.054423435483002665,76.93921556777939
0.055695409058001334,77.18360433841562
0.05699711094326075,77.43120292007768
0.05832923594286206,77.68201286428274
0.059692495099707366,77.93603669996548
0.061087616075050394,78.19327799868091
0.06251534353689715,78.45374122146548
0.0639764395574843,78.71743171176726
0.0654716840200474,78.9843557656818
0.0670018750350959,79.25452052499288
0.06856782936641742,79.5279339768551
0.07017038286703829,79.80460492391144
0.07181039092537353,80.08454297470632
0.07348872892180387,80.36775851573853
0.0752062926959241,80.65426269437225
0.07696399902471159,80.94406740080224
0.07876278611187058,81.23718525105032
0.08060361408861345,81.533629570994
0.08248746552614586,81.83341438142436
0.08441534596012985,82.13655438413537
0.0863882844274045,82.44306494904674
0.08840733401525062,82.75296210236907
0.09047357242349298,83.06626251297095
0.09258810253973955,83.38298349362624
0.09475205302806543,83.70314297624547
0.0969665789314552,84.02675951478932
0.09923286228832551,84.35385227615849
0.10155211276345681,84.68444103476786
0.1039255682936713,85.018546168231
0.10635449574860112,85.35618865417035
0.10884019160690066,85.69739006744527
0.11138398264826195,86.04217258220352
0.11398722666160525,86.39055896896464
0.11665131316981961,86.7425725937228
0.1193776641714437,87.0982374281307
0.12216773489967918,87.4575780477437
0.1250230145991456,87.82061963856798
0.12794502732078733,88.18738800342571
0.1309353327353611,88.5579095695844
0.13399552696593384,88.93221139767093
