ma_GeV,BR_gammagamma
0.17402945113788493,4.271429555920111e-07
0.17737617135207495,4.147958425960482e-07
0.1807228915662651,3.378021585531248e-07
0.18406961178045522,3.139173262177358e-07
0.19745649263721554,3.139173262177358e-07
0.20080321285140568,3.743246331565792e-07
0.2041499330655957,4.733247734183772e-07
0.20749665327978584,5.093383410334457e-07
0.21084337349397597,5.093383410334457e-07
0.214190093708166,6.254294739866655e-07
0.21753681392235613,6.254294739866655e-07
0.22088353413654627,4.946152653802363e-07
0.2242302543507363,4.946152653802363e-07
0.22757697456492643,4.5964271596038703e-07
0.23092369477911645,3.9116202693123714e-07
0.23427041499330659,3.6887479477937176e-07
0.23761713520749672,3.093469652525361e-07
0.24096385542168675,2.8747410206490715e-07
0.24431057563587688,2.446442607471615e-07
0.2476572958500669,1.9347470975726496e-07
0.25100401606425704,1.9347470975726496e-07
0.2543507362784472,1.8245110451187877e-07
0.2576974564926372,1.5300773131295386e-07
0.2677376171352075,1.4428981240974288e-07
0.27108433734939763,1.575622700854574e-07
0.27443105756358777,2.021773426728446e-07
0.2777777777777778,2.5564853721749204e-07
0.2811244979919679,3.1855521071378816e-07
0.28447121820615795,3.1855521071378816e-07
0.2878179384203481,4.0875677890252835e-07
0.2911646586345382,4.733247734183772e-07
0.29451137884872824,4.946152653802363e-07
0.2978580990629184,5.093383410334457e-07
0.3012048192771084,5.093383410334457e-07
0.30455153949129854,5.093383410334457e-07
0.3112449799196787,5.168634191283236e-07
0.31459170013386883,5.168634191283236e-07
0.31793842034805897,4.0875677890252835e-07
0.321285140562249,3.79854988659808e-07
0.32463186077643913,3.2326161634837685e-07
0.32797858099062926,2.5564853721749204e-07
0.3313253012048193,2.4825868954482624e-07
0.3346720214190094,2.4108245486294737e-07
0.33801874163319945,2.3757250574871453e-07
0.35809906291834004,2.2403634113155766e-07
0.3614457831325302,2.2734630393483936e-07
0.3647925033467202,2.2077456848386456e-07
0.36813922356091033,2.1439279744440741e-07
0.37148594377510047,2.1127142633544103e-07
0.38152610441767076,1.8245110451187877e-07
0.3848728246318608,1.8514667776710097e-07
0.3882195448460509,1.7979477643924387e-07
0.39156626506024095,1.720555910349656e-07
0.4149933065595717,1.6955061252172084e-07
0.4183400267737617,1.720555910349656e-07
0.43507362784471226,1.992338178724359e-07
0.4384203480589023,2.021773426728446e-07
0.4417670682730924,2.021773426728446e-07
0.6291834002677377,2.6714779403302115e-07
0.6325301204819278,2.791642957690521e-07
0.6358768406961177,2.832887312527458e-07
0.6392235609103079,2.832887312527458e-07
