,ma_GeV,ctau_inf,ctau_sup
77,5.195128931846545e-05,1222297719452.9744,546323932101790.4
78,5.3060414976354525e-05,1171728396352.033,523721229830042.4
79,5.419321973328272e-05,1088472978567.3676,502055903711611.3
80,5.5350209122349534e-05,1011130981408.4767,481285797374787.5
81,5.653189946945122e-05,969303395672.4783,461376385712640.25
82,5.773881812370071e-05,900427617352.0581,442288489991472.3
83,5.897150369276548e-05,836451126050.8203,423992918349340.8
84,6.023050628323051e-05,801843074182.6699,406450268871132.2
85,6.15163877460921e-05,744872411369.8861,389637837306480.44
86,6.282972192749407e-05,691946354279.2599,373519141400500.4
87,6.41710949248153e-05,642780500663.7482,358067029102855.9
88,6.554110534822636e-05,616186749780.9591,343252725679729.7
89,6.694036458782878e-05,572406691990.9817,329054279956971.5
90,6.836949708649833e-05,548725189022.3746,315440707619916.0
91,6.982914061855316e-05,509736183032.02155,302391449159556.75
92,7.13199465743708e-05,488647413045.16,289880931111990.5
93,7.284258025108297e-05,453926600200.76825,277888694916621.4
94,7.439772114947442e-05,435149221053.71783,266393397256558.06
95,7.598606327722256e-05,404230062643.40094,255373046223097.3
96,7.760831545860945e-05,375507455691.3405,244808343138029.72
97,7.92652016508468e-05,359972447830.46344,234680449597125.84
98,8.095746126715336e-05,334394832267.2047,224971969170016.44
99,8.268584950673156e-05,310634564236.60846,215665080871310.0
100,8.445113769178657e-05,288562874763.83093,206743427880096.84
101,8.625411361174285e-05,276624774589.2603,198190270255483.16
102,8.809558187480768e-05,265181414789.56848,189991573755145.5
103,8.997636426704137e-05,246338599499.6101,182131442402763.88
104,9.189730011909303e-05,228835183257.02496,174596872053043.28
105,9.38592466807656e-05,212575489704.66232,167374021712122.12
106,9.586307950357804e-05,203781600406.08942,160450040869183.7
107,9.79096928314955e-05,189301835658.93768,153812237868408.75
108,0.0001,175851145742.79132,147449216786386.28
109,0.0001021349338436,168576279695.2818,141349323058653.06
110,0.0001043154471125,156598204535.8501,135501857386858.52
111,0.0001065425128971,145471031727.58926,129896123664900.8
112,0.0001088171250628,139453072475.81665,124522479373696.31
113,0.0001111402986935,129544326810.03824,119371121142572.67
114,0.0001135130705443,120339661625.32968,114432889030988.92
115,0.0001159364995043,115361099713.47412,109698695706039.77
116,0.0001184116670694,107164268861.15208,105160655364244.03
117,0.0001209396778246,99549817754.72015,100810309986581.81
118,0.0001235216599369,95431470769.9024,96639816805020.0
119,0.0001261587656592,88650574538.06471,92641853962924.06
120,0.000128852171844,82351608553.40901,88809407329086.53
121,0.000131603080469,78944746972.39671,85135388531193.7
122,0.0001344127191733,73335336502.96463,81613382273945.4
123,0.0001372823418051,68124535082.743546,78237117455510.22
124,0.0001402132289817,65306275158.616035,75000507731329.16
125,0.0001432066886606,60665987099.3598,71897826257806.97
126,0.0001462640567232,56355389962.4237,68923473034760.29
127,0.0001493866975713,54023972283.617226,66072114830600.484
128,0.0001525760047357,50185336636.65479,63338786403698.37
129,0.0001558334014982,48109212067.61335,60718514837562.445
130,0.0001591603415265,44690838583.66897,58206649656288.45
131,0.0001625583095235,41515339481.86902,55798676014189.84
132,0.0001660288218892,39797897808.3509,53490349195478.46
133,0.000169573427398,36970051111.33375,51277465810122.92
134,0.0001731937078894,34343170610.762924,49156176200211.63
135,0.0001768912789743,32922411005.56811,47122610042833.83
136,0.0001806677907556,30583123032.979763,45173187783651.625
137,0.0001845249285651,28410051080.17903,43304409792311.72
138,0.0001884644137151,27234748991.165867,41512939472573.54
139,0.0001924880042668,25299596734.522083,39795586553938.24
140,0.0001965974958149,24252974427.817806,38149277759660.17
141,0.0002007947222889,22529686193.412582,36571069087665.625
142,0.0002050815567714,20928850794.49633,35058158299256.945
143,0.000209459912334,20063037533.550255,33607824563406.266
144,0.0002139317428914,18637464950.76793,32217494108273.984
145,0.0002184990440728,17313190230.97185,30884688194057.305
146,0.0002231638541128,16596953394.3794,29607006202688.457
147,0.0002279282547611,15417663967.450895,28382189688061.594
148,0.0002327943722113,14322170192.585487,27208046101722.477
149,0.0002377643780498,13729674888.801159,26082473697285.918
150,0.000242840490225,12754115331.827864,25003457453952.617
151,0.000248024974037,11847873541.672174,23969078572380.453
152,0.0002533201431485,11357739408.685978,22977502868670.367
153,0.0002587283606175,10550718036.506304,22026938944817.22
154,0.0002642520399515,10114245308.628801,21115706354317.707
155,0.000269893646185,9395581771.99657,20242167302620.652
156,0.0002756556969794,9006893657.451588,19404764145041.86
157,0.0002815407637462,8366910367.223225,18602000513758.344
158,0.0002875514727952,7772403666.974354,17832452903734.703
159,0.0002936905065059,7220137958.111855,17094737478376.928
160,0.000299960604525,6921446451.91882,16387541450404.324
161,0.0003063645649887,6635112954.901569,15709604824930.818
162,0.0003129052457717,6163656545.863564,15059708750343.846
163,0.0003195855657624,5725699835.072295,14436699642984.979
164,0.0003264085061653,5318862667.664274,13839465694955.1
165,0.0003333771118321,5261764120.349146,13266938607646.475
166,0.0003404944926197,5044088815.053665,12718095131256.617
167,0.0003477638247785,4399978078.5446415,12191958159480.635
168,0.0003551883523698,4217954127.332823,11687585556348.967
169,0.0003627713887134,3918249080.0792074,11204079798034.424
170,0.0003705163178662,3639839464.581349,10740576300701.084
171,0.0003784265961327,3489262169.615086,10296247109406.836
172,0.000386505753607,3241333823.1780996,9870299217093.164
173,0.0003947573957486,3107242662.791261,9461973525391.46
174,0.0004031852049908,2886458606.319625,9070538966703.387
175,0.0004117929423849,2681362188.3672113,8695297441292.807
176,0.0004205844492778,2652577457.505465,8335580194299.194
177,0.0004295636490267,2387795000.711236,7990743726838.026
178,0.0004387345487499,2218131252.7212515,7660173512426.035
179,0.0004481012411151,2194319114.1249366,7343277664394.057
180,0.0004576679061656,1975280639.004197,7039492900342.692
181,0.000467438813186,1834927669.355641,6748274188443.303
182,0.0004774183226072,1759018227.0045748,6469103658164.737
183,0.0004876108879525,1634031749.9600165,6201481657380.001
184,0.0004980210578249,1517926156.1932018,5944931015345.959
185,0.0005086534779371,1455130861.4835134,5698994351290.016
186,0.0005195128931846,1351737075.3546522,5463231487744.362
187,0.0005306041497635,1295816723.673967,5237221687704.289
188,0.0005419321973328,1242209868.1637762,5020562200943.229
189,0.0005535020912234,1118211474.0446575,4812865506735.604
190,0.0005653189946945,1071951977.176906,4613761185235.095
191,0.000577388181237,995784811.5059981,4422893493778.726
192,0.0005897150369276,925029665.5912868,4239921798764.1357
193,0.0006023050628323,886761914.0345827,4064519560273.496
194,0.0006151638774609,823753389.8764307,3896373695701.336
195,0.0006282972192749,765221888.183482,3735183772450.723
196,0.0006417109492481,733565278.3482655,3580662244547.2334
197,0.0006554110534822,681442056.9146969,3432533037928.215
198,0.0006694036458782,653251338.824522,3290531865230.4766
199,0.0006836949708649,626226866.474194,3154405259550.941
200,0.0006982914061855,563716384.3244791,3023909952772.578
201,0.0007131994657437,557664803.0241632,2898813194505.6187
202,0.0007284258025108,534594649.25088745,2778891575291.7417
203,0.0007439772114947,466328959.693184,2663931097879.505
204,0.0007598606327722,447037298.41737986,2553726369362.9976
205,0.000776083154586,442238284.31159216,2448080730130.956
206,0.0007926520165084,385766138.5077696,2346805564333.598
207,0.0008095746126715,381624883.2646837,2249720095969.2812
208,0.0008268584950673,343530776.97037446,2156650941396.114
209,0.0008445113769178,319121328.76268953,2067432035247.5513
210,0.0008625411361174,305919527.59701,1981903979950.4673
211,0.000880955818748,284182529.15546805,1899914192954.326
212,0.0008997636426704,272426127.66954654,1821316278763.225
213,0.0009189730011909,253068986.575793,1745969851034.654
214,0.0009385924668076,242599724.73428234,1673740472851.284
215,0.0009586307950357,218383225.17384535,1604499160205.2397
216,0.0009790969283149,222942594.03224948,1538122284198.5305
217,0.001,194473675.6880669,1474491398800.654
218,0.0010213493384368,186428453.3503055,1413492854414.135
219,0.0010431544711253,173181846.89141777,1355017767253.0244
220,0.0010654251289712,160876474.2706379,1298961756491.7068
221,0.0010881712506287,154221143.44283012,1245224749503.4797
222,0.0011114029869356,143263016.6318832,1193710788672.0745
223,0.0011351307054434,137336339.13386914,1144327919061.4333
224,0.0011593649950439,131654843.63851781,1096987980059.4557
225,0.0011841166706949,118512951.2477431,1051606459000.5468
226,0.0012093967782463,113610164.52377774,1008102334499.8728
