ma_GeV,gee
0.0010311351205781636,0.004681342002991101
0.001037477519650408,0.004681342002991101
0.0010438589301239606,0.004681342002991101
0.0010502795919536722,0.004681342002991101
0.001056739746570333,0.004681342002991101
0.001063239636889744,0.004681342002991101
0.0010697795073218576,0.004681342002991101
0.001076359603779963,0.004681342002991101
0.001082980173689934,0.004681342002991101
0.0010896414659995384,0.0033000347911252854
0.001096343731187789,0.002953727118810853
0.001103087221274372,0.002879116638022356
0.0011098721898291164,0.0028063908011496893
0.0011166988919815307,0.0027825594022071257
0.0011235675844303997,0.0027355020025126337
0.0011304785254534343,0.002689240416508318
0.0011374319749169809,0.0026437611857490985
0.0011444281942857952,0.002599051079393097
0.0011514674466328774,0.0025769803745148774
0.0011585499966493562,0.002533399635360766
0.0011656761106544516,0.0024905559141692314
0.0011728460566054798,0.0024694065319965774
0.0011800601041079333,0.002407029879989301
0.001187318524425622,0.002386589786858581
0.0011946215904908648,0.0023462288481422623
0.0012019695769147627,0.002306550475564054
0.001209362759997515,0.002267543125870802
0.001216801417738814,0.0022291954510236943
0.001224285829848301,0.0022102654979706377
0.0012318162777560755,0.002172886476740597
0.001239393044623288,0.0021544346900318843
0.0012470164153527783,0.002117999854447029
0.0012546866765997923,0.0020821811885006584
0.0012624041167827648,0.0020469682718075198
0.0012701690260941555,0.0020123508602072574
0.0012779816965113714,0.001978318882784164
0.0012858424218077365,0.001961519331377453
0.0012937514975635423,0.0018957356524063754
0.001301709221177165,0.0019119717955005022
0.0013097158918762457,0.0018796373839101883
0.001317771810728939,0.0018478497974222907
0.0013258772806552367,0.0018165997883753267
0.0013340326064383628,0.001801173528334133
0.0013422380947362234,0.0017707128874670493
0.0013504940540929496,0.001740767383330235
0.0013588007949504894,0.001711328304161781
0.0013671586296602851,0.0016823870855291936
0.0013755678724950231,0.0016681005372000592
0.0013840288396604402,0.0016398903672222476
0.0013925418493072265,0.001625964693881482
0.0014011072215429773,0.0015984671064343198
0.001409725278444235,0.001584893192461114
0.0014183963440686034,0.0015580901878706047
0.001427120744466924,0.0015580901878706047
0.0014358988076955458,0.0015317404637020797
0.0014447308638286538,0.0015317404637020797
0.0014536172449706815,0.0015187331811625285
0.0014625582852688058,0.00150583635427984
0.0014715543209255,0.0014930490450831462
0.001480605690211188,0.0014803703235666639
0.0014897127334769532,0.0014677992676220691
0.0014988757931673415,0.0014553349629714215
0.0015080952138332422,0.0014553349629714215
0.001517371342144833,0.0014429765031006762
0.0015267045269046283,0.0014307229891937572
0.0015360951190605838,0.001418573530067179
0.0015455434717192972,0.0014065272421052363
0.00155504994015929,0.001394583249195745
0.0015646148818443623,0.0013827406826663134
