ma_GeV	xitau_BelleII
0.2851860021506476	0.07838460410979085
0.3611538988740124	0.08952061908580031
0.4440541134268032	0.09357370945630178
0.5459834609733822	0.1092600861117379
0.6614740641230146	0.11420689062920007
0.8254041852680181	0.12478254704700233
1.0299603658099898	0.13043213867190068
1.2478254704700207	0.13938972755249326
1.5570684047537302	0.14570066651001284
1.8864314387358385	0.1627565448026756
2.2854638641349885	0.1900404953882231
2.8100752424979154	0.20763840890834584
3.3054513475732414	0.24244620170823308
