ma_GeV	ctau_Bdecay
0.0001	2557.2663549197837
0.0001059560179277616	2557.266367096214
0.00011226677735108136	2557.2663806785463
0.00011895340673703195	2557.2663958285075
0.00012603829296797275	2557.2664127263356
0.00013354515629298989	2557.26643157289
0.0001414991297434576	2557.266452591994
0.00014992684327860457	2557.2664760330504
0.00015885651294280528	2557.2665021739435
0.00016831803533309567	2557.26653132428
0.00017834308769319095	2557.2665638289873
0.00018896523396912096	2557.266600072323
0.00020022003718155845	2557.266640482333
0.00021214517849106298	2557.2666855358166
0.00022478058335487252	2557.266735763846
0.00023816855519761583	2557.266791757909
0.0002523539170434766	2557.266854176738
0.0002673841615839946	2557.266923753919
0.00028330961018393244	2557.2670012051326
0.0003001835813575589	2557.2670876294287
0.000318062569279412	2557.267183951957
0.0003370064329271929	2557.267291302344
0.00035707859649004636	2557.267410942465
0.00037834626171319305	2557.2675443018293
0.00040088063288984654	2557.2676942912426
0.00042475715525368995	2557.267857977505
0.0004500557675700499	2557.268042434682
0.00047686116977144704	2557.2682478551865
0.0005052631065335681	2557.2684766721572
0.0005353566677410726	2557.268731546283
0.000567242606849198	2557.269015612001
0.0006010276782070383	2557.2693317887392
0.0006368249944718588	2557.269683894888
0.0006747544053110695	2557.270075969357
0.0007149428986597579	2557.2705124786708
0.0007575250258771914	2557.2709983172376
0.0008026433522257176	2557.2715386262544
0.0008504489341802679	2557.272144831277
0.000901101825166502	2557.2728161000705
0.0009547716114208059	2557.2735665983078
0.0010116379797662077	2557.274396920989
0.001071891319205128	2557.2753221252997
0.0011357333583431057	2557.2763521740944
0.00120337784077759	2557.2774986405043
0.0012750512407130135	2557.278774495586
0.0013509935211980272	2557.2801941874072
0.0014314589375234792	2557.2817737815844
0.0015167168884709233	2557.283531130716
0.0016070528182616393	2557.2854858741293
0.0017027691722259005	2557.2876604334856
0.0018041864093920727	2557.2900790868152
0.0019116440753857028	2557.2927689949083
0.002025501939230668	2557.2957602414917
0.002146141197858405	2557.2990863241766
0.0022739657523579287	2557.302784383213
0.002409403560239526	2557.3068956337524
0.002552908068239518	2557.3114658060435
0.002704959730463136	2557.3165456341317
0.002866067616948252	2557.3221913911993
0.003036771118035459	2557.32846550063
0.0032176417502507372	2557.3354371679375
0.003409285069746813	2557.3431831406187
0.003612342699709432	2557.351788495327
0.0038274944785163132	2557.361347534224
0.00405546073584083	2557.3719647682583
0.004297004704320842	2557.3837560037723
0.00455293507486695	2557.3968495403124
0.0048241087041653715	2557.411387498314
0.0051114334834401675	2557.4275272775753
0.005415871378079474	2557.4454431699983
0.005738441648302396	2557.4653281349847
0.006080224261649425	2557.4873957860796
0.006442363508721374	2557.5118824794645
0.006826071834272389	2557.539049792628
0.007232633896483537	2557.5691870827964
0.007663410868007459	2557.6026143973995
0.008119844993184014	2557.639685654567
0.008603464416684505	2557.6807921456602
0.009115888299750824	2557.726366378786
0.009658832241158705	2557.776886341502
0.010234114021054537	2557.8328801297425
0.010843659686896108	2557.8949311362057
0.011489510001873099	2557.96368355262
0.012173827277396621	2558.0398487472207
0.012898902612533094	2558.124211754129
0.013667163564620074	2558.217639084635
0.014481182276745346	2558.3210866631175
0.015343684089300131	2558.435608867664
0.01625755666443795	2558.5623683597914
0.017225859653987874	2558.7026468627487
0.018251834943190444	2558.8578569341007
0.01933891750455232	2559.029556092639
0.020490746898158482	2559.2194552855967
0.021711179456945055	2559.4294458017916
0.023004301197729192	2559.6616045739293
0.02437444150122222	2559.9182187193683
0.025826187606826777	2560.2018045272976
0.02736439997074672	2560.5151296031167
0.028994228538828784	2560.861237054013
0.03072112998861759	2561.2434718979957
0.032550885998350605	2561.6655100092225
0.03448962260405759	2562.131389158727
0.03654383070957258	2562.6455438669805
0.038720387818125576	2563.2128437644988
0.04102658105827194	2563.838628733143
0.043470131581250265	2564.52876553593
0.046059220411451086	2565.2896831893245
0.04880251583654434	2566.128433462609
0.05170920242896761	2567.052746742065
0.05478901179593945	2568.0710950703183
0.058052255160949015	2569.192760836584
0.06150985788580504	2570.427911695044
0.06517339604882427	2571.7876823098563
0.0690551352016233	2573.2842635851484
0.073168071434272	2574.9310001138506
0.07752597488629465	2576.7424974933097
0.08214343584919431	2578.7347328763694
0.08703591361485165	2580.9251990478383
0.09221978823334331	2583.333020283374
0.09771241535346502	2585.979123563768
0.10353218432956626	2588.8864000526823
0.10969857978923842	2592.079890971633
0.11623224686798529	2595.586991121211
0.12315506032928263	2599.4376738107835
0.1304901978014403	2603.6647393587427
0.13826221737646563	2608.3040900559863
0.14649713983072862	2613.3950360850295
0.1552225357427048	2618.980635254508
0.16446761779946645	2625.108072349903
0.1742633386009651	2631.829080805761
0.18464249428955443	2639.200431129618
0.19563983435170648	2647.2844411766646
0.2072921779595372	2656.1496051446625
0.2196385372416547	2665.871264880965
0.23272024789604098	2676.532388943506
0.2465811075822604	2688.2244575779014
0.2612675225563329	2701.0484746633088
0.27682866303920667	2715.116129721042
0.29331662783900453	2730.551135275565
0.3107866187782014	2747.49077469516
0.3292971255097152	2766.08769838315
0.3489101213406774	2786.5120173335504
0.3696912707195028	2808.9537539596595
0.39171014908092605	2833.62572243684
0.41504047578504766	2860.7669296835725
0.4397603609302721	2890.64660941254
0.4659525668664682	2923.569029764585
0.4937047852839004	2959.8792521220544
0.5231099308056264	2999.970065127904
0.5542664520663108	3044.290380030369
0.5872786613189482	3093.355454477223
0.6222570836730231	3147.7594196495756
0.6593188271333549	3208.1907299074674
0.698587974678525	3275.4513491260927
0.7401959996915645	3350.4807540684747
