ma_GeV,BR
1e-6,6.975806451612894e-07
0.042349726775956276,6.975806451612894e-07
0.04371584699453551,6.975806451612894e-07
0.04508196721311475,6.975806451612894e-07
0.046448087431693985,6.895161290322574e-07
0.04781420765027322,6.975806451612894e-07
0.04918032786885246,7.016129032258055e-07
0.050546448087431695,7.016129032258055e-07
0.05191256830601093,7.016129032258055e-07
0.05327868852459017,7.016129032258055e-07
0.054644808743169404,6.935483870967732e-07
0.05601092896174864,7.016129032258055e-07
0.05737704918032788,7.056451612903217e-07
0.058743169398907114,7.056451612903217e-07
0.06010928961748635,7.056451612903217e-07
0.061475409836065587,7.056451612903217e-07
0.06284153005464482,6.975806451612894e-07
0.064207650273224,7.056451612903217e-07
0.06557377049180324,7.096774193548379e-07
0.06693989071038248,7.096774193548379e-07
0.06830601092896171,7.096774193548379e-07
0.06967213114754095,7.096774193548379e-07
0.07103825136612019,7.13709677419354e-07
0.07240437158469942,7.13709677419354e-07
0.07377049180327866,7.13709677419354e-07
0.0751366120218579,7.13709677419354e-07
0.07650273224043713,7.096774193548379e-07
0.07786885245901637,7.096774193548379e-07
0.0792349726775956,7.096774193548379e-07
0.08060109289617484,7.096774193548379e-07
0.08196721311475408,7.096774193548379e-07
0.08333333333333331,7.096774193548379e-07
0.08469945355191255,7.096774193548379e-07
0.08606557377049179,7.096774193548379e-07
0.08743169398907102,7.096774193548379e-07
0.08879781420765026,7.096774193548379e-07
0.0901639344262295,7.13709677419354e-07
0.09153005464480873,7.13709677419354e-07
0.09289617486338797,7.13709677419354e-07
0.0942622950819672,7.177419354838702e-07
0.09562841530054644,7.217741935483864e-07
0.09699453551912568,7.217741935483864e-07
0.09836065573770492,7.258064516129026e-07
0.09972677595628415,7.298387096774187e-07
0.10109289617486339,7.298387096774187e-07
0.10245901639344263,7.338709677419345e-07
0.10382513661202186,7.338709677419345e-07
0.1051912568306011,7.338709677419345e-07
0.10655737704918034,7.338709677419345e-07
0.10792349726775957,7.338709677419345e-07
0.10928961748633881,7.338709677419345e-07
0.11065573770491804,7.338709677419345e-07
0.11202185792349728,7.338709677419345e-07
0.11338797814207646,7.338709677419345e-07
0.1147540983606557,7.298387096774187e-07
0.11612021857923494,7.298387096774187e-07
0.11748633879781417,7.298387096774187e-07
0.11885245901639341,7.298387096774187e-07
0.12021857923497264,7.298387096774187e-07
0.12158469945355188,7.298387096774187e-07
0.12295081967213112,7.298387096774187e-07
0.12431693989071035,7.298387096774187e-07
0.1256830601092896,7.338709677419345e-07
0.12704918032786883,7.338709677419345e-07
0.12841530054644806,7.379032258064507e-07
0.1297814207650273,7.379032258064507e-07
0.13114754098360654,7.419354838709668e-07
0.13251366120218577,7.419354838709668e-07
0.133879781420765,7.419354838709668e-07
0.13524590163934425,7.419354838709668e-07
0.13661202185792348,7.45967741935483e-07
0.13797814207650272,7.45967741935483e-07
0.13934426229508196,7.45967741935483e-07
0.1407103825136612,7.45967741935483e-07
0.14207650273224043,7.45967741935483e-07
0.14344262295081966,7.45967741935483e-07
0.1448087431693989,7.499999999999992e-07
0.14617486338797814,7.499999999999992e-07
0.14754098360655737,7.499999999999992e-07
0.1489071038251366,7.499999999999992e-07
0.15027322404371585,7.499999999999992e-07
0.15163934426229508,7.499999999999992e-07
0.15300546448087432,7.540322580645153e-07
0.15437158469945356,7.580645161290315e-07
0.1557377049180328,7.580645161290315e-07
0.15710382513661203,7.620967741935477e-07
0.15846994535519127,7.620967741935477e-07
0.1598360655737705,7.661290322580639e-07
0.16120218579234974,7.580645161290315e-07
0.16256830601092898,7.7016129032258e-07
0.16393442622950816,7.7016129032258e-07
0.1653005464480874,7.7016129032258e-07
0.16666666666666663,7.7016129032258e-07
0.16803278688524587,7.7016129032258e-07
0.1693989071038251,7.7016129032258e-07
0.17076502732240434,7.7016129032258e-07
0.17213114754098358,7.7016129032258e-07
0.1734972677595628,7.7016129032258e-07
0.17486338797814205,7.7016129032258e-07
0.17622950819672129,7.741935483870962e-07
0.17759562841530052,7.661290322580639e-07
0.17896174863387976,7.78225806451612e-07
0.180327868852459,7.78225806451612e-07
0.18169398907103823,7.822580645161281e-07
0.18306010928961747,7.822580645161281e-07
0.1844262295081967,7.741935483870962e-07
0.18579234972677594,7.862903225806443e-07
0.18715846994535518,7.862903225806443e-07
0.1885245901639344,7.78225806451612e-07
0.1898907103825136,7.903225806451605e-07
0.1912568306010929,7.903225806451605e-07
0.19262295081967207,7.903225806451605e-07
0.19398907103825136,7.903225806451605e-07
0.19535519125683054,7.943548387096766e-07
0.19672131147540983,7.943548387096766e-07
0.198087431693989,7.943548387096766e-07
0.1994535519125683,7.943548387096766e-07
0.2008196721311475,7.983870967741928e-07
0.20218579234972678,7.983870967741928e-07
0.20355191256830596,7.903225806451605e-07
0.20491803278688525,8.02419354838709e-07
0.20628415300546443,8.02419354838709e-07
0.20765027322404372,7.943548387096766e-07
0.2090163934426229,8.064516129032252e-07
0.2103825136612022,8.064516129032252e-07
0.21174863387978138,7.983870967741928e-07
0.21311475409836067,8.104838709677413e-07
0.21448087431693985,8.145161290322575e-07
0.21584699453551914,8.145161290322575e-07
0.21721311475409832,8.185483870967733e-07
0.21857923497267762,8.104838709677413e-07
0.2199453551912568,8.225806451612894e-07
0.2213114754098361,8.266129032258056e-07
0.22267759562841527,8.266129032258056e-07
0.22404371584699456,8.185483870967733e-07
0.22540983606557374,8.266129032258056e-07
0.22677595628415304,8.306451612903218e-07
0.22814207650273222,8.306451612903218e-07
0.2295081967213115,8.306451612903218e-07
