,ma_GeV,ctau_20fb-1,ctau_50ab-1
0,0.3,437.59487222554037,437.59487222554037
1,0.3160804020100502,364.3530349992891,364.3530349992891
2,0.3321608040201005,306.1273649732173,306.1273649732173
3,0.34824120603015074,259.3217100290524,259.3217100290524
4,0.364321608040201,221.3147798032483,221.3147798032483
5,0.38040201005025126,190.16754156194986,190.16754156194986
6,0.3964824120603015,164.42628861770714,164.42628861770714
7,0.4125628140703518,142.987724268054,142.987724268054
8,0.428643216080402,125.00502017442862,125.00502017442862
9,0.44472361809045224,109.82142449971273,109.82142449971273
10,0.46080402010050253,96.92269330467369,96.92269330467369
11,0.47688442211055276,85.90257456200618,85.90257456200618
12,0.49296482412060305,76.43746793092791,76.43746793092791
13,0.5090452261306533,68.26761729719281,68.26761729719281
14,0.5251256281407035,61.18300958552506,61.18300958552506
15,0.5412060301507537,55.012701532854116,55.012701532854116
16,0.557286432160804,49.616669136584854,49.616669136584854
17,0.5733668341708542,44.87953154094269,44.87953154094269
18,0.5894472361809046,40.70568035242923,40.70568035242923
19,0.6055276381909548,37.01547173076022,37.01547173076022
20,0.6216080402010051,33.74222861171303,33.74222861171303
21,0.6376884422110554,30.829865168087952,30.829865168087952
22,0.6537688442211056,28.230992625078482,28.230992625078482
23,0.6698492462311558,25.905399976178767,25.905399976178767
24,0.6859296482412061,23.818828570955944,23.818828570955944
25,0.7020100502512563,21.941978469099634,21.941978469099634
26,0.7180904522613065,20.249698644098302,20.249698644098302
27,0.7341708542713568,18.72032383447768,18.72032383447768
28,0.750251256281407,17.33512898608671,17.33512898608671
29,0.7663316582914573,16.077878461242225,16.077878461242225
30,0.7824120603015076,14.934451988281763,14.934451988281763
31,0.7984924623115579,13.892533040059083,13.892533040059083
32,0.8145728643216081,12.94134822261769,12.94134822261769
33,0.8306532663316584,12.071448519791463,12.071448519791463
34,0.8467336683417086,11.274525021292474,11.274525021292474
35,0.8628140703517588,10.543253170784391,10.543253170784391
36,0.8788944723618091,9.87116068976435,9.87116068976435
37,0.8949748743718593,9.252515226379947,9.252515226379947
38,0.9110552763819095,9.309392282193988,8.68222849431238
39,0.9271356783919598,9.434071298340845,8.155774243182641
40,0.9432160804020102,9.56277457942473,7.669117867689044
41,0.9592964824120604,9.695127075554621,7.218655840548496
42,0.9753768844221107,9.8307537368395,6.8011634620216945
43,0.9914572864321609,9.969279513388344,6.413749670289586
44,1.0075376884422111,10.110329355310133,6.053817863196621
45,1.0236180904522614,10.253528212713844,5.719031851604756
46,1.0396984924623116,10.39850103570846,5.407286204720976
47,1.0557788944723618,10.544872774402958,5.116680363810876
48,1.071859296482412,10.692268378906315,4.845495997110452
49,1.0879396984924623,10.840312799327513,4.592177149067973
50,1.1040201005025125,10.988631627911595,4.355312804156234
51,1.120100502512563,11.136928155367348,4.1336215417243345
52,1.1361809045226132,11.285056574378588,3.9259380055971604
53,1.1522613065326635,11.432888415302868,3.7312009519174842
54,1.1683417085427137,11.58029520849774,3.548442672327024
55,1.184422110552764,11.727148484320747,3.3767796180216556
56,1.2005025125628142,11.873319773129442,3.2154040743519015
57,1.2165829145728644,12.018680605281377,3.063576756162251
58,1.2326633165829146,12.163102511134094,2.920620211561006
59,1.2487437185929648,12.306457021045153,2.7859129367568394
60,1.264824120603015,12.448615665372094,2.658884117393528
61,1.2809045226130653,12.58944997447247,2.539008922792206
62,1.2969849246231158,12.728831478703832,2.425804288944355
63,1.313065326633166,12.86668432618128,2.3188251342264214
64,1.3291457286432162,13.003306306183154,2.2176609588197564
65,1.3452261306532665,13.139156893231874,2.12193278488201
66,1.3613065326633167,13.274696208495037,2.0312903997683676
67,1.377386934673367,13.410384373140241,1.9454098691562287
68,1.3934673366834172,13.546681508335087,1.9157900714236296
69,1.4095477386934674,13.684047735247171,1.9352165895347386
70,1.4256281407035178,13.822943175044093,1.954859371005997
71,1.441708542713568,13.963827948893448,1.9747834867969594
72,1.4577889447236183,14.107162177962834,1.9950540078671815
73,1.4738693467336685,14.253405983419855,2.0157360051762185
74,1.4899497487437188,14.403019486432102,2.036894549683625
75,1.506030150753769,14.55645657486463,2.058593830826857
76,1.5221105527638192,14.713888791063315,2.0808581083571203
77,1.5381909547738695,14.87509590276568,2.1036562367291682
78,1.5542713567839197,15.03982881982707,2.1269529892769183
79,1.57035175879397,15.207838452102838,2.150713139334289
80,1.5864321608040204,15.378875709448325,2.1749014602351973
81,1.6025125628140706,15.55269150171888,2.1994827253135623
82,1.6185929648241209,15.729036738769851,2.2244217079033004
83,1.634673366834171,15.907662330456585,2.2496831813383302
84,1.6507537688442213,16.08831918663443,2.27523191895257
85,1.6668341708542715,16.270758217158733,2.3010326940799364
86,1.6829145728643218,16.454730331884843,2.3270502800543484
87,1.698994974874372,16.639986440668107,2.353249450209724
88,1.7150753768844222,16.826302914971986,2.379598578695133
89,1.7311557788944725,17.013579028499297,2.4060834206610173
90,1.7472361809045227,17.201751089333374,2.4326949687101416
91,1.7633165829145732,17.390755413101722,2.4594242165121774
92,1.7793969849246234,17.580528315431856,2.486262157736795
93,1.7954773869346736,17.771006111951287,2.513199786053667
94,1.8115577889447239,17.962125118287524,2.5402280951324645
95,1.827638190954774,18.15382165006808,2.567338078642859
96,1.8437185929648243,18.346032022920465,2.5945207302545223
97,1.8597989949748746,18.538692552472188,2.6217670436371256
98,1.8758793969849248,18.731739554350764,2.649068012460341
99,1.891959798994975,18.925109344183706,2.6764146303938383
100,1.9080402010050252,19.1187382861442,2.703797897972687
101,1.9241206030150755,19.31256386095608,2.7312089736360585
102,1.940201005025126,19.50652466589382,2.7586391737272344
103,1.9562814070351762,19.700559346777563,2.786079821454887
104,1.9723618090452264,19.89460654942747,2.8135222400276936
105,1.9884422110552766,20.088604919663695,2.8409577526543273
106,2.0045226130653266,20.282493103306372,2.8683776825434633
107,2.020603015075377,20.476209746175673,2.8957733529037792
108,2.036683417085427,20.669693494091742,2.9231360869439476
109,2.0527638190954773,20.862882992874727,2.9504572078726437
110,2.0688442211055276,21.055716888344786,2.977728038898543
111,2.084924623115578,21.24813382632207,3.0049399032303206
112,2.101005025125628,21.440072448002596,3.0320841234227003
113,2.1170854271356787,21.63144869471531,3.0591488117844183
114,2.133165829145729,21.822103176044486,3.086111427106711
115,2.149246231155779,22.01186089512678,3.112947221095828
116,2.1653266331658294,22.200546855098857,3.139631445458017
117,2.1814070351758796,22.38798605909736,3.1661393518995276
118,2.19748743718593,22.574003510258958,3.1924461921266087
119,2.21356783919598,22.758424211720307,3.218527217845508
120,2.2296482412060303,22.941073166618057,3.244357680762475
121,2.2457286432160806,23.121775378088866,3.269912832583758
122,2.261809045226131,23.300355849269394,3.2951679250156056
123,2.277889447236181,23.476639583296294,3.3200982097642675
124,2.2939698492462313,23.65045158330622,3.3446789385359907
125,2.3100502512562815,23.82163782687439,3.3688883292705714
126,2.3261306532663317,23.990329040553814,3.3927448694944324
127,2.342211055276382,24.15686116480431,3.416296068363018
128,2.358291457286432,24.321574670564427,3.4395900757382165
129,2.3743718592964824,24.48481002877272,3.4626750414819156
130,2.3904522613065327,24.646907710367735,3.485599115456006
131,2.406532663316583,24.80820818628802,3.5084104475223756
132,2.422613065326633,24.969051927472123,3.531157187542915
133,2.4386934673366834,25.129779404858592,3.5538874853795113
134,2.4547738693467336,25.290731089385986,3.576649490894054
135,2.470854271356784,25.45224745199284,3.5994913539484323
136,2.486934673366834,25.61466896361771,3.6224612244045353
137,2.5030150753768843,25.778335677731153,3.6456071930853624
138,2.5190954773869345,25.943483265343605,3.668962588904835
139,2.535175879396985,26.110106178274247,3.692526627231698
