ma_GeV,ctau_445pb-1,ctau_20fb-1,ctau_50ab-1
0.15,75942.06038889203,75942.06038889203,75942.06038889203
0.15240483892611428,73753.15768418262,73753.15768418262,73753.15768418262
0.15484823285396557,71578.27087322147,71578.27087322147,71578.27087322147
0.15733079990734708,69418.59778344113,69418.59778344113,69418.59778344113
0.15985316811997297,67275.35688387886,67275.35688387886,67275.35688387886
0.16241597559435697,65149.78619568167,65149.78619568167,65149.78619568167
0.16501987066323792,63043.14206754396,63043.14206754396,63043.14206754396
0.16766551205359323,60956.69780660765,60956.69780660765,60956.69780660765
0.1703535690532823,58891.7421547949,58891.7421547949,58891.7421547949
0.17308472168036118,56849.57759995543,56849.57759995543,56849.57759995543
0.17585966085511176,54831.51851058707,54831.51851058707,54831.51851058707
0.17867908857482928,52838.88908223354,52838.88908223354,52838.88908223354
0.18154371809141173,50873.02108297245,50873.02108297245,50873.02108297245
0.18445427409179668,48935.25138467765,48935.25138467765,48935.25138467765
0.18741149288129072,47026.91926597254,47026.91926597254,47026.91926597254
0.19041612256983817,45149.363471982084,45149.363471982084,45149.363471982084
0.19346892326127613,43303.91901513816,43303.91901513816,43303.91901513816
0.19657066724562366,41491.91370039484,41491.91370039484,41491.91370039484
0.1997221391944539,39714.66435726361,39714.66435726361,39714.66435726361
0.20292413635939818,37973.47276008136,37973.47276008136,37973.47276008136
0.2061774687738328,36269.6212168735,36269.6212168735,36269.6212168735
0.20948295945779968,34604.36780606801,34604.36780606801,34604.36780606801
0.21284144462621124,32978.941239151936,32978.941239151936,32978.941239151936
0.21625377390039463,31394.535326132624,31394.535326132624,31394.535326132624
0.21972081052302653,29852.303019376162,29852.303019376162,29852.303019376162
0.22324343157651422,28353.350010032736,28353.350010032736,28353.350010032736
0.22682252820487775,26898.727849826864,26898.727849826864,26898.727849826864
0.23045900583918938,25489.426569481944,25489.426569481944,25489.426569481944
0.23415378442662724,24126.366763460366,24126.366763460366,24126.366763460366
0.2379077986632014,22810.3911090291,22810.3911090291,22810.3911090291
0.24172199823021087,21542.255285901072,21542.255285901072,21542.255285901072
0.2455973480344918,20322.61826085076,20322.61826085076,20322.61826085076
0.24953482845251707,19152.03189975346,19152.03189975346,19152.03189975346
0.2535354355784094,18030.92986744653,18030.92986744653,18030.92986744653
0.25760018147593144,16959.615773652262,16959.615773652262,16959.615773652262
0.2617300944345143,15938.250520931522,15938.250520931522,15938.250520931522
0.26592621922939214,14966.838808246488,14966.838808246488,14966.838808246488
0.2701896173859071,14045.214741197415,14045.214741197415,14045.214741197415
0.2745213674480508,13173.026497352821,13173.026497352821,13173.026497352821
0.27892256525131204,12349.719992309494,12349.719992309494,12349.719992309494
0.28339432419989874,11574.521489191578,11574.521489191578,11574.521489191578
0.28793777554840383,10846.419091218864,10846.419091218864,10846.419091218864
0.29255406868798756,10164.14305373515,10164.14305373515,10164.14305373515
0.2972443714371475,9526.144848681346,9526.144848681346,9526.144848681346
0.30200987033715027,8930.574910914922,8930.574910914922,8930.574910914922
0.30685177095220034,8375.258992009423,8375.258992009423,8375.258992009423
0.31177129817441995,7857.673043205533,7857.673043205533,7857.673043205533
0.31676969653372017,7374.916545017786,7374.916545017786,7374.916545017786
0.32184823051263817,6923.684196620293,6923.684196620293,6923.684196620293
0.32700818486622346,6500.235873526914,6500.235873526914,6500.235873526914
0.3322508649470519,6100.960882392757,6100.960882392757,6100.960882392757
0.3375775970354506,5724.602097901864,5724.602097901864,5724.602097901864
0.3429897286750171,5370.519058480814,5370.519058480814,5370.519058480814
0.34848862901351746,5037.932959593811,5037.932959593811,5037.932959593811
0.35407568914925014,4725.915561685298,4725.915561685298,4725.915561685298
0.3597523224829625,4433.37746936583,4433.37746936583,4433.37746936583
0.3655199650754095,4159.055681881488,4159.055681881488,4159.055681881488
0.37138007601064466,3901.557117024751,3901.557117024751,3901.557117024751
0.37733413776513586,3659.915849778685,3659.915849778685,3659.915849778685
0.38338365658279827,3433.403494171025,3433.403494171025,3433.403494171025
0.38953016285604053,3221.7736225877334,3221.1742000391587,3217.0204430991535
0.3957752115129195,3022.488959108498,3022.250167758681,3018.675287212411
0.402120382410502,2835.5098191480715,2835.5116497940685,2833.1691210752165
0.4085672807345336,2660.077017620539,2659.8878352922366,2659.3324105489305
0.41511753740551405,2495.47818781912,2494.898999950028,2495.856202042504
0.4217728094912839,2341.044894754951,2340.1496714314194,2341.8314958647666
0.42853478062622535,2196.149924724588,2195.1708366957337,2196.93291734128
0.43540516143718394,2060.204742806637,2059.4142007606088,2060.815945812811
0.44238568997621874,1932.657106765984,1932.2460891486553,1933.0723682346033
0.44947813216029026,1812.9888269882324,1812.9409740546866,1813.225310429854
0.4566842822179983,1700.7136648180995,1700.7315258628198,1700.723960046935
0.4640059631434809,1595.3753790781,1595.2198884587722,1595.0126631070848
0.4714450271575915,1496.5458925099333,1496.1784977489442,1495.7965034482054
0.4790033561764688,1403.8235339370785,1403.337067024473,1402.8255843397087
0.48668286228761914,1316.8314030825152,1316.3777157163997,1315.8043243648797
0.4944854882336323,1235.2158373277866,1234.9312846886476,1234.3878966985758
0.5024132079036514,1158.6449725217426,1158.5734235712555,1158.1784510113625
0.5104680268327223,1086.8073917478825,1086.8297966053217,1086.7211024521728
0.5186519827091495,1019.4108713952688,1019.3758328451675,1019.5262211352602
0.526967145889985,956.1812864073808,956.053534020965,956.3211207452706
0.5354156199247821,896.8614402178927,896.6845195194361,896.9615468146483
0.5439995420877469,841.2099667181844,841.0594525545807,841.278249951498
0.5527210839184199,789.000344908652,788.9356490368073,789.07284444428
0.5615824517710272,740.0200099800805,740.0345386400645,740.1155605111093
0.5705858873726384,694.0696109035757,694.039749435684,694.142857674947
0.579733668390273,650.962081880394,650.6978920890116,650.8591258276651
0.5890281090070992,610.5218282535753,609.9332846348002,610.0684377201706
0.598471560507871,572.5840564148106,571.679658056128,571.7146627745219
0.6080664118737489,536.9944838688405,535.8557767304143,535.7378876742885
0.6178150903866597,503.6074304907537,502.36423950076784,502.0643194006469
0.627720062243344,472.28341367796276,471.09020562608106,470.60517011187824
0.6377838331792485,442.9357055495694,441.90004138162436,441.2554720791396
0.6480089491024207,415.3323170316918,414.6398828569005,413.89281873971913
0.6583979967375667,388.4315859179083,389.1341102609079,388.37602771930335
0.6689536042804344,381.15550500596186,365.1837287961837,364.5437214543316
0.679678442062688,447.9387142214381,342.58106788511543,342.21282081367934
0.6905752232274418,497.04808471019834,321.2405250760378,321.17703957017994
0.7016467044156246,518.0002807550906,301.14185953482104,301.26302381315526
0.7128956864633478,480.5145160614965,282.25932915870214,282.4362459129431
0.7243250151104546,501.67882713052796,264.56057033742377,264.68239902419026
0.7359375817204274,501.07723179411533,248.00605979378795,247.98214829077142
0.7477363240118388,476.58528707534043,232.54854252808283,232.31071075032298
0.7597242268015272,432.6652910767606,218.13242395373948,217.63740851971892
0.7719043227596897,375.9137592630213,204.69852865257175,203.9251937468088
0.7842796931770789,332.4086408687957,192.24093274061667,191.13014373281933
0.7968534687445002,319.3986962501068,180.79024021819367,179.20092454472402
0.8096288303448066,344.0913886267228,170.3775236718681,168.0782213473935
0.8226090098575903,411.55622893747426,161.0336600328137,157.69413359124016
0.835797290976776,507.5617924549554,152.78924752321552,147.97153309211848
0.8491970100413216,572.5736972977273,145.67451587837627,138.82354407216874
0.8628115568792365,541.040601782173,139.71922942510307,130.18111533046192
0.8766443756651328,477.54805246009755,134.9525825734404,122.0285473848533
0.8906989657915239,439.19589910718736,131.40308725406464,114.35505295824332
0.9049788827540918,432.2643394293089,129.07464480558417,107.14716565042166
0.919487739051148,465.22842625246005,127.86678971996918,100.38852294556396
0.9342292050975147,454.75713122037706,127.63883914552963,94.0596355687215
0.9492070101530568,400.66398754833926,128.23314442484227,88.13764242145314
0.9644249432661008,366.89157451327395,129.47387535996853,82.59605028573702
0.97988685423198,376.25555982749114,131.16573155196386,77.40445744217391
0.9955966545669448,453.63713764858045,133.09257684400356,72.52826030314513
1.0115583184976897,471.3756712157452,135.01599264443004,67.92834211390601
1.0277758839667428,429.52594909256385,136.71233344258582,63.567121036502314
1.0442534536539745,425.4015310290587,138.14031938155463,59.43617012008664
1.0609951960144834,449.14064490935294,139.32260652212932,55.5365542413822
1.0780053463331227,502.27199946078775,140.28490274480924,51.86867331367734
1.0952882077959305,576.4338433224672,141.05615950371654,48.43219496266522
1.1128481525787413,539.9939057654892,141.66880689037043,45.22598803543115
1.130689622953246,475.57509257947424,142.15900285695312,42.24805176489177
1.148817132410789,456.1350502655951,142.5668973805826,39.49544034031996
1.1672352668041786,420.9805032973956,142.93691239124286,36.96418262118192
1.1859486855078056,399.70729509037295,143.31792715606966,34.64919671740458
1.2049621225963605,378.42691705880327,143.74636620392675,32.54419914435698
1.2242803880424473,406.8485508344574,144.22555735081616,30.641608245223757
1.243908368933399,489.75965274371106,144.75439224776215,28.932441557038867
1.2638510307076014,552.3438289156543,145.3315194020215,27.407710860025777
1.2841134184106369,596.9543802740696,145.95532501604788,26.06312948569542
1.3047006579715674,574.6316251391153,146.62391263601862,24.895006700008377
1.3256179574996803,532.1424631237388,147.3350815432351,23.898735250179747
1.3468706086020223,505.9630420879406,148.0863038181677,23.06871745189626
1.3684639877220581,557.514349412538,148.87470000319502,22.398286637635067
1.3904035574997886,547.7187913171192,149.6970512302806,21.879623704818663
1.412694868153677,460.99500324386725,150.5504808796945,21.503668488634467
1.4353435588847292,463.3375924322148,151.4324390982129,21.26002566972404
1.4583553593030851,462.8479606776744,152.34008434864214,21.1368649115693
1.4817360908774815,505.53908980308773,153.27023823565193,21.12081490623528
1.5054916684079518,568.7484060337924,154.21936166437243,21.196850990129317
1.52962810152214,554.0300879492515,155.18352957963086,21.348175973564548
1.5541514961955978,545.6184695575466,156.15840420799384,21.556093809125997
1.5790680562964643,485.7658554456676,157.1392067206996,21.79987570408503
1.6043840851548994,413.1762274919744,158.1206872312735,22.056618261343335
1.6301059871576915,451.6044420322583,159.09709303711242,22.303929386263658
1.6562402693684162,569.0710258571842,160.06214870321762,22.535334245466625
1.6827935431735843,744.0972371759373,161.01090507128555,22.75090898100362
1.7097725259551677,768.0705744206078,161.94187783604758,22.95080460737941
1.737184042789953,696.5293541653627,162.85398427487394,23.135238293791197
1.7650350281761258,686.9672474273418,163.74611166418902,23.304498960053184
1.7933325277875463,674.6949682185422,164.61711703192455,23.45895322980009
1.8220837002561494,630.9256674704932,165.46582694492778,23.599051761257936
1.851295818982911,599.5455607951363,166.29103733467647,23.725335976955176
1.880976273977863,514.1894611128087,167.09151336487201,23.838445214888477
1.9111325737295914,578.8603488858381,167.86598934471283,23.939124324856774
1.9417723471047246,621.4184957998074,168.6132645182867,24.028231734939318
1.9729033452778555,571.0437849195165,169.3339067150865,24.106748014419857
2.0045334436924245,619.461276047541,170.03023833593497,24.17578496085425
2.0366706440530202,692.0551838233465,170.70495839051304,24.236595240445407
2.06932307634964,872.0674907027012,171.361116598983,24.290582612431724
2.102499000914387,907.6020573421699,172.00213909768652,24.33931276981625
2.1362068105111565,718.1443219024271,172.63185570193795,24.384524830468596
2.170455032458808,528.8968202972004,173.2545288121172,24.42814351442305
2.205252330788391,544.0921076438271,173.87488405381305,24.472292045080245
2.2406075084349526,628.0376730705653,174.49814274754647,24.519305813999537
2.276529509464474,654.8929234032039,175.13005630862682,24.571746851050428
2.3130274213365283,620.1462199739526,175.77691450626133,24.632409933208116
2.350110477203193,550.2088036135597,176.4421195130391,24.703206279983643
2.387788058244842,485.7036120269599,177.12243646199107,24.783941706562636
2.426069696043361,537.362380043604,177.81346297170754,24.874108575458852
2.464965074993437,771.3783830828177,178.51034193933083,24.97312304880891
2.5044840347524793,871.7528686767046,179.20773039733703,25.08031939410823
2.5446365727298432,779.2977143715552,179.8997665411081,25.194943943020537
2.585432846615941,672.6176231036659,180.58003482766637,25.316148684007985
2.626883176951918,661.7478792719826,181.24152904073884,25.44298446851252
2.6689980497405097,777.2270503358728,181.87661321184854,25.57439380935061
2.7117881190987694,834.6346406907194,182.47714639727624,25.70920324885983
2.755264209953323,815.099874992579,183.03725096508202,25.846115273155206
2.799437320778824,743.4272242580078,183.55316788976208,25.98369974761161
2.844318626380331,646.9390342734615,184.02098799212666,26.120384847383853
2.8899194807202724,630.1027725125667,184.4365635238395,26.254447455404712
2.9362514197907537,669.9523279900949,184.79549511694782,26.384002998859504
2.9833261645318934,721.9385381242948,185.09311805296792,26.50699469362098
3.031155623796971,757.7211575068243,185.3244878169313,26.621182164536147
3.0797518973650844,826.4822600401413,185.4843649000607,26.72412940778304
3.129127279002138,738.094313089646,185.56719881292884,26.813192059757498
3.179294259570874,662.5089135428678,185.57117518391385,26.886124264671185
3.2302655301907914,801.6585476954689,185.51879022184838,26.94420769720455
3.2820539854487123,873.7854532571934,185.44393430450717,26.990267754256102
3.334672726660815,893.011101942868,185.38396784482143,27.02745107647274
3.388135065186986,829.9474859988741,185.37994707188588,27.0592463535181
3.4424545257982815,802.1359719310692,185.476875142745,27.089508209049633
3.497644850098402,678.4585800240807,185.72396796598946,27.122482502062393
3.5537199999999993,616.3791130533594,186.17493553758868,27.16283312214865
