ma_GeV,gl,gtau
4.367820964152787e-06,0.3282163657335824,1146.90053130161
4.367820964152787e-06,3.282163657335824e-07,0.0011469005313016099
0.0010568288870060197,8.376069966239194e-10,4.741055674419562e-06
0.0011052128814387655,7.553829363290664e-10,4.550373951600894e-06
0.0011558120035483294,6.988957582837317e-10,4.351149141141207e-06
0.0012087276668430861,6.589486490374481e-10,4.1606467840128155e-06
0.0012640659277690562,6.295127514321992e-10,3.978485038177175e-06
0.0013219376982739942,6.070445889114436e-10,3.803012699955899e-06
0.0013824589681031385,5.899466327049016e-10,3.636508909284672e-06
0.001445751037272157,5.765173652460133e-10,3.4761195513564246e-06
0.001511940759183225,5.662773320221637e-10,3.3239278061734265e-06
0.0015811607948715057,5.584154282511821e-10,3.1783993425760238e-06
0.0016535498788915973,5.52489311280744e-10,3.039242412867252e-06
0.0017292530973768644,5.481708354750477e-10,2.9061780622431913e-06
0.0018084221788289441,5.452113614063703e-10,2.7789395432505775e-06
0.0018912157982202498,5.426847186660423e-10,2.653680596616193e-06
0.0019777998950189666,5.419106716171716e-10,2.5374969388166295e-06
0.0020683480057739467,5.424002324177414e-10,2.428041301030397e-06
0.002163041611926081,5.433256319222519e-10,2.3217365997837685e-06
0.002262070503543266,5.449765901034958e-10,2.2200861411463187e-06
0.0023656331597079554,5.472906775270084e-10,2.1228861477508933e-06
0.002473937146319722,5.502169373632916e-10,2.0299417674207795e-06
0.002587199532110109,5.537136641901588e-10,1.9410666877261333e-06
0.002705647323703545,5.577467016486579e-10,1.8560827391716392e-06
0.0028295179205964052,5.622881229521435e-10,1.7748195651574338e-06
0.0029590595909658904,5.673151978376019e-10,1.6971142603070987e-06
0.003094531969262688,5.728095765944144e-10,1.622811053795593e-06
0.0032362065765843364,5.787566405803644e-10,1.5517609940994957e-06
0.003384367364872656,5.853428491548857e-10,1.4843234084555474e-06
0.003539311286025546,5.919659841656889e-10,1.4188568361102805e-06
0.003701348887064215,5.990109278114242e-10,1.356277684986013e-06
0.0038708049325482797,6.066783466346608e-10,1.2968970041607975e-06
0.004048019055486606,6.147661048579527e-10,1.240116131338716e-06
0.004233346438048204,6.232739471149331e-10,1.1858212415674628e-06
0.004427158523437617,6.319895392126291e-10,1.133520192212715e-06
0.004629843760361565,6.413400214812617e-10,1.0838922909106463e-06
0.004841808381578945,6.511190113875988e-10,1.0364371998189374e-06
0.00506347721809458,6.611086125804418e-10,9.907247751876115e-07
0.00529529455062859,6.717592902705906e-10,9.473487477233368e-07
0.005537725000067946,6.828591620968635e-10,9.058718108106108e-07
0.005791254458684871,6.944176914841848e-10,8.662108181931112e-07
0.006056391063988531,7.062067742752711e-10,8.28006273074212e-07
0.006333666217161822,7.189547666287691e-10,7.920221233530428e-07
0.0066236356481244735,7.334447888503413e-10,7.588835817946465e-07
0.006926880529357139,7.44967239833511e-10,7.23697958238352e-07
0.007244008640718842,7.592519169168517e-10,6.922469080139726e-07
0.007575655587592377,7.735649486937223e-10,6.617150830920231e-07
0.00792248607479913,7.886949462182067e-10,6.327437615446526e-07
0.008285195238836585,8.041335095390047e-10,6.048363357064361e-07
0.008664510041108636,8.193319599126157e-10,5.775736533759095e-07
0.009061190724941118,8.359592215329099e-10,5.520995163176998e-07
0.009476032339302764,8.535132858689923e-10,5.279273794482432e-07
0.00990986633228552,8.714498029088192e-10,5.046429000045116e-07
0.01036356221753797,9.003708596030604e-10,4.879624894523656e-07
0.010838029316991805,9.340532361004543e-10,4.7359145388287316e-07
0.01133421858337425,9.693475852462627e-10,4.596436532234648e-07
0.011853124506159034,1.0063458609712425e-09,4.46106622481509e-07
0.012395787104776476,1.0437345204940278e-09,4.323831241370458e-07
0.012963294013076535,1.0840235239020985e-09,4.195070721369043e-07
0.013556782659224033,1.1263055356270354e-09,4.070144493903426e-07
0.014177442545393545,1.17030679240158e-09,3.947603487579136e-07
0.014826517631834686,1.2161124542918061e-09,3.8274574865649743e-07
0.015505308830084339,1.264241842502422e-09,3.710968028950261e-07
0.016215176610324684,1.3148453801419295e-09,3.598023823863007e-07
0.01695754372811096,1.369012193867605e-09,3.490876655876308e-07
0.017733898075935756,1.4255898796453018e-09,3.3857752243955204e-07
0.018545795665343784,1.4857235730636997e-09,3.2849484096881583e-07
0.01939486374557475,1.5502188067409205e-09,3.1892798302423626e-07
0.02028280406498467,1.6243909451308587e-09,3.1079343007419124e-07
0.021211396281782296,1.7233168046604981e-09,3.064715285806569e-07
0.022182501530916797,1.8305547334772183e-09,3.0241412691118193e-07
0.023198066154265458,1.946297044754228e-09,2.985113274981473e-07
0.02426012560159778,2.071372233788292e-09,2.947585112369729e-07
0.02537080851013445,2.2059622860617474e-09,2.910528491360738e-07
0.026532340970877654,2.3485777491375264e-09,2.8710239640140667e-07
0.027747050990263547,2.503980301886741e-09,2.833970982947492e-07
0.02901737315607919,2.6699816729492807e-09,2.7955049580517415e-07
0.030345853516995598,2.8436167486372455e-09,2.751972482162035e-07
0.031735154685496744,3.0600933969821996e-09,2.7348855096145665e-07
0.033188061174432126,3.280629399752329e-09,2.7050699342530906e-07
0.034707484977888586,3.518255784859135e-09,2.673770388612413e-07
0.03629647140756705,3.77335204240758e-09,2.6401533125433764e-07
0.0379582051963616,4.054353449572085e-09,2.60872178049295e-07
0.03969601688137407,4.357206531853378e-09,2.5750507460288825e-07
0.041513389479157475,4.6951330757684796e-09,2.545253523630858e-07
0.04341396546656651,5.057697897785845e-09,2.5115511685883815e-07
0.04540155408120844,5.424925303290304e-09,2.4640910119931555e-07
