ma_GeV,gl,gtau
0.00223065320024569,1.3460265696836998e-09,5.566605949859247e-06
0.0031749885269671345,1.2146651631333317e-09,3.3344903333367985e-06
0.004306717067640506,1.151930633101356e-09,2.1426746143112946e-06
0.0062290969040821355,1.1146236469793649e-09,1.256749568262863e-06
0.007892462799457538,1.1520295126113078e-09,9.292894253757584e-07
0.009801424493146435,1.1757382258623868e-09,6.919933863027431e-07
0.012026503245705061,1.2134752788818602e-09,5.262584896399351e-07
0.014697632591075404,1.2457372791108437e-09,3.974178071223005e-07
0.01781849748706982,1.3003836682515218e-09,3.0650787017648097e-07
0.021602040378224108,1.4286307773486332e-09,2.465631889573619e-07
0.024364616607841665,1.5380855504585991e-09,2.1729471852230261e-07
0.02930211407145677,1.8217733444699312e-09,1.8750923161073125e-07
0.03137008384313731,1.9429131360979812e-09,1.7726843207867933e-07
0.03385452499872487,2.12199819376351e-09,1.6876743104490584e-07
0.036978070905135385,2.3941749395037742e-09,1.6180583587627387e-07
0.03974688844310215,2.6686055336964846e-09,1.5732486025226307e-07
0.04376379576087581,3.1078296661911687e-09,1.5189754692960222e-07
0.04704070994987101,3.5179553272544794e-09,1.487311825371286e-07
0.05117516286148502,4.307312682095106e-09,1.5296564215189513e-07
0.054131427167087305,5.1340259514476065e-09,1.6180116332469384e-07
0.05567299678704577,5.770115719700488e-09,1.7114748644649344e-07
0.0563470365411273,6.398634726171154e-09,1.8488705495542462e-07
0.0563470365411273,6.912321094773234e-09,1.997299025199419e-07
0.0563470365411273,7.57282725816051e-09,2.1881507374078044e-07
0.056121454725667,8.39933006968383e-09,2.448262202646214e-07
0.05522812240704211,8.82482904125874e-09,2.6634472009556163e-07
0.054131427167087305,9.324045863382581e-09,2.938515468864585e-07
0.05179474679231213,1.1081971002193933e-08,3.8369277915145805e-07
0.04877006227022365,1.2063907274797049e-08,4.736412098528972e-07
0.04519103258750683,1.3301306356449807e-08,6.098292877758891e-07
0.039746888443102237,1.5112390348094743e-08,8.909352354903946e-07
0.03757620287812718,1.5743331482656027e-08,1.0324567602509368e-06
0.03399060424414169,1.6836828769273756e-08,1.3293215001847993e-06
0.03149617680525084,1.8114434556697233e-08,1.6409477564295302e-06
0.027480484808533403,2.0541073309476357e-08,2.3639225322840783e-06
0.024560878824173245,2.2616929757435328e-08,3.152350210509232e-06
0.021951460202346975,2.4147012140912757e-08,4.05874279730088e-06
0.01993662169052273,2.5643347673131294e-08,5.045502239510365e-06
0.018847828614809704,2.63882111312211e-08,5.685046357821567e-06
