ma_GeV,cl,ctau
6.095005379470964,6419.2791207487035,6424.722631664725
6.205061838996414,5779.638792267569,5786.831440973431
6.317105569004689,5684.707613469138,5693.927452280106
6.4311724532956935,5664.958268923655,5676.181726018459
6.547299023616911,5648.117138325985,5661.24042300912
6.665522471363266,5563.746654782197,5578.48830703949
6.785880659488318,5552.334682863428,5568.771734175398
6.908412134630402,5474.179077206143,5492.006565192928
7.033156139457856,5467.477293268529,5486.8273535466105
7.160152625237103,5394.75176613974,5415.297582200622
7.289442264627685,5128.199584456737,5149.047661395599
7.421066464708332,4938.077990481138,4959.363158162183
7.555067380238245,4756.567870162448,4778.1824619960935
7.69148792715783,4526.013082604739,4547.589208962108
7.830371796333219,4473.1790292505,4495.454826196591
7.971763467548968,4205.736220001506,4227.533677042517
8.115708223753419,4055.879230999998,4077.685203664694
8.262252165561296,4218.308570187066,4241.766842560964
8.411442226018156,4333.61116165314,4358.474026585536
8.56332618563146,4453.123494349699,4479.420206928553
8.717952687673035,4634.767388420697,4662.879363756181
8.875371253757873,4764.707306837089,4794.33537932037
9.035632299704206,5023.8244595537535,5055.795527332261
9.19878715168,5038.733430466987,5071.498927517431
9.364888062640963,5118.4853639416315,5152.446663421397
9.53398822906541,5135.6120436759575,5170.3343216347685
9.706141807991264,5218.78799410607,5254.699185608013
9.88140393436074,5304.216412693436,5341.321799744038
10.059830738678178,5324.692510648961,5362.520518229715
10.241479364986745,5213.59480469147,5251.173320510061
10.42640798916972,4855.653961373706,4891.130652471825
10.614675837582269,4522.950519433133,4556.41980809307
10.80634320601961,4375.2821650548085,4408.047936561432
11.00147147902774,4076.6241796669037,4107.497769844145
11.200123149562788,3751.481071189497,3780.1931009227533
11.402361839005406,3496.3065881772986,3523.3316241740777
11.608252317536529,3341.708916589791,3367.779988133052
11.81786052488106,3234.6603577675974,3260.1172763500454
12.031253591426104,3092.3511657089016,3116.8881141387074
12.248499859720644,2993.963586754912,3017.9030160272587
12.469668906363198,2972.6914143351178,2996.6326089525837
12.69483156428493,2951.8757074634195,2975.8103686437034
12.924059945435006,2931.499300135772,2955.419637069316
13.15742746387561,2911.5459081796616,2935.444607767477
13.395008859293965,2892.000075371965,2915.8702740243766
13.636880220938917,2909.123155838323,2933.2593858760924
13.883119011989736,2890.1120747045215,2914.2068041930575
14.133804094364953,2871.4712868917245,2895.518778273278
14.38901575397913,3000.051827310306,3025.2818038831765
14.64883572645573,3134.643165039578,3161.10807313106
14.913347223304251,3275.5296243040157,3303.284260881675
15.182634958570048,3423.0091739897607,3452.110791368218
15.456785175965358,3668.3094749888637,3699.5932268878473
15.735885676490245,3882.4474949735513,3915.65193283754
16.020025846552258,4161.264043329405,4196.946290280975
16.30929668659388,4189.157229562662,4225.164750849828
16.603790840236854,4011.054570722911,4045.6065042325436
16.903602623952814,3792.8794254449567,3825.6166375833864
17.208828057269635,3632.0894269818896,3663.4947721823396
17.51956489352321,3566.727833992833,3597.617311404969
17.835912651164552,3502.753032188936,3533.131530120441
18.157972645632142,3440.1275867358995,3470.0002157707895
18.485848021799853,3464.684179382978,3494.802705891055
18.81964378701072,3489.611442920946,3519.9748385971857
19.15946684470724,3559.293908445065,3590.287732947151
19.5054260286689,3540.58227716024,3571.43273431738
19.85763213786797,3522.153437390624,3552.8585634235797
20.21619797195461,3504.000106099547,3534.558109222151
20.581238367382785,3619.849555824189,3651.4253661897983
20.95287023418843,3786.9352440797375,3819.972356778931
21.33121259343195,3863.731925252143,3897.438966679074
21.71638661531634,3942.2723264942924,3976.6606464931247
22.10851565799408,4073.389946163647,4108.914137410556
22.507725307074487,4156.574123876673,4192.811993149967
22.91414341584456,4295.206774937423,4332.637386503526
23.327900146216,4551.461538845829,4591.104670507219
23.74912801041169,4884.116520228296,4926.631057678898
24.17796191340481,5111.406349987043,5155.868238582154
24.61453919612437,5087.618900594227,5131.839162557883
25.0589996794408,4938.640409799011,4981.528627929218
25.51148570894584,4978.134116683814,5021.324498224214
25.972142200541,5145.674159728417,5190.272622672542
26.441116686849192,5252.734500814291,5298.21118581734
26.91855936446444,5429.940139850597,5476.896446194341
27.4046231420547,5474.217601350969,5521.4986873871985
27.89946368933336,5315.164207628699,5361.012236113887
28.40323948691492,5096.568973740221,5140.471918351559
28.916111877070986,5269.29675390554,5314.623482931483
29.43824511540268,5380.140457410012,5426.352645210624
29.969806423446155,5562.881099514924,5610.590072481871
30.510966042227963,5609.474832501323,5657.507530098671
31.06189728678748,5246.411665090831,5291.262406686622
31.622776601683796,5095.260906929038,5138.746465028279
32.19378361750495,5203.359529520276,5247.691140503161
32.77510120839747,5313.933095658288,5359.126735649912
33.36691555063479,5427.040173321285,5473.112178461035
33.96941618224315,5612.73014909279,5660.290286705243
34.58279606370418,5804.966924637048,5854.062945847273
35.207251639753615,5929.117988734792,5979.1672523486
35.84298290229587,6132.594760970738,6184.25983227002
36.49019345445462,6343.261001981372,6396.593911738467
37.14909057577999,6479.557484394176,6533.9254860690035
37.81988528863306,6618.995198154327,6674.418375199842
38.502792425769485,6761.649477926509,6818.148368783431
39.19803069914265,6994.821248741343,7053.144129238533
39.90582276994998,7236.262324267096,7296.468276631418
40.6263953199437,7580.80315164299,7643.738026498681
41.35997912402927,7553.2063810627615,7615.773662677703
42.10680912417479,7814.65439699694,7879.242830164698
42.86712450465487,7984.579930355046,8050.423872470098
43.64116876865329,8261.470803908214,8329.44281384178
44.42918981624874,8548.226800915843,8618.39630849383
45.23144002380885,8734.909908685275,8806.445402760966
46.0481763248177,9038.652649852987,9112.502418708496
