ma_GeV,cl_TeV-1,ctau_TeV-1
8.010686295493979e-06,0.00010244016002798448,0.00030732235315556345
0.0001731937078894794,2.9069587405482693e-05,8.740588365481856e-05
0.0008809558187480769,1.3540363716833103e-05,4.420669096502693e-05
0.0020508155677140586,1.055428164080899e-05,2.9815036780441677e-05
0.0031958556576241266,1.1021977549293113e-05,2.4117375108817698e-05
0.004674388131860703,1.0223283756459585e-05,2.010863430570644e-05
0.006623704014748507,8.889895458746474e-06,1.702213295831448e-05
0.008625411361174248,7.869699666256547e-06,1.5079333785187035e-05
0.010431544711253257,7.151455042187781e-06,1.376918370336364e-05
0.01288521718440499,6.486910059403562e-06,1.2572859166799558e-05
0.016255830952355103,5.880532436182434e-06,1.1480467633034985e-05
0.019659749581494832,5.422466434443151e-06,1.064299506280796e-05
0.023034846423702165,5.0069436001250645e-06,9.866610124774743e-06
0.02756556969794432,4.693559529822138e-06,9.286463122965118e-06
0.03195855657624133,4.337964518540273e-06,8.609015769534433e-06
0.03705163178662637,3.949589354363367e-06,7.8609855637148e-06
0.04295636490267305,3.6508903261341026e-06,7.287498373131104e-06
0.04980210578249428,3.3234969518075736e-06,6.654258848981636e-06
0.05897150369276572,3.0226959270360265e-06,6.0760033184137285e-06
0.06694036458782851,2.7922521572830305e-06,5.632681735654952e-06
0.07598606327722242,2.616768666917687e-06,5.3013813620516924e-06
0.08625411361174268,2.4128326360648703e-06,4.914518098567315e-06
0.0938592466807652,2.29547624892226e-06,4.696054206054997e-06
0.101061829512275,2.216838900391279e-06,4.555792510717033e-06
0.1065425128971256,2.242264799752257e-06,4.625234423622347e-06
0.10881712506287582,2.4147617479394116e-06,4.989126932425843e-06
0.1065425128971256,2.6488375249280357e-06,5.463892803487531e-06
0.10431544711253216,2.9947511136468305e-06,6.167902774364041e-06
0.101061829512275,3.3370730422761065e-06,6.857968962486995e-06
0.0938592466807652,3.784234725858274e-06,7.7417361253072e-06
0.08625411361174284,4.226182537041772e-06,8.607994709496525e-06
0.07926520165084663,4.861626606652193e-06,9.865561378974253e-06
0.05653189946945134,7.978258271650815e-06,1.6020383028861516e-05
0.01591603415265799,4.346224378807229e-05,8.47970451168707e-05
0.006087005157433826,0.00013146803479228573,0.0002523868159486721
0.0014781713164339337,0.0003487602459948656,0.001219768660444594
0.00034410996363008084,0.0018889019182305592,0.005719132020803351
0.0001248332493762113,0.005582225447610788,0.016766230666518334
6.023050628323039e-05,0.011916379894194038,0.035758863158542736
4.205844492778345e-05,0.017405152217320134,0.05222231269474861
3.514564837031013e-05,0.021194414719991773,0.06358906502768868
