ma_GeV	ctau_ATLAS_pair	ctau_BelleII_proj
1e-08	199.80328001321558	3.661827474938186
1.6562899598879318e-08	199.80328000550617	3.661827474796894
2.7432964312255672e-08	199.80327999276744	3.661827474563429
4.5436943360353105e-08	199.80327997157303	3.6618274741749954
7.525675309574948e-08	199.80327993656329	3.6618274735333665
1.246470045662549e-07	199.80327987862262	3.661827472471478
2.0645158219319317e-07	199.8032797826672	3.661827470712888
3.419436827895647e-07	199.80327962387912	3.6618274678027527
5.663578886514598e-07	199.80327936065464	3.6618274629785943
9.380528846767402e-07	199.80327892516615	3.6618274549973253
1.553687574733997e-06	199.80327820408783	3.6618274417820045
2.5733571308345497e-06	199.80327701118125	3.6618274199194105
4.26222557900728e-06	199.80327503886693	3.6618273837724824
7.0594814332873e-06	199.80327178099546	3.6618273240649377
1.1692548219969022e-05	199.80326640797512	3.6618272255927127
1.936625022224024e-05	199.80325756865304	3.661827063593008
3.2076125803773936e-05	199.80324308437122	3.6618267981371995
5.3127365120892994e-05	199.80321949754494	3.661826365857567
8.799432144503537e-05	199.80318147098828	3.6618256689386275
0.00014574411113656342	199.80312115810196	3.6618245635744704
0.0002413945079882809	199.8030280856099	3.661822857819647
0.00039981929995307766	199.8028912704328	3.6618203503854625
0.0006622166922817039	199.80270845713068	3.6618169999360988
0.0010968228586963823	199.80251545013766	3.66181346266529
0.001816656688634398	199.80246859436286	3.6618126039318217
0.00300891023394841	199.80306182690236	3.661823476201847
0.004983627810692811	199.8056727663808	3.661871327317789
0.008254332706668777	199.81388715078282	3.6620218736876535
0.013671568387630072	199.83659969278492	3.662438130169146
0.02264408145635293	199.89499977725498	3.663508438093205
0.03750516476704194	200.03760556326824	3.6661219977168207
0.06211942784759416	200.37083242334742	3.6722291010213546
0.10288778465795302	201.11686463183062	3.685901755634592
0.17041200472407916	202.7140250414687	3.7151731763515556
0.28225169246886717	205.97435876563736	3.7749258471177147
0.4674906443975618	212.30939062052568	3.89102901468986
0.7743000606572211	224.04245030933055	4.106062723499413
1.282465416407172	244.87754107460796	4.487910848325378
2.124134593098695	280.7365859763684	5.145105444117917
3.5181828000000004	341.52173070437044	6.259124758607496
3.5199596600000005	341.6000417175784	6.260559977387368
3.521337633061225	341.66077419892	6.261673031531341
3.5227156061224494	341.7215079831095	6.262786109552819
3.524093579183674	341.7822430701489	6.263899211451842
3.5254715522448983	341.84297946099014	6.265012337245854
3.526849525306123	341.90371715559445	6.266125486934146
3.5282274983673476	341.9644561541413	6.267238660520007
3.529605471428572	342.02519645702716	6.268351858010703
3.5309834444897965	342.08593806457054	6.26946507941207
3.5323614175510207	342.14668097794777	6.27057832474567
3.5337393906122454	342.2074251949568	6.271691593971143
3.53511736367347	342.2681707185796	6.272804887143141
3.5364953367346943	342.3289175477333	6.273918204241817
3.537873309795919	342.389665683183	6.2750315452811956
3.539251282857143	342.4504151245825	6.27614491025493
3.540629255918368	342.51116587385997	6.2772582991983565
3.542007228979592	342.57191792945736	6.278371712082924
3.5433852020408168	342.63267129203786	6.279485148920785
3.5447631751020414	342.6934259631749	6.280598609740776
3.5461411481632656	342.75418194187523	6.2817120945246945
3.5475191212244903	342.81493922886256	6.2828256032858025
3.5488970942857145	342.875697823749	6.2839391360169925
3.550275067346939	342.9364577285964	6.285052692756052
3.551653040408164	342.99721894194744	6.286166273476272
3.553031013469388	343.05798146486865	6.287279878197198
3.5544089865306128	343.11874529759797	6.288393506923194
3.555786959591837	343.1795104408935	6.289507159668151
3.5571649326530617	343.24027689386304	6.290620836415719
3.5585429057142863	343.3010446577045	6.291734537187851
3.5599208787755106	343.3618137331141	6.292848261997306
3.5612988518367352	343.4225841193045	6.293962010829657
3.5626768248979594	343.4833558174079	6.295075783705654
3.564054797959184	343.54412882675626	6.29618958061305
3.565432771020409	343.60490314913494	6.2973034015845695
3.566810744081633	343.6656787834847	6.298417246600796
3.5681887171428577	343.7264557309811	6.299531115683279
3.569566690204082	343.78723399209673	6.300645008840677
3.5709446632653066	343.84801356573985	6.30175892605298
3.572322636326531	343.90879445367955	6.302872867352612
3.5737006093877555	343.9695766561354	6.303986832743598
3.57507858244898	344.03036017223775	6.305100822209997
3.5764565555102044	344.09114500370475	6.306214835783301
3.577834528571429	344.1519311500689	6.30732887345494
3.5792125016326533	344.2127186116491	6.308442935230761
3.580590474693878	344.27350738846974	6.309557021111208
3.5819684477551026	344.334297482083	6.310671131124728
3.583346420816327	344.3950888917782	6.311785265258298
3.5847243938775515	344.45588161784906	6.312899423517303
3.5861023669387757	344.51667566100815	6.314013605914798
3.5874803400000004	344.57747102063877	6.315127812439482
3.5892572	344.65586698305054	6.316564588097343
3.734645506188697	351.07796281147165	6.434263391388474
3.8859229862087985	357.77620721701885	6.55702321493322
4.043328189977595	364.7636487356534	6.6850832013897366
4.207109330238553	372.0541430742186	6.818697286569286
4.37752467396874	379.66242207948625	6.958135463443268
4.554842949640804	387.60417030273675	7.1036851853548235
4.739343770981724	395.89611016100264	7.255652926782916
4.931318077896532	404.55609690493435	7.414365923833975
5.131068595252345	413.6032247206411	7.580174118787739
5.338910310246121	423.057945596621	7.753452338590961
5.5551709691089215	432.94220280076286	7.934602741112323
5.78019159392995	443.27958116182197	8.12405756937567
6.014327020415301	454.09547673026617	8.322282260962174
6.257946457429481	465.41728885665026	8.529778968262171
6.511434069201976	477.2746383168165	8.747090556091502
6.775189581116991	489.6996157708148	8.974805155238869
7.0496289100416245	502.7270656994816	9.213561366218078
7.335184820186438	516.394912013398	9.464054226756812
