,ma_GeV,cl_1s+,cl_1s-,cl_2s+,cl_2s-
0,497.7023564332114,168.02326594943085,128.6214820650734,184.5968147779418,103.4375150647356
1,533.6699231206312,109.25600843322314,83.63526116332413,120.03284805923782,67.25955452874994
2,572.236765935022,86.99641160108531,66.59558324406346,95.5775998515849,53.556229756142784
3,613.5907273413176,74.43537598321376,56.98013500055021,81.77756357524433,45.823477368486486
4,657.9332246575682,66.10455964606206,50.602911358088285,72.62500870941354,40.69490820571934
5,705.4802310718645,60.0623102812031,45.977581265118864,65.9867614372608,36.975213458858576
6,756.463327554629,55.422135236253006,42.425536326875175,60.888886875248204,34.1186556279955
7,811.1308307896873,51.714094896250174,39.58703868553196,56.81509130911126,31.83593319451343
8,869.7490026177834,48.66280787405388,37.251284426839426,53.46283016784629,29.957517455229734
9,932.60334688322,46.09480110579893,35.28548025906721,50.641519279324875,28.376615921881015
10,1000.0,43.89464244747192,33.60126310132256,48.22434045567606,27.022166922931056
