"ma_GeV","ctau"
0.000101324,0.04010912897904963
0.000810161,0.04010912874754067
0.004979008,0.040109120099767616
0.016271537,0.04010903411223207
0.02827669,0.04074580488192532
0.033113112,0.04139193364438097
0.038776752,0.043393563988879176
0.045409096,0.04769248606917547
0.049139255,0.05495236563908679
0.049139255,0.08675179110658832
0.04723737,0.10479258034208538
0.044815534,0.12658532574403586
0.038269884,0.2095018748271116
0.027907073,0.49025521326660465
0.01956269,1.0943129105304736
0.014265458,2.293557381020279
0.00961296,5.4522842253696595
0.00700994,10.729901561296783
0.005317583,20.786209170387156
0.004087225,36.637782851654045
0.003444632,53.460346505323734
