"ma_GeV","gtau"
0.147619925,0.6278584712021498
0.129832345,0.935867103580762
0.112731325,1.5772373806616504
0.099147673,2.577754462410263
0.082835331,4.911939772633504
0.159441815,0.4762638873977523
0.172210441,0.3503465338199218
0.186001621,0.27403858929468494
0.200897243,0.22792407063608094
0.222629978,0.19547331612275032
0.253131227,0.1755352502146866
0.295297808,0.17821343849499935
0.327242641,0.17818163774435897
0.367329461,0.1808924882794838
0.401873361,0.19230239556126405
0.451102354,0.19822227384941793
0.506361837,0.20430491943301812
0.568390539,0.21054761268864652
0.671641536,0.2202136492714556
0.76365927,0.2268054233469025
0.890869573,0.23342232397372348
1.012922477,0.24017926024949054
1.181655025,0.25449508784156744
1.378495029,0.2651933261324854
1.649955073,0.2840005695487593
1.924804464,0.29887551768723214
2.303846457,0.3120404509488642
2.687621024,0.3236441453530471
3.135324729,0.32973515778405427
3.657606883,0.3335233725293203
4.266890759,0.3777933255256807
5.107147944,0.4508428766418084
5.881887702,0.5237050109646119
6.602411708,0.6140263536542269
7.316649782,0.7401697140872266
7.902591204,0.901651050977972
8.319061779,1.1103011993494554
8.645755985,1.4067153863606714
8.985279655,1.7549871479038328
9.219004243,2.323160450979967
9.33813661,2.976070478264324
