"*(ma_GeV)","""ctau""*"
0.000100429,0.0055539808097910155
0.001974872,0.005553980616778086
0.017518399,0.005553965582941635
0.052850406,0.005553842213853089
0.090625219,0.0057267166043675
0.108471585,0.006089505901015766
0.120205863,0.006676777773079784
0.129832345,0.007549085545688294
0.133209536,0.008801116407311535
0.133209536,0.010581249478595074
0.129832345,0.012721962085554647
0.120205863,0.016771091270535558
0.111293141,0.02210896392122464
0.097882785,0.030991663978132133
0.070101112,0.07549644032636768
0.048307534,0.18390955204139214
0.025097372,0.8028057528414243
0.012872575,3.3984356918744005
0.00750697,10.913049803478767
0.004977669,26.583545974217305
0.003850365,46.19691290462284
