ma_GeV,c_g2e
0.001,28.978374354947242
0.0010718913192051276,29.41986127177921
0.0011489510001873086,29.87245461221353
0.0012315506032928262,30.335111570178068
0.001320088400831418,30.80667037720659
0.0014149912974345759,31.285857727509597
0.0015167168884709225,31.66216147616243
0.0016257556664437934,32.156870457111474
0.0017426333860096508,32.65482508826712
0.0018679135990207828,33.15443270411443
0.0020022003718155844,33.65406556778542
0.0021461411978584036,34.1520831505248
0.002300430119772917,34.64685550426163
0.002465811075822604,35.13678704437616
0.0026430814869741054,35.62034000769482
0.002833096101839324,36.096056838043346
0.0030367711180354575,36.56258077891491
0.0032550885998350564,37.01867402124402
0.0034891012134067737,37.46323286099799
0.0037399373024787977,37.89529945350667
0.004008806328898464,38.31406990828294
0.00429700470432084,38.718898632891154
0.004605922041145104,39.10929898785263
0.004937047852839003,39.48494047380594
0.005291978735958442,39.99770178325505
0.005672426068491977,40.313915384167025
0.006080224261649421,40.62076213280098
0.00651733960488242,40.91746594675619
0.0069858797467852495,41.20352229426135
0.007488103857590023,41.478657139487254
0.008026433522257174,41.74278993411059
0.008603464416684501,41.99600033908532
0.009221978823334321,42.23849845492669
0.009884959046625586,42.470598381359814
0.010595601792776159,42.69269493803421
0.01135733358343105,42.90524337146216
0.012173827277396614,43.1087418592514
0.013049019780144023,43.30371660751265
0.01398713102647238,43.490709324908345
0.014992684327860457,43.67026684918346
0.016070528182616384,43.84293269988842
0.017225859653987867,44.009240334219285
0.018464249428955436,44.16970789079499
0.019791668678535563,44.32483421784292
0.021214517849106298,44.47509599666645
0.022739657523579274,44.62094578745167
0.024374441501222206,44.76281084157268
0.026126752255633278,44.90109254185375
0.02800503894183631,45.03616634917163
0.03001835813575589,45.16838214990926
0.032176417502507354,45.29806491381011
0.03448962260405758,45.425515585549405
0.03696912707195026,45.55101214574554
0.03962688638701478,45.67481078816023
0.04247571552536898,45.797147169514076
0.04552935074866948,45.91823769674301
0.04880251583654431,46.03828082373277
0.052310993080562605,46.157458335700646
0.05607169938205458,46.275936604556605
0.06010276782070382,46.393867802882134
0.0644236350872137,46.51139106772201
0.06905513520162328,46.62863360829283
0.07401959996915641,46.74571175406555
0.07934096665797492,46.862731941560334
0.08504489341802678,46.97979163967596
0.09115888299750818,47.09698021452821
0.09771241535346496,47.21437973564775
0.10473708979594497,47.332065726038984
0.11226677735108136,47.45010785906642
0.12033778407775893,47.56857060545196
0.1289890261253308,47.687513833862276
0.1382622173764655,47.80699336866663
0.14820207057988585,47.9270615084709
0.15885651294280528,48.04776750899975
0.17027691722258995,48.16915803381948
0.18251834943190426,48.29127757627828
0.1956398343517063,48.41416885589763
0.2097046401323233,48.53787319228249
0.22478058335487253,48.66243085943542
0.24094035602395245,48.78788142316014
0.2582618760682675,48.914264064028934
0.2768286630392064,49.04161788816192
0.29673024081888694,49.169982227828896
0.3180625692794119,49.29939693363115
0.3409285069746811,49.42990265975423
0.36543830709572545,49.561541143498715
0.39171014908092566,49.694355479996204
0.419870708444391,49.828390392698594
0.4500557675700497,49.963692499892566
0.48241087041653685,50.100310577136135
0.5170920242896755,50.23829581514355
0.5542664520663102,50.37770207225971
0.5941133984965034,50.518586120271976
0.6368249944718586,50.66100788190957
0.6826071834272386,50.805030657987956
0.7316807143427192,50.95072134177751
0.7842822061337682,51.0981506178238
0.8406652885618325,51.247393142134804
0.9011018251665018,51.39852770039512
0.9658832241158698,51.551637340683556
1.0353218432956617,51.70680947707787
1.1097524964120722,51.86413596054531
1.1895340673703196,52.02371311365662
1.2750512407130128,52.18564172593801
1.366716356462006,52.35002700710299
1.464971398307285,52.516978495986464
1.5702901247293775,52.68660992374142
1.6831803533309566,52.85903903074313
1.8041864093920719,53.03438733766534
1.9338917504552302,53.212779872321896
2.07292177959537,53.39434485507636
2.2219468609395236,53.57921334687105
2.381685551976158,53.7675188651712
2.5529080682395167,53.95939697430965
2.7364399970746693,54.1549848578008
2.9331662783900425,54.35442088111886
3.1440354715915,54.55784415415708
3.370064329271928,54.765394103056934
3.6123426997094303,54.977210061802104
3.8720387818125532,55.193430890489466
4.150404757850472,55.414194637185
4.448782831127585,55.63963824138702
4.768611697714469,55.86989729595918
5.111433483440165,56.10510586977952
5.478901179593939,56.34539639749625
5.872786613189477,56.59089964014783
6.294988990221888,56.84174471895707
6.747544053110693,57.098059223084725
7.2326338964835335,57.359969390659245
7.752597488629457,57.6276003610423
8.309941949353387,57.90107649509136
8.907354638610439,58.18052175917446
9.547716114208056,58.466060167905944
10.234114021054527,58.75781628001609
10.96985797892384,59.05591574144723
11.758495540521558,59.3604858696749
12.603829296797274,59.67165627337122
13.50993521198025,59.98955950183525
14.481182276745331,60.31433171908753
15.52225357427048,60.646113398131305
16.638168860761272,60.98505003159508
17.834308769319094,61.33129285575746
19.116440753857,61.68499958579203
20.49074689815846,62.046335160932
21.96385372416547,62.41547249912088
23.542864143224154,62.79259326157281
25.23539170434766,63.17788862850064
27.049597304631316,63.57156008807352
28.99422853882875,63.973820241438474
31.07866187782014,64.38489362737607
33.3129478793467,64.80501757086832
35.707859649004625,65.23444306053823
38.27494478516307,65.67343566058538
41.0265810582719,66.1222764635015
43.97603609302721,66.58126309051272
47.13753134116719,67.05071074737953
50.526310653356795,67.53095334390184
54.15871378079465,68.02234468624289
58.05225516094896,68.52525975202163
62.22570836730231,69.04009605904305
66.69919663030115,69.5672751395672
71.49428986597577,70.10724413317651
76.63410868007446,70.66047751261941
82.14343584919422,71.22747895851172
88.04883581643465,71.80878340049777
94.37878277775371,72.40495924445351
