ma_GeV,BR_inv
0.019323671497584627,2.6922012829804136e-06
0.038647342995169254,2.6922012829804136e-06
0.05797101449275344,2.6922012829804136e-06
0.13526570048309194,2.7257365073673116e-06
0.15458937198067613,2.7257365073673116e-06
0.17391304347826075,2.7257365073673116e-06
0.19323671497584538,2.7257365073673116e-06
0.21256038647343,2.7257365073673116e-06
0.23188405797101463,2.7257365073673116e-06
0.2512077294685988,2.7257365073673116e-06
0.27053140096618344,2.7257365073673116e-06
0.28985507246376807,2.7257365073673116e-06
0.3091787439613527,2.7257365073673116e-06
0.3285024154589373,2.7257365073673116e-06
0.3478260869565215,2.7257365073673116e-06
0.36714975845410613,2.7257365073673116e-06
0.4057971014492754,2.7596894610234897e-06
0.42512077294686,2.7596894610234897e-06
0.4444444444444442,2.7596894610234897e-06
0.4637681159420288,2.7596894610234897e-06
0.48309178743961345,2.7596894610234897e-06
0.5024154589371981,2.7596894610234897e-06
0.5217391304347827,2.7596894610234897e-06
0.5410628019323669,2.7596894610234897e-06
0.5603864734299515,2.7596894610234897e-06
0.5990338164251208,2.7940653473655174e-06
0.6183574879227054,2.7940653473655174e-06
0.63768115942029,2.7940653473655174e-06
0.6570048309178742,2.7940653473655174e-06
0.6763285024154588,2.7940653473655174e-06
0.6956521739130435,2.7940653473655174e-06
0.7342995169082127,2.828869434625972e-06
0.7536231884057969,2.828869434625972e-06
0.7729468599033815,2.828869434625972e-06
0.7922705314009661,2.828869434625972e-06
0.8115942028985508,2.828869434625972e-06
0.8502415458937196,2.864107056660829e-06
0.8695652173913042,2.864107056660829e-06
0.8888888888888888,2.864107056660829e-06
0.9275362318840581,2.89978361376688e-06
0.9468599033816423,2.89978361376688e-06
0.9661835748792269,2.89978361376688e-06
0.9855072463768115,2.89978361376688e-06
1.0048309178743962,2.9359045735093413e-06
1.0241545893719808,2.9359045735093413e-06
1.043478260869565,2.9359045735093413e-06
1.0628019323671496,2.9359045735093413e-06
1.0821256038647342,2.9359045735093413e-06
1.1014492753623188,2.972475471559787e-06
1.1207729468599035,2.972475471559787e-06
1.1400966183574877,2.972475471559787e-06
1.1594202898550723,2.972475471559787e-06
1.178743961352657,3.0095019125445243e-06
1.1980676328502415,3.0095019125445243e-06
1.2173913043478262,3.0095019125445243e-06
1.2367149758454103,3.0095019125445243e-06
1.256038647342995,3.0469895709035113e-06
1.2753623188405796,3.0469895709035113e-06
1.2946859903381642,3.0469895709035113e-06
1.3140096618357489,3.0469895709035113e-06
1.333333333333333,3.0849441917599743e-06
1.3526570048309177,3.0849441917599743e-06
1.3719806763285023,3.12337159180088e-06
1.391304347826087,3.12337159180088e-06
1.4299516908212557,3.162277660168379e-06
1.4492753623188404,3.162277660168379e-06
1.468599033816425,3.2016683593623263e-06
1.4879227053140096,3.2016683593623263e-06
1.5072463768115942,3.2016683593623263e-06
1.545893719806763,3.24154972615404e-06
1.5652173913043477,3.24154972615404e-06
1.5845410628019323,3.24154972615404e-06
1.603864734299517,3.24154972615404e-06
1.6231884057971016,3.2819278725114776e-06
1.6425120772946857,3.2819278725114776e-06
1.6618357487922704,3.2819278725114776e-06
1.7004830917874396,3.3228089865359253e-06
1.7198067632850242,3.3228089865359253e-06
1.7391304347826089,3.3228089865359253e-06
1.7584541062801935,3.3228089865359253e-06
1.7777777777777772,3.3228089865359253e-06
1.8164251207729465,3.3641993334103395e-06
1.8357487922705311,3.3641993334103395e-06
1.8550724637681157,3.3641993334103395e-06
1.8743961352657004,3.3641993334103395e-06
1.893719806763285,3.3641993334103395e-06
1.9130434782608696,3.3641993334103395e-06
1.9323671497584543,3.3641993334103395e-06
1.9516908212560389,3.3641993334103395e-06
1.9710144927536235,3.3641993334103395e-06
1.9903381642512072,3.3641993334103395e-06
2.009661835748792,3.3641993334103395e-06
2.0869565217391304,3.406105256359492e-06
2.106280193236715,3.406105256359492e-06
2.1256038647342996,3.406105256359492e-06
2.1449275362318843,3.406105256359492e-06
2.164251207729469,3.406105256359492e-06
2.1835748792270526,3.406105256359492e-06
2.2028985507246372,3.406105256359492e-06
2.222222222222222,3.406105256359492e-06
2.2415458937198065,3.406105256359492e-06
2.260869565217391,3.406105256359492e-06
2.2801932367149758,3.406105256359492e-06
2.2995169082125604,3.406105256359492e-06
2.318840579710145,3.406105256359492e-06
2.3381642512077296,3.406105256359492e-06
2.3574879227053143,3.406105256359492e-06
2.376811594202898,3.406105256359492e-06
2.3961352657004826,3.406105256359492e-06
2.4154589371980673,3.406105256359492e-06
2.434782608695652,3.406105256359492e-06
2.4541062801932365,3.406105256359492e-06
2.473429951690821,3.406105256359492e-06
2.4927536231884058,3.406105256359492e-06
2.5120772946859904,3.406105256359492e-06
2.531400966183575,3.3641993334103395e-06
2.5507246376811596,3.3641993334103395e-06
2.5700483091787434,3.3641993334103395e-06
2.6086956521739126,3.3228089865359253e-06
2.6280193236714973,3.3228089865359253e-06
2.647342995169082,3.2819278725114776e-06
2.685990338164251,3.24154972615404e-06
2.7053140096618358,3.2016683593623263e-06
2.7246376811594204,3.2016683593623263e-06
2.743961352657005,3.162277660168379e-06
2.7632850241545897,3.12337159180088e-06
2.7826086956521734,3.12337159180088e-06
2.801932367149758,3.0849441917599743e-06
2.8212560386473426,3.0849441917599743e-06
2.8405797101449273,3.0469895709035113e-06
2.859903381642512,3.0469895709035113e-06
2.8792270531400965,3.0095019125445243e-06
2.898550724637681,3.0095019125445243e-06
2.917874396135266,2.972475471559787e-06
2.9371980676328504,2.972475471559787e-06
2.956521739130435,2.9359045735093413e-06
