ma_GeV,BR_inv
0.0,1.0811807510766079e-06
0.02416918429003001,1.0811807510766079e-06
0.048338368580060465,1.0811807510766079e-06
0.07250755287009047,1.0811807510766079e-06
0.09667673716012093,1.0811807510766079e-06
0.12084592145015094,1.0811807510766079e-06
0.24169184290030188,1.1096799524483302e-06
0.26586102719033233,1.1096799524483302e-06
0.29003021148036234,1.1096799524483302e-06
0.3141993957703928,1.1096799524483302e-06
0.3383685800604228,1.1096799524483302e-06
0.36253776435045326,1.1096799524483302e-06
0.3867069486404833,1.1096799524483302e-06
0.4108761329305137,1.1096799524483302e-06
0.43504531722054374,1.1096799524483302e-06
0.45921450151057375,1.1096799524483302e-06
0.6042296072507551,1.1389303737044358e-06
0.6283987915407856,1.1389303737044358e-06
0.6525679758308156,1.1389303737044358e-06
0.6767371601208461,1.1389303737044358e-06
0.7009063444108761,1.1389303737044358e-06
0.7250755287009061,1.1389303737044358e-06
0.821752265861027,1.1689518164985776e-06
0.8459214501510575,1.1689518164985776e-06
0.8700906344410875,1.1689518164985776e-06
0.8942598187311179,1.1689518164985776e-06
0.9184290030211479,1.1689518164985776e-06
0.9909365558912384,1.19976460444274e-06
1.0151057401812689,1.19976460444274e-06
1.0392749244712989,1.19976460444274e-06
1.1117824773413898,1.2313895968657233e-06
1.1359516616314198,1.2313895968657233e-06
1.1601208459214498,1.2313895968657233e-06
1.2084592145015107,1.263848202934297e-06
1.2326283987915407,1.263848202934297e-06
1.2567975830815707,1.263848202934297e-06
1.3051359516616317,1.2971623961465308e-06
1.3293051359516617,1.2971623961465308e-06
1.3776435045317217,1.3313547292072068e-06
1.4018126888217526,1.3313547292072068e-06
1.4259818731117826,1.3313547292072068e-06
1.4743202416918426,1.3664483492953243e-06
1.4984894259818726,1.3664483492953243e-06
1.5468277945619335,1.4024670137340385e-06
1.5709969788519635,1.4024670137340385e-06
1.6193353474320245,1.4394351060736415e-06
1.6435045317220545,1.4394351060736415e-06
1.6676737160120845,1.4773776525985097e-06
1.6918429003021145,1.4773776525985097e-06
1.7160120845921454,1.516320339269135e-06
1.7401812688821754,1.516320339269135e-06
1.7643504531722054,1.5562895291107363e-06
1.7885196374622354,1.5562895291107363e-06
1.8126888217522654,1.5973122800602524e-06
1.8368580060422963,1.6394163632837398e-06
1.8610271903323263,1.6394163632837398e-06
1.8851963746223563,1.682630281976606e-06
1.9093655589123864,1.7269832906594324e-06
1.9335347432024172,1.7269832906594324e-06
1.9818731117824773,1.7725054149823947e-06
2.0060422960725073,1.7725054149823947e-06
2.0302114803625373,1.8192274720517112e-06
2.054380664652568,1.8192274720517112e-06
2.078549848942598,1.8192274720517112e-06
2.126888217522658,1.8671810912919168e-06
2.151057401812689,1.8671810912919168e-06
2.175226586102719,1.8671810912919168e-06
2.199395770392749,1.8671810912919168e-06
2.223564954682779,1.8671810912919168e-06
2.247734138972809,1.8671810912919168e-06
2.3202416918429,1.91639873585802e-06
2.34441087613293,1.91639873585802e-06
2.368580060422961,1.91639873585802e-06
2.392749244712991,1.9669137246120715e-06
2.416918429003021,1.9669137246120715e-06
2.465256797583082,2.0187602546790346e-06
2.489425981873112,2.0719734245972357e-06
2.513595166163142,2.1265892580789675e-06
2.537764350453172,2.1265892580789675e-06
2.561933534743202,2.1826447283974873e-06
2.586102719033233,2.2401777834168102e-06
2.610271903323263,2.2401777834168102e-06
2.634441087613293,2.2992273712812643e-06
2.658610271903323,2.2992273712812643e-06
2.682779456193354,2.3598334667821937e-06
2.706948640483384,2.3598334667821937e-06
2.755287009063444,2.422037098419717e-06
2.779456193353474,2.422037098419717e-06
2.8036253776435047,2.422037098419717e-06
2.8277945619335347,2.422037098419717e-06
2.8761329305135948,2.4858803761777716e-06
2.9003021148036257,2.4858803761777716e-06
2.9244712990936557,2.4858803761777716e-06
2.9486404833836857,2.4858803761777716e-06
2.9969788519637466,2.5514065200312875e-06
3.0211480362537766,2.5514065200312875e-06
3.0453172205438066,2.5514065200312875e-06
3.0694864048338366,2.5514065200312875e-06
3.0936555891238666,2.5514065200312875e-06
3.1178247734138975,2.5514065200312875e-06
3.1419939577039275,2.5514065200312875e-06
3.1661631419939575,2.4858803761777716e-06
3.1903323262839876,2.422037098419717e-06
3.2386706948640485,2.3598334667821937e-06
3.2628398791540785,2.2992273712812643e-06
3.2870090634441085,2.2992273712812643e-06
3.3111782477341385,2.2401777834168102e-06
3.3353474320241694,2.2401777834168102e-06
3.3595166163141994,2.2401777834168102e-06
3.3836858006042294,2.2401777834168102e-06
3.4078549848942594,2.2401777834168102e-06
3.4320241691842903,2.2401777834168102e-06
3.4561933534743203,2.2401777834168102e-06
3.4803625377643503,2.1826447283974873e-06
3.5045317220543803,2.1265892580789675e-06
3.5287009063444104,2.0719734245972357e-06
3.5528700906344413,2.0187602546790346e-06
3.5770392749244713,1.91639873585802e-06
3.6012084592145013,1.8671810912919168e-06
3.6253776435045313,1.7269832906594324e-06
3.649546827794562,1.6394163632837398e-06
3.673716012084592,1.5562895291107363e-06
3.697885196374622,1.4394351060736415e-06
3.722054380664652,1.3664483492953243e-06
3.746223564954683,1.2313895968657233e-06
3.770392749244713,1.1389303737044358e-06
3.794561933534743,1.0811807510766079e-06
3.818731117824773,1e-06
3.842900302114803,9.492948612477545e-07
3.867069486404834,8.780167981186077e-07
3.891238670694864,8.554672535565684e-07
3.915407854984894,8.120906677669803e-07
3.939577039274924,8.120906677669803e-07
3.987915407854985,7.912342618981327e-07
4.0120845921450154,7.912342618981327e-07
4.036253776435045,7.912342618981327e-07
