ma_GeV,BR
0.0,3.162277660168379e-06
0.010385756676557945,3.162277660168379e-06
0.02077151335311589,3.162277660168379e-06
0.03115727002967361,3.162277660168379e-06
0.041543026706231556,3.162277660168379e-06
0.0519287833827895,3.162277660168379e-06
0.06231454005934722,3.162277660168379e-06
0.07270029673590517,3.162277660168379e-06
0.08308605341246289,3.162277660168379e-06
0.09347181008902083,3.1868065762459134e-06
0.10385756676557878,3.1868065762459134e-06
0.1142433234421365,3.1868065762459134e-06
0.12462908011869445,3.1868065762459134e-06
0.1350148367952524,3.1868065762459134e-06
0.1454005934718101,3.1868065762459134e-06
0.15578635014836806,3.1868065762459134e-06
0.166172106824926,3.1868065762459134e-06
0.17655786350148372,3.1868065762459134e-06
0.18694362017804167,3.1868065762459134e-06
0.1973293768545994,3.1868065762459134e-06
0.20771513353115734,3.2115257563636667e-06
0.21810089020771528,3.2115257563636667e-06
0.228486646884273,3.2115257563636667e-06
0.23887240356083095,3.2115257563636667e-06
0.2492581602373889,3.2115257563636667e-06
0.2596439169139466,3.2115257563636667e-06
0.27002967359050456,3.2115257563636667e-06
0.2804154302670623,3.2115257563636667e-06
0.2908011869436202,3.2115257563636667e-06
0.30118694362017817,3.2115257563636667e-06
0.3115727002967359,3.236436676347363e-06
0.32195845697329384,3.236436676347363e-06
0.3323442136498518,3.236436676347363e-06
0.3427299703264095,3.236436676347363e-06
0.35311572700296745,3.236436676347363e-06
0.3635014836795254,3.236436676347363e-06
0.3738872403560831,3.236436676347363e-06
0.38427299703264106,3.2615408234702723e-06
0.3946587537091988,3.2615408234702723e-06
0.40504451038575673,3.2615408234702723e-06
0.4154302670623147,3.2615408234702723e-06
0.4258160237388724,3.2615408234702723e-06
0.43620178041543034,3.2868396965420545e-06
0.4465875370919883,3.2868396965420545e-06
0.456973293768546,3.2868396965420545e-06
0.46735905044510395,3.2868396965420545e-06
0.4777448071216619,3.2868396965420545e-06
0.4881305637982196,3.2868396965420545e-06
0.49851632047477734,3.312334805998223e-06
0.5089020771513355,3.312334805998223e-06
0.5192878338278932,3.312334805998223e-06
0.529673590504451,3.312334805998223e-06
0.5400593471810091,3.312334805998223e-06
0.5504451038575668,3.3380276739903077e-06
0.5608308605341246,3.3380276739903077e-06
0.5712166172106827,3.3380276739903077e-06
0.5816023738872405,3.3380276739903077e-06
0.5919881305637982,3.3380276739903077e-06
0.6023738872403563,3.3380276739903077e-06
0.6127596439169141,3.3639198344767506e-06
0.6231454005934718,3.3639198344767506e-06
0.6335311572700295,3.3639198344767506e-06
0.6439169139465877,3.3639198344767506e-06
0.6543026706231454,3.3639198344767506e-06
0.6646884272997031,3.3639198344767506e-06
0.6750741839762613,3.3639198344767506e-06
0.685459940652819,3.3639198344767506e-06
0.6958456973293767,3.3639198344767506e-06
0.7062314540059349,3.3639198344767506e-06
0.7166172106824926,3.390012833314499e-06
0.7270029673590503,3.390012833314499e-06
0.7373887240356085,3.390012833314499e-06
0.7477744807121662,3.390012833314499e-06
0.758160237388724,3.390012833314499e-06
0.7685459940652821,3.390012833314499e-06
0.7789317507418398,3.390012833314499e-06
0.7893175074183976,3.4163082283512866e-06
0.7997032640949557,3.4163082283512866e-06
0.8100890207715135,3.4163082283512866e-06
0.8204747774480712,3.4163082283512866e-06
0.8308605341246293,3.4163082283512866e-06
0.8412462908011871,3.4163082283512866e-06
0.8516320474777448,3.4163082283512866e-06
0.8620178041543025,3.4163082283512866e-06
0.8724035608308607,3.4163082283512866e-06
0.8827893175074184,3.4163082283512866e-06
0.8931750741839761,3.442807589518621e-06
0.9035608308605343,3.442807589518621e-06
0.913946587537092,3.442807589518621e-06
0.9243323442136497,3.442807589518621e-06
0.9347181008902079,3.442807589518621e-06
0.9451038575667656,3.442807589518621e-06
0.9554896142433233,3.442807589518621e-06
0.9658753709198815,3.442807589518621e-06
0.9762611275964392,3.442807589518621e-06
0.986646884272997,3.442807589518621e-06
0.9970326409495551,3.442807589518621e-06
1.0074183976261128,3.442807589518621e-06
1.0178041543026706,3.4163082283512866e-06
1.0281899109792287,3.4163082283512866e-06
1.0385756676557865,3.4163082283512866e-06
1.0489614243323442,3.4163082283512866e-06
1.059347181008902,3.4163082283512866e-06
1.06973293768546,3.4163082283512866e-06
1.0801186943620178,3.4163082283512866e-06
1.0905044510385755,3.4163082283512866e-06
1.1008902077151337,3.4163082283512866e-06
1.1112759643916914,3.4163082283512866e-06
1.1216617210682491,3.4163082283512866e-06
1.1320474777448073,3.390012833314499e-06
1.142433234421365,3.390012833314499e-06
1.1528189910979227,3.390012833314499e-06
1.163204747774481,3.390012833314499e-06
1.1735905044510386,3.390012833314499e-06
1.1839762611275964,3.390012833314499e-06
1.1943620178041545,3.3639198344767506e-06
1.2047477744807122,3.3639198344767506e-06
1.21513353115727,3.3639198344767506e-06
1.2255192878338281,3.3639198344767506e-06
1.2359050445103859,3.3380276739903077e-06
1.2462908011869436,3.3380276739903077e-06
1.2566765578635013,3.3380276739903077e-06
1.2670623145400595,3.312334805998223e-06
1.2774480712166172,3.312334805998223e-06
1.287833827893175,3.312334805998223e-06
1.298219584569733,3.312334805998223e-06
1.3086053412462908,3.2868396965420545e-06
1.3189910979228485,3.2868396965420545e-06
1.3293768545994067,3.2615408234702723e-06
1.3397626112759644,3.2615408234702723e-06
1.3501483679525221,3.236436676347363e-06
1.3605341246290803,3.236436676347363e-06
1.370919881305638,3.236436676347363e-06
1.3813056379821957,3.2115257563636667e-06
1.391691394658754,3.2115257563636667e-06
1.4020771513353116,3.1868065762459134e-06
