ma_GeV,ctau
15.738956737547193,1565.712331724293
15.763462476142903,1560.403376670246
15.788006370458461,1555.1124230096825
15.812588479902775,1549.8394097041962
15.837208863977255,1544.5842759223415
15.861867582275925,1539.3469610389434
15.88656469448563,1534.1274046343915
15.911300260386131,1528.9255464939395
15.936074339850284,1523.7413266070196
15.960886992844138,1518.5746851665451
15.985738279427133,1513.4255625682167
16.010628259752227,1508.293899409843
16.03555699406601,1503.179636490652
16.0605245427089,1498.0827148106014
16.085530966115257,1493.0030755697098
16.110576324813554,1487.940660167372
16.13566067942647,1482.8954102016785
16.160784090671108,1477.8672674687516
16.185946619359104,1472.8561739620689
16.21114832639676,1467.8620718717893
16.236389272785225,1462.8849035840965
16.26166951962063,1457.9246116805261
16.286989128094227,1462.8849035840965
16.312348159492537,1467.8620718717893
16.33774667519752,1472.8561739620689
16.64563111351246,1390.2208503337613
16.67154855465106,1385.5069448096904
16.697506349546778,1380.8090230088433
16.723504561030897,1376.1270307342447
16.749543252032502,1371.4609139726927
16.775622485578683,1366.8106188941306
16.801742324794645,1362.176091851023
16.8279028329039,1357.5572793777442
16.85410407322838,1352.954128189956
16.880346109188615,1348.366585183997
16.906629004303895,1343.794597436262
16.93295282219238,1339.2381122026022
16.95931762657132,1334.6970769177117
16.985723481257146,1330.1714391945159
17.012170450165673,1325.661146823577
17.038658597312228,1321.1661477724867
17.06518798681179,1316.6863901852623
17.091758682879195,1307.772392857055
17.11837074982924,1303.3380502808834
17.145024252076873,1298.918743497018
17.171719254137336,1294.5144215226942
17.198455820626318,1298.918743497018
17.225234016260128,1303.3380502808834
17.25205390585581,1307.772392857055
17.278915554331366,1307.772392857055
17.549843131909522,1230.2136247693793
17.577168441671645,1226.0422653769535
17.60453629725872,1221.8850500639207
17.63194676491506,1217.741930871101
17.659399910988178,1213.612860001932
17.686895801928863,1209.4977898219147
17.714434504291354,1205.3966728580708
17.742016084733546,1201.3094617983916
17.769640610017106,1197.2361094912883
17.79730814700766,1193.1765689450554
17.82501876267491,1189.1307933273254
17.852772524092877,1185.0987359645237
17.88056949844,1181.080350341339
17.908409752999294,1177.0755901001821
17.936293355158565,1169.1067611189874
17.964220372410523,1165.1426004475784
17.992190872352985,1161.1918812943866
18.02020492268899,1157.254558082448
18.048262591227015,1153.3305853893398
18.076363945881113,1149.4199179466514
18.10450905467106,1145.5225106394705
18.132697985722558,1145.5225106394705
18.160930807267384,1149.4199179466514
18.189207587643555,1153.3305853893398
18.21752839529546,1157.254558082448
18.50317310616168,1084.9311453268272
18.531982761775566,1081.252403982987
18.56083727435814,1077.586136368869
18.589736713752217,1073.9323001890475
18.618681149909378,1066.6617536671731
18.64767065289009,1063.0449594493914
18.676705292863932,1059.440428913484
18.705785140109715,1055.8481204762452
18.734910265015696,1052.26799269547
18.764080738079716,1048.7000042694742
18.793296629909385,1045.144114036615
18.822558011222256,1038.068464201119
18.85186495284597,1034.5486229711541
18.881217525718473,1031.040716678731
18.910615800888138,1027.5447048553383
18.940059849513975,1024.060547169685
18.96954974286579,1020.5882034272303
18.999085552324356,1017.1276335697272
19.028667349381596,1010.2416559552621
19.05829520564071,1006.8161687591013
19.087969192816438,1010.2416559552621
19.11768938273513,1010.2416559552621
19.147455847335,1013.6787976747562
19.17726865866627,1017.1276335697272
19.477961773689664,953.5615485160613
19.50828918659019,950.3282499721565
19.53866381962515,943.8945057303092
19.56908574631682,940.6939858103032
19.599555040301983,937.50431808585
19.630071775332066,934.3254657597578
19.66063602527334,928.000060737316
19.691247864107055,924.8534350687413
19.721907365929674,921.7174788532388
19.75261460495304,918.5921559132499
19.783369655504504,915.477430193888
19.814172592027187,909.2796268083497
19.845023489080102,906.1964776420082
19.875922421338355,903.1237826951416
19.90686946359331,900.0615065199969
19.937864690752793,897.0096137890184
19.968908177841275,890.9368379478657
20.000000000000004,887.9158847798907
20.031140232487253,884.9051749396748
20.062328950678474,884.9051749396748
20.09356623006648,887.9158847798907
20.124852146261592,890.9368379478657
20.156186774991898,893.968069294438
20.440403051291543,838.098925194406
20.472228996449058,835.2571327178772
20.504104494973145,832.4249760781654
20.536029624018962,829.6024226024588
20.568004460861825,823.9859950053661
20.60002908289733,821.1920560907826
20.632103567641618,818.4075907530638
20.66422799273149,815.6325668695805
20.69640243592465,810.1107155190464
20.72862697509987,807.3638243498646
20.760901688257178,804.626247229924
20.793226653518055,801.8979525775184
20.825601949125588,796.4690848835443
20.858027653444736,793.7684492125416
20.890503844962424,791.0769707494773
20.923030602287824,788.394618444456
20.95560800415248,783.0571686350157
20.98823612941053,780.4020095557904
21.020915057038902,777.755853484288
21.05364486613745,775.1186698934664
21.08642563592924,777.755853484288
21.11925744576064,780.4020095557904
21.15214037510159,780.4020095557904
21.48379881364191,731.6302538014282
21.51724933813022,729.1494710580656
21.550751945473994,726.6771000540853
21.584306716766864,721.7574792722222
21.61791373322868,719.3101727397644
21.651573076205782,716.8711644368861
21.685284827171174,714.4404262262818
21.719049067724704,709.6036480093752
21.75286587959325,707.1975522042028
21.78673534463098,704.7996148929155
21.820657544819493,702.4098084120177
21.854632562268012,697.6544777560896
21.888660479213637,695.288898721796
21.9227413780215,692.9313407987344
21.956875341184983,688.2401795878692
21.991062451325888,685.9065221810853
22.025302791194687,683.5807776469499
22.059596443670696,681.2629191548081
22.093943491762236,678.9529199649833
22.12834401860692,681.2629191548081
22.162798107471787,681.2629191548081
22.197305841753533,683.5807776469499
22.54535212287332,640.8599308044987
22.580455498203985,638.6869284594039
22.61561352989809,634.3630031752311
