ma_GeV,gtau
4.101423487544484,1.169165178704576
4.101423487544484,1.169165178704576
4.170818505338079,1.0285386657917477
4.234875444839858,1.2055683205540149
4.304270462633452,1.7336758462746558
4.362989323843417,2.242373632288847
4.427046263345196,2.826896430046485
4.491103202846976,2.874369536053581
4.56049822064057,2.699477983819218
4.613879003558719,2.81838787742851
4.677935943060498,3.312785202764117
4.731316725978648,3.9437240489569962
4.790035587188612,4.735635613728273
4.843416370106762,5.211917511097463
4.902135231316726,5.591000051861458
4.955516014234876,5.822714467596053
5.0035587188612105,5.909641491988038
5.062277580071174,5.825191072235163
5.104982206405694,5.701217931503568
5.158362989323844,5.361904523866305
5.2064056939501775,5.149109977431893
5.259786476868327,5.050699394389166
5.307829181494662,4.576622256486854
5.387900355871886,4.224736440412982
5.387900355871886,4.224736440412982
5.441281138790036,4.217648769886289
5.48932384341637,4.378918231052285
5.569395017793594,4.938346227851887
5.569395017793594,4.938346227851887
5.628113879003559,5.046986241487985
5.665480427046264,5.20299362607548
5.702846975088968,4.925202917195827
5.750889679715303,4.4247362975387015
5.788256227758007,4.156667453873685
5.830960854092527,3.4516307323915862
6.103202846975089,3.6998317196434227
6.135231316725979,4.799283171493322
6.167259786476869,5.000744732679785
6.215302491103203,3.706428294839908
6.258007117437723,2.0696916225121567
6.380782918149466,2.5303231003981357
6.418149466192171,4.643811901635956
6.45017793594306,3.9242226058016323
6.5088967971530245,4.465442374440083
6.5088967971530245,4.465442374440083
6.551601423487544,4.764766446045648
6.5836298932384345,5.040564369892249
6.642348754448399,5.195560108188626
6.642348754448399,5.195560108188626
6.674377224199288,4.634004333952089
6.7064056939501775,4.71346389540625
6.759786476868328,5.531196434888943
6.786476868327402,5.824541635246137
6.786476868327402,5.824541635246137
6.8185053380782925,6.136930143852463
6.850533807829182,6.651740710995926
6.9039145907473305,8.14794914282896
6.9039145907473305,8.14794914282896
6.930604982206406,8.777038319203433
6.98932384341637,7.820490808921734
6.98932384341637,7.820490808921734
7.0160142348754455,7.3266933087404205
7.069395017793594,8.413180148553678
7.069395017793594,8.413180148553678
7.133451957295374,8.546756829963309
7.133451957295374,8.546756829963309
7.165480427046264,8.723783418050678
7.2188612099644125,10.495371831711108
7.2188612099644125,10.495371831711108
7.261565836298932,12.641121025118906
7.282918149466193,14.143855653317358
7.330960854092527,14.123492919543507
7.357651245551601,13.506331994651175
7.411032028469751,11.762011354745646
7.427046263345195,10.946104450048676
7.443060498220641,10.29245749813537
7.443060498220641,10.29245749813537
7.4644128113879,7.585754098512648
7.50711743772242,2.4770715638654357
7.571174377224199,7.361822959157731
7.571174377224199,7.361822959157731
7.587188612099644,10.868161283570872
7.645907473309609,9.16597168315422
7.645907473309609,9.16597168315422
7.683274021352313,11.039765130641761
7.7259786476868335,12.18553903628422
7.752669039145907,14.185616011019293
7.779359430604982,17.23828751787328
7.827402135231317,16.162926754803824
7.864768683274022,16.04636540416942
7.896797153024911,16.53814120478741
7.923487544483986,15.822381648041098
7.944839857651246,13.991083642802245
7.976868327402135,7.458532663246092
7.976868327402135,7.458532663246092
8.062277580071175,8.147546497019475
8.09964412811388,9.484624078742726
8.142348754448399,10.895802074804172
8.179715302491104,13.132786443475762
8.222419928825623,10.92116602846724
8.270462633451958,8.974180510540114
8.270462633451958,8.974180510540114
8.275800711743774,17.299942874884188
8.307829181494661,21.04560293790311
8.334519572953738,21.055702296551118
8.334519572953738,21.055702296551118
8.371886120996441,20.50134581564348
8.371886120996441,20.50134581564348
8.40391459074733,28.357697241015927
8.419928825622776,32.281623379297756
8.435943060498222,36.0754233288723
8.457295373665481,40.672054668048055
8.52135231316726,33.81621356844515
8.564056939501778,7.910884783037478
8.601423487544483,43.807736543916654
8.638790035587188,69.21076229152614
8.713523131672599,67.3458031621222
8.734875444839858,53.1660160741916
8.798932384341636,75.80329538842092
8.87900355871886,93.18392713232615
8.948398576512457,79.70105214860506
9.039145907473308,174.8850663582999
9.076512455516012,173.49395118143747
9.129893238434164,172.54926647356933
9.199288256227758,328.789610439577
9.231316725978647,464.5974963788656
9.290035587188612,724.220170995624
9.322064056939505,343.79716109637764
9.41814946619217,3769.716131978923
9.434163701067616,11766.784916277275
9.476868327402135,
9.5355871886121,
9.63167259786477,
9.685053380782918,
9.717081850533807,
9.749110320284696,
9.823843416370106,
9.861209964412812,
9.861209964412812,
9.861209964412812,
9.866548042704624,
9.866548042704624,
9.87188612099644,
9.877224199288255,
9.877224199288255,
9.893238434163704,
9.909252669039146,
9.909252669039146,
9.914590747330962,
9.919928825622776,
9.919928825622776,
9.930604982206406,
9.94661921708185,
9.98932384341637,
9.994661921708186,
9.994661921708186,
9.994661921708186,
9.994661921708186,
10.0,
10.0,
10.0,
10.005338078291814,
10.005338078291814,
10.01067615658363,
10.016014234875446,
10.032028469750893,
10.04270462633452,
10.058718861209965,
10.090747330960856,
