ma_GeV,gtau,gtau_7m
1e-06,0.13329396629243762,40321217234.47504
0.0423497267759562,0.13334400590565385,22.482906382611965
0.0437158469945355,0.1333438573015606,21.09974451852048
0.0450819672131147,0.13334370397757975,19.840409378304216
0.0464480874316939,0.13257053335663824,18.690549577448035
0.0478142076502732,0.13334338316908345,17.63783418975027
0.0491803278688524,0.13372804538957175,16.671620775863843
0.0505464480874316,0.1337278726867833,15.782685347373334
0.0519125683060109,0.13372769524938702,14.963001403974983
0.0532786885245901,0.13372751307708577,14.20555811023247
0.0546448087431694,0.1329565570629532,13.504209884566187
0.0560109289617486,0.13372713452673593,12.853551348032184
0.0573770491803278,0.13411066042364742,12.248812861474818
0.0587431693989071,0.1341104587320122,11.685772866342903
0.0601092896174863,0.13411025229053578,11.160684009545285
0.0614754098360655,0.13411004109892732,10.670210629742632
0.0628415300546448,0.1333412811488603,10.211375651163582
0.064207650273224,0.1341096044640919,9.781515301095862
0.0655737704918032,0.1344920028477999,9.37824036099824
0.0669398907103824,0.13449177199586795,8.999402895647368
0.0683060109289617,0.13449153637867073,8.643067592789125
0.0696721311475409,0.1344912959959308,8.307486997319801
0.0710382513661201,0.13487258650985698,7.991080046719599
0.0724043715846994,0.13487233588595401,7.692413414233774
0.0737704918032786,0.13487208048194949,7.410185247767051
0.0751366120218579,0.1348718202974605,7.143210959254013
0.0765027322404371,0.1344900225866055,6.890410774246372
0.0778688524590163,0.13448975360309992,6.650798796876741
0.0792349726775956,0.13448947985153975,6.4234733830171
0.0806010928961748,0.13448920133152073,6.207608645780101
0.081967213114754,0.13448891804263277,6.00244694366461
0.0833333333333333,0.1344886299845142,5.807292223549337
0.0846994535519125,0.1344883371567425,5.621504109136285
0.0860655737704917,0.1344880395588893,5.444492640947585
0.087431693989071,0.13448773719056947,5.275713587078783
0.0887978142076502,0.13448743005134156,5.114664255010618
0.0901639344262295,0.13486864264669596,4.960879744212447
0.0915300546448087,0.13486832506595922,4.813929587304695
0.0928961748633879,0.13486800269946128,4.673414734408643
0.0942622950819672,0.13524812108542794,4.538964841186668
0.0956284153005464,0.1356271656399208,4.410235826117074
0.0969945355191256,0.13562682701632797,4.286907666883945
0.0983606557377049,0.13600480086413502,4.168682409501068
0.0997267759562841,0.13638171852685982,4.0552823670185285
0.1010928961748633,0.13638136349106822,3.946448487456925
0.1024590163934426,0.13675722778542496,3.841938873040461
0.1038251366120218,0.1367568620572368,3.7415274349088388
0.1051912568306011,0.13675649147177057,3.6450026693248803
0.1065573770491803,0.13675611602852852,3.552166542997841
0.1079234972677595,0.13675573572696062,3.4628334765434334
0.1092896174863388,0.13675535056655336,3.3768294163291954
0.110655737704918,0.1367549605467451,3.2939909860302787
0.1120218579234972,0.13675456566700764,3.21416471016704
0.1133879781420764,0.13675416592677514,3.137206302728832
0.1147540983606557,0.13637754668881397,3.062980014722612
0.1161202185792349,0.13637713835234738,2.991358035133549
0.1174863387978141,0.13637672516704688,2.9222199403582834
0.1188524590163934,0.13637630713234924,2.855452187679544
0.1202185792349726,0.13637588424764974,2.7909476488013905
0.1215846994535518,0.13637545651237082,2.728605179864518
0.1229508196721311,0.13637502392589376,2.668329224717274
0.1243169398907103,0.13637458648762749,2.6100294485350104
0.1256830601092896,0.13675034944740094,2.553620399163261
0.1270491803278688,0.13674990107018464,2.4990211938129323
0.128415300546448,0.13712461848377516,2.4461552289614326
0.1297814207650273,0.13712415911499015,2.394949911515994
0.1311475409836065,0.13749783933853676,2.3453364094766544
0.1325136612021857,0.13749736892568012,2.2972494204990306
0.133879781420765,0.13749689361648956,2.250626956903261
0.1352459016393442,0.13749641341031107,2.2054101458069018
0.1366120218579234,0.13786905227145102,2.16154304317791
0.1379781420765027,0.13786856093952524,2.1189724607107547
0.1393442622950819,0.1378680646952567,2.0776478045248292
0.1407103825136612,0.13786756353795984,2.0375209247714214
0.1420765027322404,0.13786705746691738,1.9985459753142643
0.1434426229508196,0.13786654648142982,1.9606792827197685
0.1448087431693989,0.1382381393023,1.923879223857716
0.1461748633879781,0.13823761708002547,1.8881061114716855
0.1475409836065573,0.1382370899278581,1.8533220871315517
0.1489071038251366,0.13823655784504438,1.8194910210288562
0.1502732240437158,0.1382360208308478,1.7865784181196105
0.151639344262295,0.13823547888450136,1.7545513301591351
0.1530054644808743,0.13860603316158351,1.7233782732100116
0.1543715846994535,0.1389755886165585,1.6930291502373764
0.1557377049180328,0.1389750288839143,1.6634751784361115
0.157103825136612,0.13934358692255527,1.634688820962249
0.1584699453551912,0.13934301575268432,1.6066437227661154
0.1598360655737705,0.1397105840777966,1.5793146502480173
0.1612021857923497,0.13897274032838214,1.5526774344783802
0.1625683060109289,0.14007658763113404,1.5267089177437458
0.1639344262295081,0.14007599343128446,1.5013869031978404
0.1653005464480874,0.14007539422538887,1.4766901074132615
0.1666666666666666,0.14007479001260895,1.4525981156443883
0.1680327868852458,0.14007418079209857,1.4290913396258569
0.1693989071038251,0.1400735665629914,1.4061509777437333
0.1707650273224043,0.14007294732442724,1.3837589774281085
0.1721311475409835,0.14007232307553905,1.3618979996266378
0.1734972677595628,0.140071693815439,1.3405513852284792
0.174863387978142,0.1400710595432463,1.3197031233172096
0.1762295081967212,0.1404366180601398,1.2993378211397075
0.1775956284153005,0.13970261995147,1.2794406756858576
0.1789617486338797,0.1408005630892375,1.2599974467810506
0.180327868852459,0.1407999053427891,1.2409944316001562
0.1816939890710382,0.14116353615735586,1.2224184405178002
0.1830601092896174,0.14116286659641838,1.2042567742154435
