ma_GeV,gl,gtau
2.616685207550594e-05,1.8484413267219293e-11,6.461791176070249e-08
6.224189982129904e-05,1.187756844719841e-11,4.1563804005406616e-08
0.00012167660975974116,8.416404426423267e-12,2.955504768680359e-08
0.00030397665852173466,5.171935479691831e-12,1.863301919980612e-08
0.0006772815277441413,2.9897144983513894e-12,1.2475765397333094e-08
0.0012401982787468464,1.3553341118844114e-12,9.234325228298662e-09
0.002718438589790119,2.498937111520422e-12,6.308118927986058e-09
0.0064662261202773465,5.315706456637759e-12,4.057531006963476e-09
0.01394372144425787,1.1584030158562544e-11,2.771755202764962e-09
0.024310775710207098,2.2073865318689457e-11,2.093143993388345e-09
0.03718897437099754,4.017903506381259e-11,1.7127028189818096e-09
0.05073707702363958,7.053412011622261e-11,1.5492244733004335e-09
0.06590751106716998,1.0962413482764414e-10,1.4013288193014913e-09
0.07889353574362021,1.2400171487333965e-10,1.3194291906258004e-09
0.08845972035830856,1.1767279328121848e-10,1.2674946250902667e-09
0.09918584649697276,1.0479432092312837e-10,1.217591030358676e-09
0.11121256211835889,9.279765005208183e-11,1.1933328997320772e-09
0.12068597537901747,8.419725216043218e-11,1.1695683585399843e-09
0.13312522507005808,7.816230373952318e-11,1.1931641245209831e-09
0.1432890547570672,7.564177571420224e-11,1.2419083565084928e-09
0.1567711962247804,7.453145901062941e-11,1.345508114448292e-09
0.172929793344941,7.160329995097742e-11,1.4577006957742776e-09
0.18311414499634152,7.113954757905512e-11,1.5793192334406296e-09
0.19389828351241858,6.888393562391155e-11,1.711064685081556e-09
0.20364593225155805,6.45472230474975e-11,1.8538095320150178e-09
0.21388361449806345,5.081015983212715e-11,2.008441531036478e-09
0.2246359652018349,5.870327299396177e-11,2.220030799125193e-09
0.2321028500882581,6.571656923194944e-11,2.4052653386813197e-09
0.24377111766149212,7.801276296958544e-11,2.7124637419626958e-09
0.2518740537722698,9.114141633123662e-11,3.059021629400063e-09
0.2602463309528373,1.023631072794587e-10,3.314182476019078e-09
0.26889690208285694,1.2464471621117914e-10,3.890542313152621e-09
0.27783501763512286,1.5185723613944656e-10,4.567097605360684e-09
0.2847330431885223,1.761551938005395e-10,5.150630708761555e-09
0.2894266124716752,2.1937924650224454e-10,6.294154325149956e-09
0.29180233137447503,2.600134861702704e-10,7.389378143994892e-09
0.2894266124716752,3.147675585835799e-10,9.030916195873895e-09
0.2847330431885223,3.6264717837074023e-10,1.0603500544395207e-08
0.27783501763512286,4.0575582157751087e-10,1.2203082896794783e-08
0.26889690208285694,4.4995093885501777e-10,1.4044343151235726e-08
0.2602463309528373,4.795955755800289e-10,1.5527735474307693e-08
0.2518740537722698,5.324346315325165e-10,1.7870350491156584e-08
0.2321028500882581,6.212760884286955e-10,2.273907263744607e-08
0.21740929438381226,6.578261683705979e-10,2.5651542904991273e-08
0.20364593225155805,1.048766862129624e-09,3.012080015350489e-08
0.1907538766461037,1.5993592295786899e-09,3.832256224406657e-08
0.17867796843871755,2.025307863984657e-09,4.322854191098943e-08
0.16198226060027135,2.8193725595783784e-09,5.2837700358370015e-08
0.14926723807389433,3.7715551049098185e-09,6.4579897409753e-08
0.12267537562776645,7.1173097201269235e-09,1.00419479343008e-07
0.10763478873493719,1.0658273123743491e-08,1.3298691860111918e-07
0.08702518805070801,1.971702079386628e-08,2.109615796400348e-07
0.06073400944562793,3.162756341518281e-08,4.7063039268032794e-07
0.04830851290056042,3.173719938326009e-08,7.770796550293435e-07
0.036585888751852,3.284938101454545e-08,1.4471441418503004e-06
0.0281646359500544,3.4874591911276245e-08,2.5375843126171324e-06
0.015892178411161233,4.444672501988101e-08,8.625525509089408e-06
0.009573375390206279,5.955614140923939e-08,2.5478313885616493e-05
0.008608178076158102,6.460344067474115e-08,3.24116023176123e-05
