ma_GeV,cl,ctau
6.095005379470964,2234.7423149543797,4767.671954638113
6.205061838996414,1968.643879724893,4239.560036977182
6.317105569004689,1894.634120802426,4116.888111847338
6.4311724532956935,1847.5061089007932,4048.9979759719026
6.547299023616911,1802.5285932463141,3982.9155508216745
6.665522471363266,1737.596911810621,3869.678995728297
6.785880659488318,1696.9591691812113,3807.7069090271825
6.908412134630402,1637.332545907361,3700.524010002226
7.033156139457856,1600.4149076806489,3642.245174960388
7.160152625237103,1545.4254959658365,3540.612314616059
7.289442264627685,1437.7182170561696,3315.0348083508893
7.421066464708332,1354.872474909506,3143.3546220063868
7.555067380238245,1277.2133563485345,2980.8597350582895
7.69148792715783,1189.3534413403534,2791.7728273735256
7.830371796333219,1150.353843746724,2715.2174520874623
7.971763467548968,1058.4505828398553,2511.6866135832297
8.115708223753419,998.8932933616643,2382.636019412587
8.262252165561296,1016.6441773996896,2437.123005740642
8.411442226018156,1022.0381732392691,2461.9282315223336
8.56332618563146,1027.6790424607052,2487.133316084191
8.717952687673035,1046.60895877817,2544.462946292039
8.875371253757873,1052.7950137075636,2570.7838523123537
9.035632299704206,1086.124768081792,2663.510351551206
9.19878715168,1065.8355240193603,2624.60165758534
9.364888062640963,1059.3001675792063,2619.020924362384
9.53398822906541,1039.8319560463199,2580.9548591985567
9.706141807991264,1033.7559471265008,2575.6418184762515
9.88140393436074,1027.8518542926663,2570.4146286169303
10.059830738678178,1009.3638698015538,2533.2768791319195
10.241479364986745,966.7562259009034,2434.854718063524
10.42640798916972,880.7162845991033,2225.7377330674435
10.614675837582269,802.4175877362575,2034.6170940847887
10.80634320601961,759.200185974563,1931.2870817380817
11.00147147902774,691.8365965643746,1765.5004575855048
11.200123149562788,622.6426694415334,1593.8368606032816
11.402361839005406,567.49133335281,1457.045636389981
11.608252317536529,530.4103622511166,1365.8542879546276
11.81786052488106,502.0483109418662,1296.543348084815
12.031253591426104,469.30870080549073,1215.4053398058952
12.248499859720644,444.27163860419876,1153.7322676042065
12.469668906363198,431.283917708698,1123.0201621915999
12.69483156428493,418.6988263559722,1093.1223046644875
12.924059945435006,406.50173896784275,1064.0154472699282
13.15742746387561,394.6787222952682,1035.677164331784
13.395008859293965,383.21649251224153,1008.0858131502421
13.636880220938917,376.8009888848146,993.6105706135008
13.883119011989736,365.88678632340526,967.1207843873045
14.133804094364953,355.3011303716389,941.326009932926
14.38901575397913,362.79290192775494,963.3676152486651
14.64883572645573,370.45357211838257,985.9111444444397
14.913347223304251,378.2862100332518,1008.9665136003603
15.182634958570048,386.29395120599935,1032.5438192612098
15.456785175965358,404.50525728715354,1083.506979936253
15.735885676490245,418.301651633115,1122.7865592717694
16.020025846552258,438.03863639499855,1178.1585238932853
16.30929668659388,430.8184409571742,1161.0564616036281
16.603790840236854,402.98043096252695,1088.1662357866471
16.903602623952814,372.2454825825075,1007.1122098859587
17.208828057269635,348.20032343610814,943.8435749058584
17.51956489352321,333.9889152387576,907.0077527932818
17.835912651164552,320.3599671707909,871.5881090709013
18.157972645632142,307.28906328916463,837.5304853484298
18.485848021799853,302.24368054299543,825.2354735538036
18.81964378701072,297.2821751586831,813.0994129802891
19.15946684470724,296.09500581383423,811.2360632949061
19.5054260286689,287.6037774875121,789.2956140085123
19.85763213786797,279.35605214000987,767.9270005032024
20.21619797195461,271.3445642095151,747.1155811624823
20.581238367382785,273.67306514086914,754.730403550112
20.95287023418843,279.5061000259424,772.0274425511569
21.33121259343195,278.38746413454675,770.1255622098998
21.71638661531634,277.2720128024673,768.205273902223
22.10851565799408,279.64665344985,775.942308589998
22.507725307074487,278.5229275723872,773.9602923821137
22.91414341584456,280.90462987438906,781.7071784958445
23.327900146216,290.5044431869322,809.5714553872768
23.74912801041169,304.22349259040254,848.9893912422355
24.17796191340481,310.6917985383983,868.2333843070749
24.61453919612437,301.761963518525,844.4201586907102
25.0589996794408,285.82212682975677,800.8805154971034
25.51148570894584,281.1069625619681,788.6999257916815
25.972142200541,283.49277610309485,796.4182149765101
26.441116686849192,282.3306922518912,794.1583077953245
26.91855936446444,284.72062279602744,801.8786786242088
