ma_GeV,gl,gtau
8.010686295493979e-06,1.0415822501328777e-10,3.640451332912461e-07
0.0001731937078894794,2.934061196958079e-11,1.0353867374196143e-07
0.0008809558187480769,1.0325400489713131e-11,5.2366067058853496e-08
0.0020508155677140586,9.702134394376424e-12,3.5318096320732066e-08
0.0031958556576241266,1.4034244284131958e-11,2.856879709931004e-08
0.004674388131860703,1.9687359881898726e-11,2.3820147851333302e-08
0.006623704014748507,2.7351717550130377e-11,2.016395777446811e-08
0.008625411361174248,3.5710297019403656e-11,1.786256616423131e-08
0.010431544711253257,4.342765463862168e-11,1.6310593782682457e-08
0.01288521718440499,5.496192539061024e-11,1.4893454112452452e-08
0.016255830952355103,7.269430272240039e-11,1.3599427356317519e-08
0.019659749581494832,9.225338534978108e-11,1.2607369552948437e-08
0.023034846423702165,1.1214295284841651e-10,1.1687674137232032e-08
0.02756556969794432,1.4534377550028827e-10,1.1000430386430497e-08
0.03195855657624133,1.7760713430540863e-10,1.019792802833341e-08
0.03705163178662637,2.1682405669757785e-10,9.31181264218072e-09
0.04295636490267305,2.731844707861402e-10,8.63245009734835e-09
0.04980210578249428,3.443593774835745e-10,7.882302763633284e-09
0.05897150369276572,4.552506268228889e-10,7.1972732799836165e-09
0.06694036458782851,5.352653397733171e-10,6.672087789548703e-09
0.07598606327722242,5.802413686241925e-10,6.279587813953726e-09
0.08625411361174268,5.457346112419088e-10,5.821264032108183e-09
0.0938592466807652,4.991114360230092e-10,5.562432405520988e-09
0.101061829512275,4.572555791845752e-10,5.396233697337503e-09
0.1065425128971256,4.431615958720077e-10,5.478436675947351e-09
0.10881712506287582,4.688948047065868e-10,5.909432331225443e-09
0.1065425128971256,5.235166983321795e-10,6.471799694128319e-09
0.10431544711253216,6.022680475482746e-10,7.305703331925763e-09
0.101061829512275,6.883203224455634e-10,8.123109892211158e-09
0.0938592466807652,8.228161058769586e-10,9.17001423085723e-09
0.08625411361174284,9.558781862511178e-10,1.0196200112794183e-08
0.07926520165084663,1.099701946995098e-09,1.1685899375541921e-08
0.05653189946945134,1.096877805876467e-09,1.897683822897979e-08
0.01591603415265799,5.188597619194888e-10,1.00448116903467e-07
0.006087005157433826,3.5904369528943887e-10,2.9897060417361894e-07
0.0014781713164339337,2.629421583943088e-10,1.4449054030807368e-06
0.00034410996363008084,1.8637377430555062e-09,6.774731229522915e-06
0.0001248332493762113,5.65436454048818e-09,1.9860827284799763e-05
6.023050628323039e-05,1.2105730893054366e-08,4.235890289311106e-05
4.205844492778345e-05,1.7689742202458456e-08,6.186120671768814e-05
3.514564837031013e-05,2.1543759423628593e-08,7.532596485141433e-05
