ma_GeV,gl,gtau
4.367820964152787e-06,0.21881052575907833,764.7573341763008
4.367820964152787e-06,2.1881052575907833e-07,0.0007647573341763007
0.0010568288870060197,3.8261634971841365e-10,3.1607037423988254e-06
0.0011052128814387655,3.874417862420751e-10,3.033582603049137e-06
0.0011558120035483294,3.909664459244324e-10,2.9007660564444076e-06
0.0012087276668430861,3.9461995054355957e-10,2.7737644933032796e-06
0.0012640659277690562,3.9840642766464103e-10,2.6523233215714014e-06
0.0013219376982739942,4.0219412438392555e-10,2.535341767748814e-06
0.0013824589681031385,4.062580473907418e-10,2.4243392365237605e-06
0.001445751037272157,4.1032927478847476e-10,2.3174129906411044e-06
0.001511940759183225,4.1468848444970865e-10,2.2159518322731772e-06
0.0015811607948715057,4.1920313488469456e-10,2.1189328533193037e-06
0.0016535498788915973,4.2387816611059645e-10,2.0261615659279055e-06
0.0017292530973768644,4.2871867691720685e-10,1.9374519973278038e-06
0.0018084221788289441,4.337299327544139e-10,1.8526263170202931e-06
0.0018912157982202498,4.38324194596835e-10,1.7691203479619518e-06
0.0019777998950189666,4.436861901849215e-10,1.6916645751119364e-06
0.0020683480057739467,4.4953943172443865e-10,1.6186941465812414e-06
0.002163041611926081,4.552860787698035e-10,1.5478243433914882e-06
0.002262070503543266,4.612324830404344e-10,1.480057366416101e-06
0.0023656331597079554,4.673851078017692e-10,1.4152573674540205e-06
0.002473937146319722,4.737506574886505e-10,1.3532944460186e-06
0.002587199532110109,4.803360918794204e-10,1.2940443889342618e-06
0.002705647323703545,4.871486413826695e-10,1.2373884213341499e-06
0.0028295179205964052,4.941958235363436e-10,1.1832129685596141e-06
0.0029590595909658904,5.014854608298899e-10,1.1314094284842318e-06
0.003094531969262688,5.090256999726969e-10,1.0818739538059432e-06
0.0032362065765843364,5.168250327459235e-10,1.0345072438708938e-06
0.003384367364872656,5.250698113825084e-10,9.89548849298709e-07
0.003539311286025546,5.332368091034167e-10,9.459044632007483e-07
0.003701348887064215,5.416850033756559e-10,9.041850250892806e-07
0.0038708049325482797,5.506103437970105e-10,8.645979001785676e-07
0.004048019055486606,5.598431703496386e-10,8.267439803574963e-07
0.004233346438048204,5.69394589750793e-10,7.905473822513058e-07
0.004427158523437617,5.790804427363085e-10,7.556800109642572e-07
0.004629843760361565,5.893011549518594e-10,7.225947378335838e-07
0.004841808381578945,5.998771305815109e-10,6.909580049748433e-07
0.00506347721809458,6.106154545674362e-10,6.604830493026544e-07
0.00529529455062859,6.219395613577474e-10,6.315656915685708e-07
0.005537725000067946,6.336617660726282e-10,6.039143938966104e-07
0.005791254458684871,6.457980259040048e-10,5.774737254676265e-07
0.006056391063988531,6.581426794861416e-10,5.52004021697201e-07
0.006333666217161822,6.713812830979955e-10,5.280145811702335e-07
0.0066236356481244735,6.862558840533819e-10,5.0592221210664e-07
0.006926880529357139,6.983647381215606e-10,4.824651221997292e-07
0.007244008640718842,7.130774735112624e-10,4.614977469307785e-07
0.007575655587592377,7.278402077311799e-10,4.4114318825102495e-07
0.00792248607479913,7.434005270361808e-10,4.2182896471497047e-07
0.008285195238836585,7.592867737105953e-10,4.0322400465612665e-07
0.008664510041108636,7.749860096882168e-10,3.8504887336605446e-07
0.009061190724941118,7.92083182890216e-10,3.6806610491478795e-07
0.009476032339302764,8.101139601738414e-10,3.5195133605555827e-07
0.00990986633228552,8.285708603927215e-10,3.364283383940983e-07
0.01036356221753797,8.575597489231715e-10,3.253080496344938e-07
0.010838029316991805,8.912045933361567e-10,3.1572734225845974e-07
0.01133421858337425,9.265273788865375e-10,3.0642879044219326e-07
0.011853124506159034,9.6363386043662e-10,2.9740408412639494e-07
0.012395787104776476,1.0012836416617068e-09,2.8825506536251846e-07
0.012963294013076535,1.041903492188627e-09,2.796710092781728e-07
0.013556782659224033,1.0846496487248571e-09,2.713425713769789e-07
0.014177442545393545,1.129285391449398e-09,2.631731469791402e-07
0.014826517631834686,1.1759215789361998e-09,2.551633882792191e-07
0.015505308830084339,1.2250934371622165e-09,2.4739739762700527e-07
0.016215176610324684,1.2769857888647637e-09,2.3986775551943766e-07
0.01695754372811096,1.3327027266286975e-09,2.327245804761025e-07
0.017733898075935756,1.391176026881595e-09,2.257177861918288e-07
0.018545795665343784,1.4535798825632689e-09,2.1899596420536196e-07
0.01939486374557475,1.5207734317299574e-09,2.1261802203961537e-07
0.02028280406498467,1.5980693177443733e-09,2.0719494508924266e-07
0.021211396281782296,1.7004846602163935e-09,2.0431362447370836e-07
0.022182501530916797,1.812042458200421e-09,2.0160863239105757e-07
0.023198066154265458,1.9331042615361296e-09,1.9900670362621994e-07
0.02426012560159778,2.0646888929240723e-09,1.9650475834798807e-07
0.02537080851013445,2.2072038749772025e-09,1.9403424376175667e-07
0.026532340970877654,2.3594072299089982e-09,1.9140053065700454e-07
0.027747050990263547,2.52636767181994e-09,1.8893024704298545e-07
0.02901737315607919,2.706226776617893e-09,1.8636575459894438e-07
0.030345853516995598,2.896330734182694e-09,1.8346349431390112e-07
0.031735154685496744,3.133081567229201e-09,1.8232424659057152e-07
0.033188061174432126,3.37753297304813e-09,1.8033642270905242e-07
0.034707484977888586,3.64355635959973e-09,1.782496589115848e-07
0.03629647140756705,3.9321754218430786e-09,1.7600838462544464e-07
0.0379582051963616,4.252878649072646e-09,1.7391280107295576e-07
0.03969601688137407,4.602168466731412e-09,1.7166790759134838e-07
0.041513389479157475,4.994702625131812e-09,1.69681252559995e-07
0.04341396546656651,5.4199643848140105e-09,1.6743424552106008e-07
