#	SN1987A	cooling	bound	via	neutrino	burst/heavy	ALP
#	Taken	from	2201.09890,	but	see	also	https://arxiv.org/pdf/2008.04918.pdf
#	mass	[eV]	photon	coupling	[GeV^-1]
1.000000000000000000e+03	7.557202808545903572e-09
1.023292992280753538e+03	7.557202723693984343e-09
1.047128548050899553e+03	7.557202636865614647e-09
1.071519305237605977e+03	7.557202548014737069e-09
1.096478196143185187e+03	7.557202457094273450e-09
1.122018454301962947e+03	7.557202364056004124e-09
1.148153621496882806e+03	7.557202268850597694e-09
1.174897554939529073e+03	7.557202171427544858e-09
1.202264434617412917e+03	7.557202071735254359e-09
1.230268770812381263e+03	7.557201969720841234e-09
1.258925411794167530e+03	7.557201865330179746e-09
1.288249551693133753e+03	7.557201758507971216e-09
1.318256738556407527e+03	7.557201649197586860e-09
1.348962882591653170e+03	7.557201537341008229e-09
1.380384264602885196e+03	7.557201422878949636e-09
1.412537544622754012e+03	7.557201305750763851e-09
1.445439770745927945e+03	7.557201185894291560e-09
1.479108388168207284e+03	7.557201063246040035e-09
1.513561248436208643e+03	7.557200937740911814e-09
1.548816618912481090e+03	7.557200809312421429e-09
1.584893192461114040e+03	7.557200677892438977e-09
1.621810097358929625e+03	7.557200543411325775e-09
1.659586907437561194e+03	7.557200405797737497e-09
1.698243652461744205e+03	7.557200264978728391e-09
1.737800828749376251e+03	7.557200120879615631e-09
1.778279410038922833e+03	7.557199973424022320e-09
1.819700858609982561e+03	7.557199822533773274e-09
1.862087136662867579e+03	7.557199668128813952e-09
1.905460717963248271e+03	7.557199510127351083e-09
1.949844599758045661e+03	7.557199348445558181e-09
1.995262314968878854e+03	7.557199182997688052e-09
2.041737944669529725e+03	7.557199013696081056e-09
2.089296130854038438e+03	7.557198840450969898e-09
2.137962089502232629e+03	7.557198663170429999e-09
2.187761623949551904e+03	7.557198481760521763e-09
2.238721138568339939e+03	7.557198296125054012e-09
2.290867652767772597e+03	7.557198106165605489e-09
2.344228815319922433e+03	7.557197911781442137e-09
2.398832919019489964e+03	7.557197712869505525e-09
2.454708915685031116e+03	7.557197509324300345e-09
2.511886431509579324e+03	7.557197301037980445e-09
2.570395782768864592e+03	7.557197087900039457e-09
2.630267991895381329e+03	7.557196869797499399e-09
2.691534803926916538e+03	7.557196646614725384e-09
2.754228703338165815e+03	7.557196418233361101e-09
2.818382931264454783e+03	7.557196184532363558e-09
2.884031503126605458e+03	7.557195945387778084e-09
2.951209226666386712e+03	7.557195700672812782e-09
3.019951720402016235e+03	7.557195450257735952e-09
3.090295432513592004e+03	7.557195194009755329e-09
3.162277660168379498e+03	7.557194931793052818e-09
3.235936569296281050e+03	7.557194663468529727e-09
3.311311214825911065e+03	7.557194388893968894e-09
3.388441561392027324e+03	7.557194107923781569e-09
3.467368504525316894e+03	7.557193820409010720e-09
3.548133892335753444e+03	7.557193526197145749e-09
3.630780547701013802e+03	7.557193225132273037e-09
3.715352290971728053e+03	7.557192917054740109e-09
3.801893963205612636e+03	7.557192601801187065e-09
3.890451449942805084e+03	7.557192279204480409e-09
3.981071705534973262e+03	7.557191949093564151e-09
4.073802778041125748e+03	7.557191611293421765e-09
4.168693834703355606e+03	7.557191265624960376e-09
4.265795188015926215e+03	7.557190911904911501e-09
4.365158322401661280e+03	7.557190549945682159e-09
4.466835921509630680e+03	7.557190179555409460e-09
4.570881896148752276e+03	7.557189800537689294e-09
4.677351412871980756e+03	7.557189412691576329e-09
4.786300923226385748e+03	7.557189015811421885e-09
4.897788193684460566e+03	7.557188609686820992e-09
5.011872336272725079e+03	7.557188194102422141e-09
5.128613839913648007e+03	7.557187768837894196e-09
5.248074602497722481e+03	7.557187333667747720e-09
5.370317963702526868e+03	7.557186888361270461e-09
5.495408738576247742e+03	7.557186432682335441e-09
5.623413251903491073e+03	7.557185966389382760e-09
5.754399373371566980e+03	7.557185489235158208e-09
5.888436553555889986e+03	7.557185000966663629e-09
6.025595860743580488e+03	7.557184501325054360e-09
6.165950018614822511e+03	7.557183990045400992e-09
6.309573444801930236e+03	7.557183466856590117e-09
6.456542290346556001e+03	7.557182931481292891e-09
6.606934480075964530e+03	7.557182383635601076e-09
6.760829753919818359e+03	7.557181823029083287e-09
6.918309709189362366e+03	7.557181249364473972e-09
7.079457843841380054e+03	7.557180662337650253e-09
7.244359600749898163e+03	7.557180061637344066e-09
7.413102413009176416e+03	7.557179446945089220e-09
7.585775750291835720e+03	7.557178817934940159e-09
7.762471166286920379e+03	7.557178174273466994e-09
7.943282347242813557e+03	7.557177515619330337e-09
8.128305161640994811e+03	7.557176841623368981e-09
8.317637711026709439e+03	7.557176151928199540e-09
8.511380382023768107e+03	7.557175446168156900e-09
8.709635899560804319e+03	7.557174723969042749e-09
8.912509381337458763e+03	7.557173984948006467e-09
9.120108393559095930e+03	7.557173228713138151e-09
9.332543007969905375e+03	7.557172454863564570e-09
9.549925860214358181e+03	7.557171662988957818e-09
9.772372209558112445e+03	7.557170852669464176e-09
1.000000000000000000e+04	7.557170023475498975e-09
1.023292992280754152e+04	7.557169174967395867e-09
1.047128548050899553e+04	7.557168306695292675e-09
1.071519305237606568e+04	7.557167418198846845e-09
1.096478196143185050e+04	7.557166509006960820e-09
1.122018454301963538e+04	7.557165578637654654e-09
1.148153621496882988e+04	7.557164626597606104e-09
1.174897554939529618e+04	7.557163652382056323e-09
1.202264434617413099e+04	7.557162655474500503e-09
1.230268770812381808e+04	7.557161635346413245e-09
1.258925411794167485e+04	7.557160591456901147e-09
1.288249551693134163e+04	7.557159523252522477e-09
