ma_GeV,gae_sup,gae_inf
9.039081755123584e-05,1.508306846908535e-08,7.328052268618046e-10
9.153955041992637e-05,1.508306846908535e-08,7.328052268618046e-10
9.270288197506933e-05,1.508306846908535e-08,7.328052268618046e-10
9.388099774425949e-05,1.508306846908535e-08,7.328052268618046e-10
9.507408561287121e-05,1.508306846908535e-08,7.328052268618046e-10
9.628233585402337e-05,1.508306846908535e-08,7.328052268618046e-10
9.75059411589218e-05,1.508306846908535e-08,7.328052268618046e-10
9.874509666759246e-05,1.508306846908535e-08,7.328052268618046e-10
0.0001,1.508306846908535e-08,7.328052268618046e-10
0.00010127085128756514,1.508306846908535e-08,7.328052268618046e-10
0.00010255785320508132,1.508306846908535e-08,7.328052268618046e-10
0.00010386121100303727,1.508306846908535e-08,7.328052268618046e-10
0.00010518113254035011,1.508306846908535e-08,7.328052268618046e-10
0.00010651782831751473,1.508306846908535e-08,7.328052268618046e-10
0.00010787151151017418,1.508306846908535e-08,7.328052268618046e-10
0.0001092423980031172,1.508306846908535e-08,7.328052268618046e-10
0.00011063070642470683,1.508306846908535e-08,7.328052268618046e-10
0.00011203665818174752,1.508306846908535e-08,7.328052268618046e-10
0.0001134604774947952,1.5649771798876693e-08,7.328052268618046e-10
0.00011490239143391536,1.5649771798876693e-08,7.328052268618046e-10
0.0001163626299548964,1.623776739188721e-08,7.328052268618046e-10
0.00011784142593592286,1.623776739188721e-08,7.328052268618046e-10
0.00011933901521471464,1.623776739188721e-08,7.328052268618046e-10
0.0001208556366261384,1.623776739188721e-08,7.328052268618046e-10
0.0001223915320402967,1.623776739188721e-08,7.328052268618046e-10
0.0001239469464011014,1.623776739188721e-08,7.328052268618046e-10
0.00012552212776533746,1.623776739188721e-08,7.328052268618046e-10
0.0001271173273422224,1.623776739188721e-08,7.328052268618046e-10
0.00012873279953346927,1.623776739188721e-08,7.328052268618046e-10
0.00013036880197385902,1.623776739188721e-08,7.328052268618046e-10
0.00013202559557232705,1.623776739188721e-08,7.328052268618046e-10
0.0001337034445535735,1.623776739188721e-08,7.328052268618046e-10
0.00013540261650020152,1.623776739188721e-08,7.328052268618046e-10
0.0001371233823953912,1.623776739188721e-08,7.328052268618046e-10
0.0001388660166661159,1.623776739188721e-08,7.328052268618046e-10
0.00014063079722690766,1.623776739188721e-08,7.328052268618046e-10
0.00014241800552417877,1.623776739188721e-08,7.328052268618046e-10
0.0001442279265811074,1.623776739188721e-08,7.328052268618046e-10
0.00014606084904309188,1.623776739188721e-08,7.328052268618046e-10
0.00014791706522378442,1.623776739188721e-08,7.328052268618046e-10
0.00014979687115170944,1.623776739188721e-08,7.328052268618046e-10
0.00015170056661747324,1.623776739188721e-08,7.328052268618046e-10
0.000153628455221575,1.623776739188721e-08,7.328052268618046e-10
0.00015558084442282482,1.623776739188721e-08,7.328052268618046e-10
0.000157558045587377,1.623776739188721e-08,7.328052268618046e-10
0.00015956037403838663,1.623776739188721e-08,7.328052268618046e-10
0.0001615881491062972,1.623776739188721e-08,7.328052268618046e-10
0.0001636416941797671,1.623776739188721e-08,7.328052268618046e-10
0.00016572133675724405,1.623776739188721e-08,7.328052268618046e-10
0.00016782740849919365,1.623776739188721e-08,7.328052268618046e-10
0.00016996024528099268,1.623776739188721e-08,7.328052268618046e-10
0.00017212018724649503,1.623776739188721e-08,7.328052268618046e-10
0.00017430757886227662,1.623776739188721e-08,7.328052268618046e-10
0.00017652276897257147,1.623776739188721e-08,7.328052268618046e-10
0.00017876611085490502,1.623776739188721e-08,7.328052268618046e-10
0.00018103796227643472,1.623776739188721e-08,7.328052268618046e-10
0.00018333868555100646,1.623776739188721e-08,7.328052268618046e-10
0.00018566864759693642,1.623776739188721e-08,7.328052268618046e-10
0.00018802821999552665,1.623776739188721e-08,7.328052268618046e-10
0.00019041777905032562,1.623776739188721e-08,7.328052268618046e-10
0.00019283770584713962,1.623776739188721e-08,7.328052268618046e-10
0.00019528838631480884,1.623776739188721e-08,7.328052268618046e-10
0.00019777021128675578,1.623776739188721e-08,7.328052268618046e-10
0.0002002835765633138,1.623776739188721e-08,7.328052268618046e-10
0.00020282888297485017,1.623776739188721e-08,7.328052268618046e-10
0.00020540653644569003,1.623776739188721e-08,7.328052268618046e-10
0.00020801694805885302,1.623776739188721e-08,7.328052268618046e-10
0.00021066053412161265,1.623776739188721e-08,7.328052268618046e-10
0.00021333771623188876,1.623776739188721e-08,7.328052268618046e-10
0.00021604892134548375,1.6847855244250966e-08,7.328052268618046e-10
0.0002187945818441732,1.6847855244250966e-08,7.328052268618046e-10
0.00022157513560466262,1.6847855244250966e-08,7.328052268618046e-10
0.00022439102606841845,1.6847855244250966e-08,7.328052268618046e-10
0.00022724270231238956,1.6847855244250966e-08,7.328052268618046e-10
0.00023013061912062436,1.6847855244250966e-08,7.328052268618046e-10
0.00023305523705680043,1.6847855244250966e-08,7.328052268618046e-10
0.00023601702253767476,1.6847855244250966e-08,7.328052268618046e-10
0.00023901644790746767,1.6847855244250966e-08,7.328052268618046e-10
0.00024205399151319218,1.6847855244250966e-08,7.328052268618046e-10
0.0002451301377809404,1.6847855244250966e-08,7.328052268618046e-10
0.0002482453772931397,1.6847855244250966e-08,7.328052268618046e-10
0.0002514002068667902,1.6847855244250966e-08,7.328052268618046e-10
0.0002545951296326982,1.6847855244250966e-08,7.328052268618046e-10
0.0002578306551157132,1.6847855244250966e-08,7.328052268618046e-10
0.0002611072993159889,1.6847855244250966e-08,7.328052268618046e-10
0.00026442558479127263,1.6847855244250966e-08,7.328052268618046e-10
