,ma_GeV,cl_inf,cl_sup
0,0.27,0.17571062454170003,0.29693582820715186
1,0.2833165829145729,0.0959780141339215,0.2802174448026633
2,0.29663316582914573,0.12396037200346012,0.2667998073744043
3,0.3099497487437186,0.15642024863999057,0.255639743094464
4,0.3232663316582915,0.14931070692996334,0.2461157822395865
5,0.3365829145728643,0.1677243054753667,0.23782920346338313
6,0.3498994974874372,0.14931070692996334,0.23050960911133625
7,0.36321608040201003,0.14931070692996334,0.22396554297983964
8,0.3765326633165829,0.13604635524385744,0.2180566791006218
9,0.3898492462311558,0.10533575202645394,0.21267721449695853
10,0.4031658291457286,0.1677243054753667,0.2077454694021691
11,0.4164824120603015,0.19284219351852966,0.20319711279398964
12,0.4297989949748744,0.15642024863999057,0.19898060023844544
13,0.4431155778894472,0.1798452750956823,0.1950540129133119
14,0.4564321608040201,0.13604635524385744,0.1913828128595697
15,0.469748743718593,0.12396037200346012,0.18793821418889764
16,0.4830653266331658,0.14931070692996334,0.18469597856868175
17,0.4963819095477387,0.13604635524385744,0.18163550930266134
18,0.5096984924623116,0.10781440991413882,0.1787391596175888
19,0.5230150753768844,0.10533575202645394,0.17599169727758845
20,0.5363316582914572,0.11832618178312967,0.17337988506698043
21,0.5496482412060302,0.10054807952816527,0.17089214836783376
22,0.562964824120603,0.10781440991413882,0.1685183090465415
23,0.5762814070351758,0.1425243048630839,0.16624937041843205
24,0.5895979899497488,0.16386831653053027,0.16407734198292942
25,0.6029145728643216,0.1601009769361893,0.16199509543309976
26,0.6162311557788944,0.15642024863999057,0.15999624548460406
27,0.6295477386934674,0.15642024863999057,0.15807505056927382
28,0.6428643216080402,0.1528241404444914,0.1562263295536471
29,0.656180904522613,0.1528241404444914,0.15444539148044462
30,0.669497487437186,0.10781440991413882,0.15272797596635682
31,0.6828140703517588,0.11832618178312967,0.15107020237591925
32,0.6961306532663316,0.1329186437275164,0.14946852626680365
33,0.7094472361809046,0.11832618178312967,0.147919701894154
34,0.7227638190954774,0.11294807420377403,0.14642074979082303
35,0.7360804020100502,0.10291407858944755,0.14496892862141378
36,0.7493969849246231,0.1425243048630839,0.14356171065198733
37,0.762713567839196,,0.14219676029249198
38,0.7760301507537688,,0.14087191526169998
39,0.7893467336683417,,0.1395851699995153
40,0.8026633165829146,,0.13833466101262534
41,0.8159798994974874,0.13604635524385744,0.13711865388947017
42,0.8292964824120603,0.1329186437275164,0.13593553176161194
43,0.8426130653266332,0.1329186437275164,0.13478378502254354
44,0.855929648241206,0.11832618178312967,0.13366200214315022
45,0.8692462311557789,0.09377147549064711,0.13256886144651372
46,0.8825628140703518,0.0959780141339215,0.13150312372438805
47,0.8958793969849246,0.12986283843249177,0.1304636255941706
48,0.9091959798994975,0.12687728623168495,0.1294492735090991
49,0.9225125628140703,0.12687728623168495,0.12845903834616634
50,0.9358291457286432,0.12687728623168495,0.12749195050623324
51,0.9491457286432161,0.12396037200346012,0.12654709546932383
52,0.9624623115577889,0.12396037200346012,0.12562360975535466
53,0.9757788944723618,0.12396037200346012,0.12472067724677621
54,0.9890954773869347,0.12111051775789664,0.12383752583495829
55,1.0024120603015074,0.12111051775789664,0.1229734243567631
56,1.0157286432160804,0.12111051775789664,0.12212767979173698
57,1.0290452261306533,,0.12129963469380718
58,1.042361809045226,0.10781440991413882,0.1204886648343695
59,1.055678391959799,0.10781440991413882,0.11969417703626765
60,1.068994974874372,0.11832618178312967,0.1189156071804451
61,1.0823115577889446,0.11560585781131588,0.1181524183690458
62,1.0956281407035176,0.11560585781131588,0.11740409923049057
63,1.1089447236180905,0.11560585781131588,0.11667016235359237
64,1.1222613065326632,0.11560585781131588,0.11595014283912775
65,1.1355778894472361,0.11294807420377403,0.11524359695847551
66,1.148894472361809,0.11294807420377403,0.1145501009099897
67,1.1622110552763818,0.09161566526500246,0.11386924966470768
68,1.1755276381909547,0.11294807420377403,0.11320065589382448
69,1.1888442211055277,0.11035139315485902,0.11254394897110105
70,1.2021608040201004,0.11035139315485902,0.1118987740440299
71,1.2154773869346733,0.11035139315485902,0.11126479116816752
72,1.2287939698492463,0.11035139315485902,0.11064167449956495
73,1.242110552763819,0.10781440991413882,0.1100291115406959
74,1.255427135678392,0.10781440991413882,0.10942680243570019
75,1.2687437185929649,0.10781440991413882,0.10883445931113714
76,1.2820603015075376,0.10781440991413882,0.10825180565878009
77,1.2953768844221105,0.10533575202645394,0.10767857575728854
78,1.3086934673366835,0.10533575202645394,0.10711451412986722
79,1.3220100502512562,0.10533575202645394,0.10655937503526937
80,1.3353266331658291,0.10533575202645394,0.10601292198972416
81,1.348643216080402,0.10533575202645394,0.10547492731757106
82,1.3619597989949748,0.10291407858944755,0.10494517172856603
83,1.3752763819095477,0.10291407858944755,0.10442344391999088
84,1.3885929648241206,0.10291407858944755,0.10390954020184803
85,1.4019095477386934,0.10291407858944755,0.10340326414355915
86,1.4152261306532663,0.10054807952816527,0.10290442624071135
87,1.4285427135678392,0.10054807952816527,0.1024128436005083
88,1.441859296482412,0.10054807952816527,0.10192833964468638
89,1.455175879396985,0.10054807952816527,0.10145074382875124
90,1.4684924623115578,0.10054807952816527,0.10097989137647649
91,1.4818090452261306,0.09823647488633187,0.10051562302868478
92,1.4951256281407035,0.09823647488633187,0.10005778480540418
93,1.5084422110552764,0.09823647488633187,0.09960622778055961
94,1.5217587939698491,0.09823647488633187,0.09916080786841863
95,1.535075376884422,0.09823647488633187,0.09872138562106811
96,1.548391959798995,0.09823647488633187,0.0982878260362491
97,1.5617085427135677,0.0959780141339215,0.09785999837492397
