ma_GeV,ctau_Blnua,ctau_Dlnua,ctau_Dslnua
0.001,2513.365256137426,768.2824663552061,1188.2257626089822
0.0010165192271715722,2513.3653453545594,768.2827260745669,1188.2261109296433
0.0010333113392094894,2513.3654373470004,768.282993750226,1188.2264699324
0.0010503808439608524,2513.3655322006503,768.2832696240645,1188.226839942418
0.0010677323237389083,2513.365630004049,768.2835539452499,1188.2272212946746
0.001085370436553182,2513.365730848465,768.2838469704533,1188.2276143342494
0.0011032999173599125,2513.3658348279723,768.2841489640729,1188.2280194166276
0.0011215255793331567,2513.365942039537,768.2844601984638,1188.2284369080094
0.0011400523151568903,2513.3660525831074,768.2847809541751,1188.2288671856297
0.0011588850983384425,2513.366166561705,768.2851115201937,1188.229310638087
0.001178028984543645,2513.366284081516,768.2854521941944,1188.229767665682
0.0011974891129540167,2513.366405251991,768.285803282799,1188.2302386807655
0.0012172707076463886,2513.366530185942,768.2861651018417,1188.2307241080973
0.0012373790789952997,2513.3666589996446,768.2865379766425,1188.2312243852164
0.0012578196250985726,2513.366791812949,768.2869222422892,1188.2317399628203
0.0012785978332264377,2513.366928749381,768.2873182439267,1188.2322713051544
0.001299719281294584,2513.3670699362583,768.2877263370557,1188.2328188904191
0.0013211896393615617,2513.367215504809,768.2881468878392,1188.2333832111794
0.0013430146711509016,2513.367365590283,768.288580273419,1188.233964774795
0.0013652002355983976,2513.3675203320827,768.2890268822407,1188.2345641038569
0.0013877522884249314,2513.367679873884,768.2894871143878,1188.2351817366423
0.0014106768837352907,2513.3678443637673,768.2899613819272,1188.2358182275757
0.0014339801756433994,2513.3680139543535,768.2904501092627,1188.2364741477113
0.0014576684199243822,2513.368188802941,768.2909537335001,1188.2371500852237
0.0014817479756939398,2513.3683690716466,768.2914727048228,1188.2378466459154
0.0015062253071154452,2513.3685549275556,768.2920074868775,1188.2385644537394
0.0015311069851352548,2513.368746542868,768.2925585571727,1188.2393041513346
0.001556399689246685,2513.3689440950584,768.2931264074869,1188.2400664005804
0.001582110209283114,2513.369147767033,768.2937115442899,1188.2408518831644
0.0016082454472407253,2513.3693577472977,768.294314489176,1188.2416613011676
0.0016348124191313414,2513.3695742301243,768.2949357793099,1188.2424953776679
0.001661818256865878,2513.3697974157303,768.2955759678852,1188.243354857359
0.0016892702101689114,2513.370027510454,768.2962356245964,1188.244240507189
0.0017171756485248595,2513.3702647269442,768.2969153361244,1188.2451531170161
0.0017455420631563336,2513.3705092843506,768.2976157066362,1188.246093500285
0.001774377069035146,2513.37076140852,768.2983373582994,1188.2470624947211
0.001803688406926566,2513.371021332202,768.2990809318105,1188.2480609630468
0.0018334839454673172,2513.3712892952535,768.2998470869406,1188.249089793716
0.0018637716832779203,2513.3715655448577,768.3006365030931,1188.2501499016726
0.0018945597511099317,2513.371850335746,768.3014498798816,1188.251242229129
0.001925856414028632,2513.3721439304254,768.3022879377226,1188.2523677463691
0.0019576700736318006,2513.3724465994137,768.3031514184438,1188.2535274525708
0.001990009270305111,2513.3727586214823,768.3040410859138,1188.2547223766571
0.002022882685514815,2513.3730802839063,768.3049577266854,1188.2559535781672
0.002056299144138275,2513.373411882722,768.3059021506608,1188.2572221481573
0.002090267616833002,2513.3737537229904,768.3068751917741,1188.2585292101223
0.002124797222444847,2513.374106119071,768.3078777086945,1188.2598759209486
0.0021598972304559374,2513.374469394903,768.3089105855486,1188.2612634718914
0.0021955770634730885,2513.374843884293,768.3099747326644,1188.2626930895817
0.0022318462997572936,2513.3752299312177,768.3110710873359,1188.2641660370614
0.002268714675795015,2513.3756278901237,768.3122006146104,1188.265683614848
0.0023061920889119528,2513.376038126249,768.313364308097,1188.2672471620315
0.0023442885999299693,2513.3764610159474,768.3145631907998,1188.2688580574
0.0023830144358679395,2513.3768969470225,768.3157983159739,1188.2705177206005
0.002422379992687178,2513.3773463190746,768.3170707680058,1188.2722276133309
0.0024623958380822464,2513.3778095438543,768.31838166332,1188.273989240567
0.002503072714317861,2513.378287045631,768.3197321513098,1188.2758041518248
0.002544421541112639,2513.3787792615694,768.3211234152963,1188.2776739424576
0.0025864534185705205,2513.3792866421145,768.3225566735136,1188.2796002549917
0.002629179630160576,2513.3798096513974,768.3240331801219,1188.281584780501
0.0026726116457460665,2513.3803487676428,768.3255542262513,1188.283629260017
0.002716761124663535,2513.380904483593,768.327121141072,1188.2857354859834
0.002761639918852745,2513.381477306947,768.3287352928983,1188.2879053037495
0.002807260076038356,2513.3820677608087,768.3303980903213,1188.290140613107
0.0028536338429641156,2513.3826763841503,768.3321109833756,1188.2924433698709
0.0029007736686805265,2513.3833037322875,768.3338754647375,1188.2948155875035
0.0029486922078867718,2513.383950377373,768.3356930709587,1188.2972593387879
0.0029974023243278984,2513.3846169089006,768.337565383733,1188.2997767575462
0.0030469170942480695,2513.3853039342257,768.3394940312012,1188.302370040406
0.0030972498099008966,2513.386012079101,768.3414806892899,1188.3050414486208
0.0031484139831177583,2513.386741988228,768.3435270830912,1188.3077933099373
0.003200423348935032,2513.387494325827,768.345634988279,1188.3106280205184
0.0032532918692812934,2513.3882697762206,768.3478062325662,1188.313548046921
0.00330703373672538,2513.3890690444355,768.3500426972028,1188.3165559281267
0.0033616633782863965,2513.3898928568237,768.3523463185161,1188.3196542776334
0.0034171954593066644,2513.3907419617003,768.3547190894942,1188.3228457856028
0.0034736448873886124,2513.3916171300025,768.357163061414,1188.326133221072
0.0035310268163967554,2513.392519155963,768.3596803455144,1188.3295194342224
0.0035893566505257267,2513.39344885781,768.362273114718,1188.3330073587192
