ma_GeV,cl_pieee,cl_Keee,cl_Kmuee,cl_Kemumu,cl_Kmumumu,cl_Bmumumu
0.001,6.49878404436699,2.8684027545261976,2.7164294013066113,inf,inf,inf
0.0010165192271715722,6.498828493690254,2.868404322736116,2.7164349167167527,inf,inf,inf
0.0010333113392094894,6.498874422396743,2.8684059431798827,2.7164405999323806,inf,inf,inf
0.0010503808439608524,6.498921879696377,2.8684076175971644,2.7164464560138226,inf,inf,inf
0.0010677323237389083,6.4989709164344,2.8684093477855575,2.716452490172384,inf,inf,inf
0.001085370436553182,6.499021585145627,2.8684111356025204,2.7164587077747946,inf,inf,inf
0.0011032999173599125,6.4990739401105015,2.8684129829673655,2.716465114347784,inf,inf,inf
0.0011215255793331567,6.499128037413001,2.8684148918633143,2.7164717155827884,inf,inf,inf
0.0011400523151568903,6.499183935000454,2.868416864339633,2.7164785173407955,inf,inf,inf
0.0011588850983384425,6.499241692745343,2.868418902513821,2.7164855256573293,inf,inf,inf
0.001178028984543645,6.499301372509143,2.868421008573892,2.7164927467475772,inf,inf,inf
0.0011974891129540167,6.49936303820828,2.8684231847807147,2.7165001870116687,inf,inf,inf
0.0012172707076463886,6.499426755882267,2.8684254334704407,2.716507853040101,inf,inf,inf
0.0012373790789952997,6.499492593764084,2.868427757057009,2.7165157516193283,inf,inf,inf
0.0012578196250985726,6.499560622352905,2.868430158034738,2.716523889737509,inf,inf,inf
0.0012785978332264377,6.499630914489202,2.8684326389809978,2.7165322745904135,inf,inf,inf
0.001299719281294584,6.4997035454323555,2.868435202558977,2.716540913587514,inf,inf,inf
0.0013211896393615617,6.499778592940807,2.868437851520536,2.7165498143582383,inf,inf,inf
0.0013430146711509016,6.499856137354882,2.8684405887091633,2.7165589847584095,inf,inf,inf
0.0013652002355983976,6.499936261682331,2.8684434170630198,2.716568432876871,inf,inf,inf
0.0013877522884249314,6.500019051686701,2.8684463396180933,2.7165781670423,inf,inf,inf
0.0014106768837352907,6.500104595978629,2.8684493595114544,2.7165881958302167,inf,inf,inf
0.0014339801756433994,6.500192986110149,2.868452479984616,2.716598528070198,inf,inf,inf
0.0014576684199243822,6.5002843166721025,2.8684557043870162,2.716609172853293,inf,inf,inf
0.0014817479756939398,6.50037868539478,2.868459036179604,2.7166201395396588,inf,inf,inf
0.0015062253071154452,6.500476193251868,2.868462478938553,2.716631437766406,inf,inf,inf
0.0015311069851352548,6.500576944567842,2.868466036359096,2.7166430774556742,inf,inf,inf
0.001556399689246685,6.5006810471288885,2.8684697122594853,2.716655068822944,inf,inf,inf
0.001582110209283114,6.500788612297495,2.8684735105850874,2.716667422385574,inf,inf,inf
0.0016082454472407253,6.500899755130817,2.868477435412613,2.716680148971592,inf,inf,inf
0.0016348124191313414,6.501014594502944,2.8684814909544847,2.716693259728738,inf,inf,inf
0.001661818256865878,6.501133253231208,2.868485681563357,2.7167067661337545,inf,inf,inf
0.0016892702101689114,6.501255858206644,2.8684900117367786,2.7167206800019583,inf,inf,inf
0.0017171756485248595,6.5013825405287635,2.8684944861220134,2.7167350134970714,inf,inf,inf
0.0017455420631563336,6.501513435644756,2.8684991095210237,2.71674977914134,inf,inf,inf
0.001774377069035146,6.501648683493292,2.8685038868956134,2.7167649898259376,inf,inf,inf
0.001803688406926566,6.5017884286530565,2.8685088233727503,2.71678065882167,inf,inf,inf
0.0018334839454673172,6.501932820496177,2.8685139242500557,2.7167967997899787,inf,inf,inf
0.0018637716832779203,6.502082013346709,2.868519195001483,2.716813426794259,inf,inf,inf
0.0018945597511099317,6.502236166644337,2.8685246412831855,2.716830554311506,inf,inf,inf
0.001925856414028632,6.502395445113475,2.868530268939574,2.716848197244282,inf,inf,inf
0.0019576700736318006,6.502560018937927,2.868536084009579,2.716866370933028,inf,inf,inf
0.001990009270305111,6.502730063941303,2.868542092733123,2.7168850911687286,inf,inf,inf
0.002022882685514815,6.502905761773376,2.868548301557801,2.716904374205929,inf,inf,inf
0.002056299144138275,6.503087300102571,2.8685547171457926,2.7169242367761246,inf,inf,inf
0.002090267616833002,6.503274872814795,2.868561346380994,2.716944696101531,inf,inf,inf
0.002124797222444847,6.503468680218802,2.8685681963763923,2.7169657699092413,inf,inf,inf
0.0021598972304559374,6.503668929258332,2.8685752744816866,2.7169874764457855,inf,inf,inf
0.0021955770634730885,6.503875833731211,2.868582588291155,2.717009834492098,inf,inf,inf
0.0022318462997572936,6.504089614515686,2.86859014565179,2.7170328633789174,inf,inf,inf
0.002268714675795015,6.5043104998041805,2.8685979546716993,2.7170565830026074,inf,inf,inf
0.0023061920889119528,6.504538725344765,2.8686060237287907,2.717081013841437,inf,inf,inf
0.0023442885999299693,6.504774534690552,2.868614361479737,2.717106176972313,inf,inf,inf
0.0023830144358679395,6.505018179457314,2.868622976869248,2.717132094087982,inf,inf,inf
0.002422379992687178,6.505269919589564,2.868631879139644,2.717158787514727,inf,inf,inf
0.0024623958380822464,6.5055300236353935,2.868641077840748,2.717186280230551,inf,inf,inf
0.002503072714317861,6.505798769030353,2.8686505828401088,2.7172145958838794,inf,inf,inf
0.002544421541112639,6.506076442390669,2.8686604043335615,2.717243758812783,inf,inf,inf
0.0025864534185705205,6.506363339816117,2.8686705528561376,2.717273794064749,inf,inf,inf
0.002629179630160576,6.506659767202843,2.868681039293338,2.7173047274169977,inf,inf,inf
0.0026726116457460665,6.506966040566483,2.8686918748927828,2.717336585397376,inf,inf,inf
0.002716761124663535,6.507282486375928,2.86870307127624,2.7173693953058367,inf,inf,inf
