"ma_GeV","ctau"
0.3,2.977788117994355
0.5,5.204259025851283
0.7,7.6982680705615385
0.9000000000000001,9.226204742573351
1.1,10.951546284139429
1.3,12.754793343956099
1.5000000000000002,14.498443548724893
1.7000000000000002,16.651601894064534
1.9000000000000001,19.021895383216656
2.1,21.42809146239618
2.3,23.714958122250454
2.5,25.74753795817451
2.7,27.89374912000039
2.9,30.220781801687025
3.1,32.57864845552766
3.3,34.06425999878062
3.5,33.38896432068216
