"ma_GeV","gtau"
0.147619925,3.515275373150703
0.129832345,5.239619703753879
0.112731325,8.830240987929983
0.099147673,14.431452460301106
0.082835331,27.498836014985535
0.159441815,2.6665767083373466
0.172210441,1.9616185699533142
0.186001621,1.5344067267237917
0.200897243,1.2762419161949492
0.222629978,1.0945931588791529
0.253131227,0.983025978103012
0.295297808,0.9981541034650134
0.327242641,0.9980878081125002
0.367329461,1.013431913499068
0.401873361,1.0775166408580772
0.451102354,1.1109515261679337
0.506361837,1.1453867658219925
0.568390539,1.1808344638673052
0.671641536,1.235955226546282
0.76365927,1.273928132652126
0.890869573,1.3127171002113744
1.012922477,1.3525926524248604
1.181655025,1.4364583086220983
1.378495029,1.5016098381533503
1.649955073,1.616903059696354
1.924804464,1.7135598676410522
2.303846457,1.812050429281834
2.687621024,1.9138314156408414
3.135324729,2.0153690738420815
3.657606883,2.1804020448586394
4.266890759,2.414910739801584
5.107147944,2.9447870722759704
5.881887702,3.5429981618374216
6.602411708,4.314112383636682
7.316649782,5.4108849652353
7.902591204,6.814445142031835
8.319061779,8.593588147557256
8.645755985,11.093277823480728
8.985279655,14.110936451367797
9.219004243,18.929971743013656
9.33813661,24.41513708885581
