"ma_GeV","gtau"
0.159441815,0.385437740828539
0.163589207,0.3305858794012262
0.172210441,0.283539063811479
0.17668997,0.24318897679617243
0.186001621,0.21508514479949564
0.195804001,0.1902251764609663
0.21148463,0.16315249597891235
0.234362691,0.14429300390923389
0.27340281,0.13992244882317859
0.310860153,0.14207526034415505
0.353449309,0.14425927403769456
0.412326868,0.15337198116671638
0.456931713,0.15813323149676436
0.512905286,0.16055001514595404
0.575735552,0.165517248567689
0.689112238,0.17323572570482676
0.846270678,0.1840579021616813
1.012922477,0.192530106074887
1.243928846,0.20436465845936386
1.608124626,0.22329815203975145
2.303846457,0.2540011017818827
3.135324729,0.29130806036801304
3.850364626,0.31655768827803066
4.54980271,0.3611374699032495
5.376297237,0.44152580075486614
6.271880421,0.5621553493310792
7.131154591,0.7246712498517954
7.902591204,0.9552084853030425
8.319061779,1.2232300834415901
8.645755985,1.5549868506603217
8.870648902,1.9016825292657455
9.101391722,2.3988568271689203
9.33813661,2.935343128595755
9.458808462,3.786157178594776
