,ma_GeV,gtau_BaBar,gtau_20fb-1,gtau_50ab-1,gtau_3m
0,0.0001,0.3608,0.11226847821233295,0.01554601132976135,30342.102781834197
1,0.00010370738620192992,0.3608,0.11226847821233295,0.01554601132976135,28211.518035282177
2,0.00010755221952836234,0.3608,0.11226847821233295,0.01554601132976135,26230.517411208086
3,0.00011153959567502624,0.3608,0.11226847821233295,0.01554601132976135,24388.630108588808
4,0.00011567479925477046,0.3608,0.11226847821233295,0.01554601132976135,22676.08431487626
5,0.00011996331080145196,0.3608,0.11226847821233295,0.01554601132976135,21083.799529484433
6,0.00012441081403348318,0.3608,0.11226847821233295,0.01554601132976135,19603.31011099565
7,0.00012902320338666922,0.3608,0.11226847821233295,0.01554601132976135,18226.78283261321
8,0.00013380659182631445,0.3608,0.11226847821233295,0.01554601132976135,16946.917495749625
9,0.00013876731894895593,0.3608,0.11226847821233295,0.01554601132976135,15756.918726543028
10,0.00014391195938445744,0.3608,0.11226847821233295,0.01554601132976135,14650.484277564621
11,0.00014924733150960381,0.3608,0.11226847821233295,0.01554601132976135,13621.740003908219
12,0.00015478050648473933,0.3608,0.11226847821233295,0.01554601132976135,12665.23355385018
13,0.0001605188176254318,0.3608,0.11226847821233295,0.01554601132976135,11775.892160728286
14,0.00016646987012157796,0.3608,0.11226847821233295,0.01554601132976135,10948.998837209834
15,0.000172641551116836,0.3608,0.11226847821233295,0.01554601132976135,10180.170700277076
16,0.0001790420401617392,0.3608,0.11226847821233295,0.01554601132976135,9465.329527130853
17,0.00018567982005434936,0.3608,0.11226847821233295,0.01554601132976135,8800.681406759692
18,0.00019256368808281241,0.3608,0.11226847821233295,0.01554601132976135,8182.706535765129
19,0.00019970276768472198,0.3608,0.11226847821233295,0.01554601132976135,7608.124220698855
20,0.0002071065205387373,0.3608,0.11226847821233295,0.01554601132976135,7073.888261770915
21,0.00021478475910448764,0.3608,0.11226847821233295,0.01554601132976135,6577.166153937389
22,0.00022274765962737583,0.3608,0.11226847821233295,0.01554601132976135,6115.323405267353
23,0.00023100577562552277,0.3608,0.11226847821233295,0.01554601132976135,5685.910610656749
24,0.00023957005187672434,0.3608,0.11226847821233295,0.01554601132976135,5286.651324882172
25,0.00024845183892395836,0.3608,0.11226847821233295,0.01554601132976135,4915.427704256699
26,0.0002576629081186664,0.3608,0.11226847821233295,0.01554601132976135,4570.270732731447
27,0.00026721546722174893,0.3608,0.11226847821233295,0.01554601132976135,4249.350634489391
28,0.0002771221765829506,0.3608,0.11226847821233295,0.01554601132976135,3950.9651852048887
29,0.00028739616592007454,0.3608,0.11226847821233295,0.01554601132976135,3673.531527646921
30,0.000298051051720271,0.3608,0.11226847821233295,0.01554601132976135,3415.5797188129436
31,0.000309100955286455,0.3608,0.11226847821233295,0.01554601132976135,3175.740691496099
32,0.00032056052145277864,0.3608,0.11226847821233295,0.01554601132976135,2952.7429854070033
33,0.0003324449379939532,0.3608,0.11226847821233295,0.01554601132976135,2745.404236394791
34,0.00034476995575415554,0.3608,0.11226847821233295,0.01554601132976135,2552.624325312001
35,0.0003575519095221846,0.3608,0.11226847821233295,0.01554601132976135,2373.3814026624837
36,0.0003708077396805471,0.3608,0.11226847821233295,0.01554601132976135,2206.7247212241805
37,0.00038455501465715154,0.3608,0.11226847821233295,0.01554601132976135,2051.770446451251
38,0.00039881195420938035,0.3608,0.11226847821233295,0.01554601132976135,1907.6970443845564
39,0.0004135974535713856,0.3608,0.11226847821233295,0.01554601132976135,1773.7403071403712
40,0.0004289311084966247,0.3608,0.11226847821233295,0.01554601132976135,1649.18982817372
41,0.0004448332412288136,0.3608,0.11226847821233295,0.01554601132976135,1533.385187329383
42,0.0004613249274357278,0.3608,0.11226847821233295,0.01554601132976135,1425.7122663690466
43,0.00047842802414154275,0.3608,0.11226847821233295,0.01554601132976135,1325.600101971864
44,0.0004961651986947322,0.3608,0.11226847821233295,0.01554601132976135,1232.5176224184186
45,0.000514559958809919,0.3608,0.11226847821233295,0.01554601132976135,1145.9713806943305
46,0.0005336366837234936,0.3608,0.11226847821233295,0.01554601132976135,1065.5022925599046
47,0.0005534206565042943,0.3608,0.11226847821233295,0.01554601132976135,990.6836921355937
48,0.0005739380975621646,0.3608,0.11226847821233295,0.01554601132976135,921.1187567467708
49,0.0005952161993988033,0.3608,0.11226847821233295,0.01554601132976135,856.438629121829
50,0.0006172831626469656,0.3608,0.11226847821233295,0.01554601132976135,796.3002862770755
51,0.0006401682334457759,0.3608,0.11226847821233295,0.01554601132976135,740.3848072962232
52,0.0006639017422016824,0.3608,0.11226847821233295,0.01554601132976135,688.3956498794172
53,0.00068851514378644,0.3608,0.11226847821233295,0.01554601132976135,640.0571334084593
54,0.0007140410592253757,0.3608,0.11226847821233295,0.01554601132976135,595.112905826154
55,0.0007405133189312116,0.3608,0.11226847821233295,0.01554601132976135,553.3246079895307
56,0.0007679670075407198,0.3608,0.11226847821233295,0.01554601132976135,514.4706594598701
57,0.0007964385104136586,0.3608,0.11226847821233295,0.01554601132976135,478.34499529607854
58,0.0008259655618555901,0.3608,0.11226847821233295,0.01554601132976135,444.7560404372143
59,0.0008565872951285171,0.3608,0.11226847821233295,0.01554601132976135,413.5256734924601
60,0.0008883442943155965,0.3608,0.11226847821233295,0.01554601132976135,384.4882732552797
61,0.0009212786481086838,0.3608,0.11226847821233295,0.01554601132976135,357.4898581178338
62,0.0009554340055899907,0.3608,0.11226847821233295,0.01554601132976135,332.3872409991773
63,0.0009908556340817805,0.3608,0.11226847821233295,0.01554601132976135,309.04730845574625
