0.001	1.1352166949695383e-10
0.011	1.1097815064825994e-10
0.021	1.062826680789072e-10
0.031	1.0041351704627882e-10
0.041	9.386827769183281e-11
0.051000000000000004	8.696703964787327e-11
0.061	7.993378291700506e-11
0.07100000000000001	7.293144841179666e-11
0.081	6.608051555803372e-11
0.091	5.947017176256503e-11
0.101	5.3165642846557545e-11
0.111	4.7213324513422893e-11
0.121	4.1644555674048004e-11
0.131	3.647850161348214e-11
0.14100000000000001	3.172442480578334e-11
0.151	2.7383517164554133e-11
0.161	2.3450407279551307e-11
0.171	1.9914419616867425e-11
0.181	1.6760639543895916e-11
0.191	1.3970822914855949e-11
0.201	1.1524178752917947e-11
0.211	9.398046502250693e-12
0.221	7.568484316932206e-12
0.231	6.010781230458062e-12
0.241	4.699903378740745e-12
0.251	3.6108824486027262e-12
0.261	2.719153004355009e-12
0.271	2.000844177818399e-12
0.281	1.4330303056445411e-12
0.291	9.939444003264197e-13
0.301	6.631578101747335e-13
0.311	4.2172903712221536e-13
0.321	2.5232443814840945e-13
0.331	1.39313463074364e-13
0.341	6.884125848382315e-14
0.35100000000000003	2.888209673430127e-14
0.361	9.278703029971206e-15
0.371	1.7767684259439255e-15
0.381	7.71240522895474e-17
