0.001	2.294672488373939e-10
0.011	2.278391066545211e-10
0.021	2.2409131259974266e-10
0.031	2.1858994932450612e-10
0.041	2.1160042367993845e-10
0.051000000000000004	2.0335598141495627e-10
0.061	1.940727263458938e-10
0.07100000000000001	1.8395421840942032e-10
0.081	1.731927533758507e-10
0.091	1.6196940215728236e-10
0.101	1.5045358108359524e-10
0.111	1.3880248079331228e-10
0.121	1.2716050438643093e-10
0.131	1.1565878679823481e-10
0.14100000000000001	1.0441482946952491e-10
0.151	9.35322651478623e-11
0.161	8.310075743697114e-11
0.171	7.319603412286264e-11
0.181	6.388005019927865e-11
0.191	5.5201274758047506e-11
0.201	4.719509492681342e-11
0.211	3.9884329492273465e-11
0.221	3.3279844562490844e-11
0.231	2.7381263494954097e-11
0.241	2.21777632921485e-11
0.251	1.7648949718514638e-11
0.261	1.3765803514792005e-11
0.271	1.049169028978876e-11
0.281	7.783426984072108e-12
0.291	5.5923982780192546e-12
0.301	3.865717048505244e-12
0.311	2.54742411940477e-12
0.321	1.5797243764096666e-12
0.331	9.04259340806973e-13
0.341	4.634215471845115e-13
0.35100000000000003	2.0172578416385718e-13
0.361	6.7271906740281e-14
0.371	1.3379294866600276e-14
0.381	6.035696599310653e-16
