0.20971 11.96046
0.22283 14.39385
0.23676 20.08857
0.25541 16.08549
0.29277 17.97594
0.32065 20.84658
0.35120 18.65424
0.38465 24.17564
0.42130 21.63319
0.44764 26.03452
0.46143 17.97594
0.50539 20.84658
0.55353 18.65424
0.62493 20.84658
0.74966 22.44949
0.87242 22.44949
1.04655 23.29658
1.21792 24.17564
1.46101 27.01689
1.64947 30.19206
1.86223 32.51355
2.23392 35.01353
2.44672 39.12851
2.67979 45.37707
2.84738 52.62349
3.11862 56.66974
3.52089 63.32987
3.62931 79.09032
3.74108 606.51539
3.97504 815.69566
4.09745 1018.69200
4.62597 1057.13070
4.76843 1225.94744
5.06664 1370.02730
5.22267 1588.81154
5.38350 1775.53713
5.89633 1842.53417
6.07791 2136.77460
6.45801 2478.00328
6.86189 2769.23141
7.29102 3211.45923
7.51555 3864.83865
7.98556 4651.14974
8.23147 5597.43780
8.48496 6491.31134
8.74626 8106.75756
9.01560 9401.35276
3.68477 199.64944
