ma_GeV,gtau_445pb-1,gtau_20fb-1,gtau_50ab-1
0.15,27.033941359664624,1.2250891597185374,0.15557627959170717
0.15240483892611428,23.81216951984993,1.1432812118494828,0.15073326890081779
0.15484823285396557,20.823581144457666,1.067043495277565,0.1460289881895859
0.15733079990734708,18.067826241803274,0.9963035163914191,0.14146303670529936
0.15985316811997297,15.543767321383868,0.9309636118524122,0.13703445235562844
0.16241597559435697,13.249409742448298,0.8708988513911892,0.13274166179994573
0.16501987066323792,11.181827550835315,0.8159548073884478,0.12858242729549332
0.16766551205359323,9.337084546168274,0.7659451836932429,0.12455379011247171
0.1703535690532823,7.710150307655428,0.7206492957291247,0.12065201032213455
0.17308472168036118,6.294810892189283,0.6798093935146183,0.11687251778876277
0.17585966085511176,5.083573903127913,0.6431278187788442,0.11321086238289278
0.17867908857482928,4.067567612040962,0.6102639868844373,0.10966351652791928
0.18154371809141173,3.2364337987713814,0.5808311837771455,0.10622739143086729
0.18445427409179668,2.5782139573581397,0.5543931676633396,0.1028993088149976
0.18741149288129072,2.0792284966428705,0.5304690855668251,0.09967542255056576
0.19041612256983817,1.7239485446964433,0.5087486214758962,0.09655226707497638
0.19346892326127613,1.4948599455024099,0.4891313051033928,0.09352691637776081
0.19657066724562366,1.3723190145713118,0.47151233513528235,0.0905958587732542
0.1997221391944539,1.3343995972795484,0.45577011092395786,0.087755871613019
0.20292413635939818,1.356730949672499,0.44176593503261974,0.08500506597674705
0.2061774687738328,1.4123259361846758,0.42935509048523196,0.08234127082711853
0.20948295945779968,1.4713990121478178,0.4183830552125944,0.07976177516182707
0.21284144462621124,1.504010781323472,0.40867554826563335,0.07726331025771832
0.21625377390039463,1.5109664796371551,0.4000368840942242,0.07484301079973953
0.21972081052302653,1.5108226199211683,0.39224843006692944,0.07249879899276444
0.22324343157651422,1.5091188754791154,0.38506725258554714,0.07022819918057294
0.22682252820487775,1.4914356038415801,0.37831277518913453,0.06802821448150544
0.23045900583918938,1.4340841582187884,0.3720034948005007,0.06589528517200086
0.23415378442662724,1.3431469648601186,0.3661913005050329,0.06382524446306927
0.2379077986632014,1.2474826991944998,0.36093167252863534,0.06181608971454767
0.24172199823021087,1.174877587342881,0.35628389315399395,0.05987905276310949
0.2455973480344918,1.0999841868802505,0.3523112691101524,0.0580303666702995
0.24953482845251707,1.0334466931533146,0.34908136603412304,0.05628758472757614
0.2535354355784094,1.0232553041501302,0.34666622912790107,0.05466966323579123
0.25760018147593144,1.0986231725840097,0.3451069547720887,0.05319704957447661
0.2617300944345143,1.149177310188358,0.34433762585172467,0.05189177523573391
0.26592621922939214,1.1465796399307222,0.3442628504824731,0.05077755408718754
0.2701896173859071,1.188466972618749,0.34477564664083765,0.04987988614210134
0.2745213674480508,1.2016014772276935,0.34575661016471,0.049226003207513434
0.27892256525131204,1.19968186554306,0.34707303284138324,0.04882610623413581
0.28339432419989874,1.1809287540289584,0.34857796783399553,0.04865350767071878
0.28793777554840383,1.0875040877758246,0.35010923955283313,0.048673902062242945
0.29255406868798756,0.9766422862072058,0.3514883949259979,0.04884898352780025
0.2972443714371475,0.8981677783329568,0.3525228691656019,0.049136161417749534
0.30200987033715027,0.8630499583488643,0.3531227502225379,0.049488258983194554
0.30685177095220034,0.8613769914013168,0.3533458159576202,0.04985319412412052
0.31177129817441995,0.8916958483436307,0.3532668338673751,0.0501737225086599
0.31676969653372017,0.9558449900544642,0.35296894170190474,0.0504088477610365
0.32184823051263817,1.0012172668769355,0.3525442362965833,0.050565929518784844
0.32700818486622346,1.0513450543843337,0.3520943974293645,0.050660910011272424
0.3322508649470519,1.0820340631199121,0.351725639978744,0.05071151228801512
0.3375775970354506,1.0479128045231503,0.3515277911206934,0.05073736544901712
0.3429897286750171,1.0030161631479038,0.35159132105644864,0.05076013732332767
0.34848862901351746,1.0013000345775223,0.3520149935979836,0.05080367500424171
0.35407568914925014,0.9838121147050078,0.352906416818657,0.05089414537380051
0.3597523224829625,1.000533255379123,0.3543826249914565,0.05105178015608123
0.3655199650754095,1.088910723876185,0.35657069412455944,0.05127385384027331
0.37138007601064466,1.1429987167428894,0.35958768297194266,0.051552650648767316
0.37733413776513586,1.1848611594998473,0.3633328203666697,0.05187952295323296
0.38338365658279827,1.2280128123971046,0.36755200481401185,0.052244824538323
0.38953016285604053,1.2222890528478887,0.37196237684918426,0.0526378398664595
0.3957752115129195,1.183848592424276,0.3762523047231944,0.053046709123595374
0.402120382410502,1.1134149517568732,0.38007941872327805,0.053458348814275795
0.4085672807345336,1.0279379068222807,0.3831622482651609,0.05385836766216429
0.41511753740551405,0.9631973273100224,0.3855354157684838,0.054231208969165126
0.4217728094912839,0.9804733510030066,0.38731712613488767,0.05456787342222625
0.42853478062622535,1.0315464598733433,0.3886391996797501,0.05486859820642797
0.43540516143718394,1.1392433691680548,0.38964803734182235,0.0551343797222294
0.44238568997621874,1.2654681378857644,0.3905056434991101,0.05536642332613774
0.44947813216029026,1.4271138856915564,0.39139070955552985,0.055566159865498996
0.4566842822179983,1.5978617540068232,0.3924807639601863,0.05573526324405847
0.4640059631434809,1.7901666254469883,0.3938136930958843,0.055876277915295335
0.4714450271575915,1.8504161596894317,0.39535292279693623,0.05599485177058055
0.4790033561764688,1.8354440418397735,0.39705713583998403,0.056098050357466525
0.48668286228761914,1.7233996565787029,0.3988804372363186,0.05619369443644253
0.4944854882336323,1.469754124858844,0.4007720334282238,0.05629041245194593
0.5024132079036514,1.2670051128352058,0.40267589243864693,0.05639769613648197
