,ma_GeV,gtau_20fb-1,gtau_50ab-1
32,0.8145728643216081,0.015327323037033854,0.0021676108113846864
33,0.8306532663316584,0.01552564386172465,0.00219565761138256
34,0.8467336683417086,0.015722615409037594,0.0022235135947437177
35,0.8628140703517588,0.015920469424268544,0.002251494377914676
36,0.8788944723618091,0.016121437652713365,0.002279915577341952
37,0.8949748743718593,0.016327751839667917,0.002309092809472063
38,0.9110552763819095,0.016541486770539206,0.0023393194932711686
39,0.9271356783919598,0.016763023927169912,0.00237064957841884
40,0.9432160804020102,0.016991711639196626,0.0024029909048084645
41,0.9592964824120604,0.017226883495469983,0.002436249227671489
42,0.9753768844221107,0.01746787308484063,0.0024703303022393583
43,0.9914572864321609,0.017714013996159208,0.002505139883743519
44,1.0075376884422111,0.01796463981827636,0.002540583727415417
45,1.0236180904522614,0.01821908414004272,0.0025765675884864975
46,1.0396984924623116,0.018476680550308933,0.0026129972221882077
47,1.0557788944723618,0.018736762637925633,0.002649778383751993
48,1.071859296482412,0.01899866399174347,0.0026868168284092985
49,1.0879396984924623,0.019261718200613082,0.0027240183113915717
50,1.1040201005025125,0.019525259994370995,0.0027612887492900287
51,1.120100502512563,0.01978876216214602,0.0027985535832282444
52,1.1361809045226132,0.02005196562475034,0.0028357761738761022
53,1.1522613065326635,0.020314642109615054,0.0028729242386173193
54,1.1683417085427137,0.02057656334417129,0.0029099654948356126
55,1.184422110552764,0.020837501055850163,0.0029468676599146986
56,1.2005025125628142,0.021097226972082782,0.0029835984512382938
57,1.2165829145728644,0.02135551282030027,0.003020125586190114
58,1.2326633165829146,0.021612130327933726,0.003056416782153876
59,1.2487437185929648,0.021866851222414288,0.0030924397565132975
60,1.264824120603015,0.02211944723117306,0.0031281622266520945
61,1.2809045226130653,0.02236969008164115,0.003163551909953982
62,1.2969849246231158,0.022617351501249692,0.0031985765238026795
63,1.313065326633166,0.022862296711818473,0.0032332170076851494
64,1.3291457286432162,0.023105054843204596,0.003267548191863411
65,1.3452261306532665,0.023346442317307987,0.00330168553582981
66,1.3613065326633167,0.02358727670502649,0.0033357446615695434
67,1.377386934673367,0.02382837557725797,0.003369841191067805
68,1.3934673366834172,0.024070556504900285,0.0034040907463097907
69,1.4095477386934674,0.02431463705885129,0.0034386089492806963
70,1.4256281407035178,0.024561434810008845,0.0034735114219657157
71,1.441708542713568,0.024811767329270814,0.003508913786350045
72,1.4577889447236183,0.025066452187535043,0.0035449316644188805
73,1.4738693467336685,0.0253263069556994,0.003581680678157415
74,1.4899497487437188,0.025592149204661744,0.0036192764495508465
75,1.506030150753769,0.025864785429613964,0.003657833034243009
76,1.5221105527638192,0.02614452043728876,0.0036973935384154335
77,1.5381909547738695,0.026430962905788224,0.00373790262079459
78,1.5542713567839197,0.02672367023679793,0.0037792976885265856
79,1.57035175879397,0.027022199832003442,0.003821516148757524
80,1.5864321608040204,0.027326109093090346,0.003864495408633513
81,1.6025125628140706,0.027634955421744205,0.0039081728753006546
82,1.6185929648241209,0.027948296219650594,0.003952485955905058
83,1.634673366834171,0.028265688888495084,0.0039973720575928245
84,1.6507537688442213,0.028586690829963252,0.004042768587510063
85,1.6668341708542715,0.028910859445740667,0.004088612952802875
86,1.6829145728643218,0.029237752137512903,0.004134842560617369
87,1.698994974874372,0.02956692630696553,0.00418139481809965
88,1.7150753768844222,0.029897984597497117,0.004228213530540233
89,1.7311557788944725,0.030230748032579257,0.004275273386835734
90,1.7472361809045227,0.030565103440592892,0.004322558382102302
91,1.7633165829145732,0.030900937663323927,0.0043700525133518265
92,1.7793969849246234,0.031238137542558247,0.004417739777596201
93,1.7954773869346736,0.031576589920081756,0.004465604171847319
94,1.8115577889447239,0.03191618163768036,0.004513629693117071
95,1.827638190954774,0.03225679953713996,0.00456180033841735
96,1.8437185929648243,0.03259833046024645,0.00461010010476005
97,1.8597989949748746,0.03294066124878573,0.004658512989157064
98,1.8758793969849248,0.033283678744543695,0.00470702298862028
99,1.891959798994975,0.03362726978930626,0.004755614100161595
100,1.9080402010050252,0.03397132131111817,0.004804270332991747
101,1.9241206030150755,0.034315722221978415,0.0048529759768949675
102,1.940201005025126,0.03466036341784009,0.004901715602228973
103,1.9562814070351762,0.03500513588091518,0.004950473791550331
104,1.9723618090452264,0.0353499305934157,0.004999235127415607
105,1.9884422110552766,0.03569463853755363,0.005047984192381367
106,2.0045226130653266,0.036039150695540964,0.005096705569004179
107,2.020603015075377,0.036383358049589705,0.005145383839840609
108,2.036683417085427,0.03672715158191185,0.005194003587447221
109,2.0527638190954773,0.03707042227471939,0.005242549394380585
110,2.0688442211055276,0.03741306111022432,0.005291005843197264
111,2.084924623115578,0.03775495907063864,0.005339357516453827
112,2.101005025125628,0.0380960071299579,0.005387588995544859
113,2.1170854271356787,0.03843605592769185,0.005435679157707261
114,2.133165829145729,0.03877482224938641,0.00548358795036883
115,2.149246231155779,0.039111995150114966,0.005531271399276332
116,2.1653266331658294,0.03944726368495095,0.005578685530176532
117,2.1814070351758796,0.03978031690896774,0.005625786368816195
118,2.19748743718593,0.04011084387723874,0.0056725299409420855
119,2.21356783919598,0.04043853364483734,0.00571887227230097
120,2.2296482412060303,0.04076307526683695,0.005764769388639612
121,2.2457286432160806,0.04108415779831098,0.005810177315704776
122,2.261809045226131,0.04140147029433281,0.0058550520792432295
123,2.277889447236181,0.04171470180997585,0.005899349705001736
124,2.2939698492462313,0.042023541400313495,0.0059430262187270605
125,2.3100502512562815,0.04232771538906003,0.005986042916747708
126,2.3261306532663317,0.042627456058998446,0.0060284326488098785
127,2.342211055276382,0.04292336032929418,0.006070279832031513
128,2.358291457286432,0.043216033169139106,0.006111670021976207
129,2.3743718592964824,0.04350607954772509,0.006152688774207557
130,2.3904522613065327,0.04379410443424401,0.006193421644289159
131,2.406532663316583,0.04408071279788773,0.00623395418778461
132,2.422613065326633,0.04436650960784811,0.006274371960257504
133,2.4386934673366834,0.04465209983331704,0.006314760517271438
134,2.4547738693467336,0.044938088443486374,0.0063552054143900085
135,2.470854271356784,0.04522508040754799,0.006395792207176812
136,2.486934673366834,0.04551368069469376,0.006436606451195444
137,2.5030150753768843,0.045804493532333374,0.006477733597105657
138,2.5190954773869345,0.04609793767485844,0.006519232865721446
139,2.535175879396985,0.04639400326392838,0.006561102862862914
140,2.5512562814070354,0.046692620082111974,0.00660333365828571
