m [GeV/c^2], xsec [fb], xsec error [fb], xsec_UL_obs [fb], xsec_UL_exp [fb], xsec_UL_exp -1sigma [fb], xsec_UL_exp +1sigma [fb], xsec_UL_exp -2sigma [fb], xsec_UL_exp +2sigma [fb], g'_UL_obs, g'_UL_exp, g'_UL_exp -1sigma, g'_UL_exp +1sigma, g'_UL_exp -2sigma, g'_UL_exp +2sigma, xi_UL_obs, xi_UL_exp, xi_UL_exp -1sigma, xi_UL_exp +1sigma, xi_UL_exp -2sigma, xi_UL_exp +2sigma, {c_{\ell\ell}/\Lambda}_UL_obs [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp -1sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp +1sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp -2sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp +2sigma [TeV^-1]
3.6, -3.3761555, 0.94049515, 1.0400496, 2.3134906, 1.5663177, 3.5051146, 1.13657, 5.1581906, 0.03415595, 0.05094167, 0.04191594, 0.06270331, 0.03570569, 0.07606555, 66.07788702, 98.55144377, 81.09032654, 121.3054274, 69.07600555, 147.15594577, 199.54481126, 297.60983791, 244.88001406, 366.32328462, 208.59865698, 444.38777853
3.61493, -4.1236162, 0.95741445, 0.99329555, 2.2904539, 1.552352, 3.4640432, 1.1185211, 5.1037832, 0.03201205, 0.04861105, 0.04001928, 0.05978137, 0.03397006, 0.07256385, 63.45398792, 96.35637525, 79.32585823, 118.49808349, 67.33513998, 143.83540009, 195.99928994, 297.62953832, 245.0249763, 366.02175819, 207.98755216, 444.28470468
3.62978, -4.0662283, 0.90181701, 0.97453075, 2.2549692, 1.5305792, 3.4035501, 1.0931339, 5.0248716, 0.0305138, 0.04641611, 0.03824075, 0.0570249, 0.03231731, 0.06928847, 61.80226556, 94.0106227, 77.45233688, 115.49752985, 65.4550718, 140.33600417, 195.13062759, 296.82329027, 244.54318895, 364.66471387, 206.66377071, 443.08816708
3.64457, -3.4519359, 0.8906892, 1.0009817, 2.2235679, 1.5112561, 3.3579284, 1.0763244, 4.9539783, 0.02984599, 0.04448342, 0.03667262, 0.05466491, 0.03094885, 0.06639723, 61.62728675, 91.85127234, 75.72320933, 112.8744623, 63.90451918, 137.09986547, 198.77732745, 296.26406421, 244.24338585, 364.07385652, 206.12248575, 442.21231032
3.65928, -2.8124288, 0.9904839, 1.0726194, 2.1935021, 1.4925596, 3.3182549, 1.0660573, 4.8931961, 0.03017541, 0.04315184, 0.03559559, 0.05307441, 0.03008296, 0.06445055, 62.80496919, 89.81320828, 74.08614959, 110.46534552, 62.61255949, 134.14283902, 206.83000471, 295.77383015, 243.98131017, 363.78567218, 206.19635899, 441.7606502
3.67393, -1.6873059, 1.0154609, 1.2637038, 2.1569866, 1.470162, 3.2715774, 1.0552033, 4.8276161, 0.03219735, 0.04206503, 0.03472802, 0.05180552, 0.02942155, 0.06293088, 67.14865319, 87.72803145, 72.42645977, 108.04216057, 61.35962984, 131.24447324, 225.66505912, 294.82574055, 243.4020721, 363.0950048, 206.21001075, 441.07052647
3.6885, -0.88055729, 1.0070796, 1.5105403, 2.1477576, 1.4641767, 3.2579272, 1.0504374, 4.8076298, 0.03462704, 0.04128971, 0.03409149, 0.05085339, 0.02887582, 0.06177528, 72.35203111, 86.27345715, 71.23301308, 106.25643894, 60.33504726, 129.07736124, 248.01039369, 295.73066222, 244.17459119, 364.22890762, 206.81822741, 442.45512789
3.70301, -0.35752323, 1.0349894, 1.7719675, 2.110469, 1.4370963, 3.2018268, 1.0367771, 4.7283535, 0.03696654, 0.04034321, 0.03329078, 0.04969125, 0.02827637, 0.06038596, 77.26568223, 84.3234285, 69.58276835, 103.86224011, 59.10190311, 126.2158035, 270.02750157, 294.69285803, 243.17731428, 362.97694392, 206.54886845, 441.09800232
3.71745, -0.46078249, 1.0628484, 1.7322218, 2.0929397, 1.4182516, 3.1651236, 1.02852, 4.6807252, 0.03623621, 0.03983084, 0.03278821, 0.04898199, 0.02792206, 0.05956589, 75.35830975, 82.83383278, 68.18769973, 101.86494054, 58.0678531, 123.87565715, 268.3930283, 295.01754085, 242.85448126, 362.79794437, 206.81205554, 441.19039912
3.73182, -0.91127907, 1.0379213, 1.4945628, 2.0798144, 1.4035238, 3.1458955, 1.0219148, 4.6506889, 0.03337638, 0.03937263, 0.03234387, 0.04842329, 0.02759875, 0.05887634, 69.07841097, 81.48872918, 66.94145464, 100.22069283, 57.12057875, 121.85515296, 250.62768418, 295.65433245, 242.87445987, 363.61693616, 207.24272852, 442.11026807
3.74612, -1.1211416, 0.9764518, 1.3512184, 2.0491785, 1.3825375, 3.1020105, 1.0056577, 4.5841058, 0.03147487, 0.03876066, 0.03183755, 0.04768951, 0.02715353, 0.05797337, 64.84535018, 79.85570716, 65.59255144, 98.25116222, 55.94240799, 119.43823607, 239.57995976, 295.03776378, 242.3405964, 363.00227273, 206.68682978, 441.28079673
3.76036, -1.5782733, 0.94119348, 1.1879922, 2.03632, 1.377063, 3.0839491, 0.99793004, 4.5559581, 0.02935649, 0.03843442, 0.03160634, 0.04729889, 0.02690589, 0.05748933, 60.05033572, 78.61975001, 64.65253378, 96.7525112, 55.03749933, 117.59761281, 225.85273336, 295.69335827, 243.16186242, 363.89170602, 206.99917014, 442.2913206
3.77453, -2.1333742, 0.93255884, 1.0871536, 2.0179954, 1.3692883, 3.0583803, 0.98653018, 4.5160358, 0.02796534, 0.03810086, 0.031385, 0.04690514, 0.02663973, 0.05699718, 56.75494343, 77.32471481, 63.69505099, 95.19277444, 54.06465411, 115.67431303, 217.22434702, 295.95326273, 243.78697297, 364.34162419, 206.92751109, 442.73283695
3.78864, -2.4636677, 0.87984574, 1.0167623, 2.0092259, 1.3644376, 3.0456133, 0.98180024, 4.4961176, 0.02693299, 0.03786075, 0.03119979, 0.04661355, 0.02646588, 0.05663614, 54.24540627, 76.25487836, 62.83911907, 93.88379336, 53.30461558, 114.07016763, 211.2188884, 296.91861027, 244.68079036, 365.56147032, 207.55567014, 444.16247688
3.80269, -2.3903266, 0.85406654, 1.0082316, 1.9945447, 1.357629, 3.025284, 0.97225546, 4.4725116, 0.02672396, 0.03758742, 0.03101067, 0.04629176, 0.02624284, 0.05628548, 53.55933148, 75.33154628, 62.15063185, 92.77651829, 52.59508853, 112.80561898, 211.47016748, 297.43415885, 245.39149692, 366.31274737, 207.66301356, 445.3943408
3.81667, -2.2638338, 0.90510153, 1.0492442, 1.9819897, 1.3513231, 3.0075853, 0.96449581, 4.4514757, 0.02722436, 0.03741709, 0.03089577, 0.04609229, 0.02610174, 0.05607527, 54.85259206, 75.38927433, 62.24987258, 92.86837431, 52.59071061, 112.98241925, 216.84048911, 298.02506147, 246.08304385, 367.1225543, 207.89893389, 446.63637816
3.83058, -1.7641803, 0.96337774, 1.1476434, 1.9629894, 1.3412128, 2.9817224, 0.95064185, 4.4195693, 0.02843323, 0.03718619, 0.03073772, 0.04583069, 0.02587803, 0.05579724, 57.59318042, 75.32281762, 62.26104776, 92.83274323, 52.41746874, 113.02058587, 227.95575034, 298.13025226, 246.43132668, 367.43512832, 207.47010893, 447.3392903
3.84444, -0.89782827, 0.96657437, 1.387715, 1.9463542, 1.3268163, 2.9548779, 0.94285764, 4.3750141, 0.03122339, 0.03697778, 0.0305306, 0.04556168, 0.02573671, 0.05543955, 63.58193965, 75.29992947, 62.17116854, 92.7797934, 52.40909899, 112.89464952, 251.97499676, 298.41334804, 246.38411597, 367.68598552, 207.69706965, 447.40108757
3.85823, -0.22762227, 0.98292794, 1.7166985, 1.9362558, 1.3180497, 2.938853, 0.93940614, 4.3485844, 0.0347108, 0.03686371, 0.0304147, 0.04541576, 0.025677, 0.05524483, 70.99889586, 75.40253499, 62.21147155, 92.89525104, 52.52079341, 113.00002323, 281.72587434, 299.19965431, 246.85709553, 368.61130733, 208.40417681, 448.38768209
3.87196, 0.25977532, 1.0388259, 2.0667241, 1.9121129, 1.2963153, 2.9002344, 0.93155738, 4.2851767, 0.0380891, 0.03663669, 0.0301658, 0.04512072, 0.02557198, 0.05484586, 78.21192102, 75.22955049, 61.94225683, 92.65060314, 52.50933358, 112.62014147, 310.74730847, 298.89791772, 246.1055724, 368.11428718, 208.6271999, 447.45615995
3.88563, 0.36754327, 1.077157, 2.1769568, 1.9005782, 1.2853785, 2.8816717, 0.92795033, 4.2615133, 0.03909544, 0.03652953, 0.03004116, 0.04498041, 0.02552487, 0.05469947, 80.59162921, 75.30224112, 61.92707189, 92.72295861, 52.61715901, 112.75789353, 320.62073877, 299.57776527, 246.36682162, 368.88326719, 209.32884169, 448.58900954
3.89924, 0.44033583, 1.0823557, 2.2292085, 1.8861835, 1.2718926, 2.8587812, 0.92284013, 4.2323685, 0.03956563, 0.03639441, 0.02988601, 0.04480569, 0.02545692, 0.05451731, 81.88039921, 75.31761807, 61.84859332, 92.72462058, 52.68267786, 112.82266211, 326.17975784, 300.03618277, 246.38081136, 369.37893049, 209.86735866, 449.44173408
3.91279, 0.62786718, 1.090286, 2.3776642, 1.8682698, 1.2540903, 2.8303334, 0.91661589, 4.1967594, 0.04090986, 0.03626373, 0.02971099, 0.04463458, 0.02540074, 0.05435127, 84.90352631, 75.26104872, 61.66161186, 92.63375459, 52.71620761, 112.79958576, 338.67758184, 300.21403227, 245.96629265, 369.51322714, 210.2833474, 449.9541138
3.92628, 0.84269687, 1.1191402, 2.5660976, 1.8555262, 1.2481429, 2.8102226, 0.91144417, 4.1708249, 0.04255259, 0.03618454, 0.02967711, 0.04453073, 0.02536031, 0.05425009, 88.5603333, 75.30714836, 61.7639144, 92.67722431, 52.77979424, 112.90511981, 353.74644556, 300.80776648, 246.71051214, 370.19100383, 210.82423601, 450.98954948
3.93971, 1.1088959, 1.1287217, 2.791428, 1.8380076, 1.2433508, 2.7881003, 0.90521086, 4.1374254, 0.04443635, 0.03605776, 0.02965664, 0.04440985, 0.02530463, 0.05409912, 92.74156617, 75.25491368, 61.89535378, 92.68627043, 52.81242242, 112.90841183, 370.96079256, 301.01521438, 247.57776303, 370.73961287, 211.24657354, 451.62698528
3.95308, 1.2952716, 1.1106886, 2.9375076, 1.8271266, 1.239504, 2.7771509, 0.90080469, 4.1163564, 0.04564936, 0.03600224, 0.02965303, 0.04438589, 0.02527903, 0.0540383, 95.5246969, 75.33737589, 62.05119293, 92.88079158, 52.89827234, 113.07918082, 382.62980091, 301.76829735, 248.5497088, 372.03948241, 211.88714617, 452.94532041
3.96639, 1.3916479, 1.1071913, 3.0162222, 1.8122333, 1.2363221, 2.7655228, 0.89425708, 4.0942138, 0.04635332, 0.03592992, 0.02967666, 0.04438516, 0.02523948, 0.05400506, 97.19171338, 75.33635873, 62.22478268, 93.06495976, 52.9210882, 113.23555972, 389.86197121, 302.19429516, 249.60025492, 373.30845812, 212.28064664, 454.21813229
3.97965, 1.2538748, 1.1192007, 2.9058123, 1.8097901, 1.2345715, 2.7610754, 0.89257294, 4.0877906, 0.04559186, 0.03598054, 0.02971746, 0.04444191, 0.02526826, 0.05407517, 95.78788566, 75.59462419, 62.43597985, 93.37184524, 53.0882814, 113.61119517, 384.78698236, 303.66916572, 250.80992353, 375.08157028, 213.25953128, 456.38452765
3.99285, 0.74117541, 1.107024, 2.4710282, 1.8308475, 1.243441, 2.7831112, 0.90290969, 4.1232985, 0.04213049, 0.03626467, 0.02988617, 0.04471188, 0.02546712, 0.05442269, 88.6954708, 76.34642017, 62.91803984, 94.12995953, 53.6148073, 114.57371114, 356.81963021, 307.13971266, 253.11767905, 378.6824406, 215.6910104, 460.92713497
4.00599, 0.58418694, 1.0854585, 2.3150511, 1.8160472, 1.2359794, 2.7660337, 0.89633006, 4.0938618, 0.04087467, 0.03620241, 0.02986617, 0.04467892, 0.0254336, 0.05435513, 86.223795, 76.36782272, 63.00172767, 94.24874511, 53.65137091, 114.66039452, 347.19797, 307.51085614, 253.68950595, 379.5120938, 216.03835773, 461.70382802
4.01908, 0.7224615, 1.0759761, 2.4184816, 1.7998136, 1.2272216, 2.7434101, 0.8854388, 4.0628127, 0.04188872, 0.03613595, 0.0298392, 0.04461399, 0.02534574, 0.05429241, 88.53642391, 76.377308, 63.0684384, 94.29658159, 53.57101278, 114.75298284, 356.60523657, 307.63099281, 254.02579417, 379.80588443, 215.77225331, 462.19976802
4.03211, 0.98033244, 1.1066667, 2.65238, 1.7836836, 1.2150841, 2.7155463, 0.87357839, 4.0244657, 0.04398415, 0.03606926, 0.02977018, 0.04450481, 0.02524232, 0.05417919, 93.14971775, 76.38754994, 63.04735043, 94.25236946, 53.45823455, 114.74077692, 375.28798672, 307.75541268, 254.00949977, 379.73042575, 215.37621049, 462.27553023
4.04508, 1.3235336, 1.1459839, 2.9914009, 1.7715284, 1.2059896, 2.6947799, 0.86505951, 3.9956979, 0.04683485, 0.03604175, 0.02973744, 0.04445222, 0.02518574, 0.05412876, 99.38560977, 76.48217963, 63.10415824, 94.32956818, 53.44525938, 114.86362532, 400.52139594, 308.22117426, 254.30809959, 380.14568117, 215.38299097, 462.89739191
4.058, 1.8416565, 1.1570484, 3.480957, 1.7523392, 1.190905, 2.6601723, 0.84840687, 3.9482505, 0.05067456, 0.03595421, 0.02964007, 0.04429916, 0.02501743, 0.05396883, 107.71325734, 76.42385107, 63.00258799, 94.16179172, 53.17676561, 114.71552045, 434.20249423, 308.07188987, 253.9694883, 379.57523369, 214.36065377, 462.4292899
4.07086, 2.3508084, 1.1497793, 3.960591, 1.7321847, 1.1734174, 2.6220703, 0.830632, 3.8970651, 0.0542283, 0.03586271, 0.029517, 0.04412332, 0.02483421, 0.05379165, 115.43648901, 76.34141585, 62.83322818, 93.92588088, 52.86490307, 114.50697491, 465.46710254, 307.82656287, 253.35836977, 378.73126604, 213.16373592, 461.71908286
4.08367, 2.4162398, 1.1254665, 3.9950648, 1.7396536, 1.1789232, 2.6340803, 0.8342229, 3.9134859, 0.05464078, 0.03605673, 0.02968231, 0.04436796, 0.02496871, 0.05408003, 116.48758924, 76.8686287, 63.27913015, 94.58717366, 53.2302857, 115.29212135, 469.84022045, 310.04138458, 255.229597, 381.5072388, 214.69865872, 465.01842869
4.09643, 2.1834333, 1.1073449, 3.7455042, 1.7489265, 1.1879899, 2.6526289, 0.84395463, 3.9372003, 0.05307901, 0.03627049, 0.02989331, 0.04466897, 0.02519575, 0.05442036, 113.3284664, 77.44076718, 63.82491451, 95.37226921, 53.79518652, 116.19237325, 457.23152116, 312.4401212, 257.50602367, 384.78600404, 217.04039368, 468.78615106
4.10913, 1.7623482, 1.1014653, 3.3299607, 1.7387932, 1.1802747, 2.6350458, 0.8365111, 3.9125946, 0.05022182, 0.03629083, 0.02989954, 0.04467525, 0.02517148, 0.0544384, 107.36915566, 77.5861051, 63.92217338, 95.51114862, 53.81406983, 116.38376687, 433.31648606, 313.11914696, 257.97475431, 385.46037775, 217.18084208, 469.69732218
4.12178, 0.90986555, 1.067704, 2.5315486, 1.7383527, 1.1802168, 2.6344139, 0.83707941, 3.9111991, 0.04394518, 0.03641556, 0.03000537, 0.04482911, 0.02526978, 0.05462268, 94.06779924, 77.95012164, 64.22864281, 95.95991477, 54.09176826, 116.92377032, 379.74951919, 314.68282932, 259.28953819, 387.38794562, 218.36721125, 472.01854321
4.13438, 0.17042538, 0.99667978, 1.9009887, 1.7388359, 1.1807186, 2.6353459, 0.83806851, 3.911962, 0.03821711, 0.03655084, 0.03011905, 0.04499735, 0.02537511, 0.05482333, 81.91008538, 78.33879915, 64.55365151, 96.44204796, 54.3860318, 117.50190962, 330.77014125, 316.34853682, 260.68121317, 389.45326057, 219.62222766, 474.49740847
4.14693, -0.11600069, 0.95937579, 1.6879547, 1.736429, 1.178978, 2.6314516, 0.8366958, 3.906836, 0.03614127, 0.03665655, 0.0302048, 0.04512537, 0.02544526, 0.05498391, 77.56035967, 78.66615726, 64.82048428, 96.84052028, 54.60635841, 117.99728405, 313.30227613, 317.7691056, 261.84000886, 391.18378966, 220.58041573, 476.64577402
4.15942, -0.18454717, 0.97371727, 1.6530662, 1.7388435, 1.1814864, 2.6370895, 0.84140202, 3.9140582, 0.03589705, 0.03681662, 0.03034785, 0.04533943, 0.02561034, 0.05523664, 77.13062453, 79.10646413, 65.20728053, 97.41911045, 55.02797104, 118.68487164, 311.66460408, 319.64845315, 263.48550128, 393.6450492, 222.35358408, 479.57440711
4.17186, 0.11453873, 0.97056729, 1.8150085, 1.7302179, 1.1751338, 2.6223052, 0.83579529, 3.8929475, 0.03775367, 0.03686127, 0.03037831, 0.04537969, 0.02561945, 0.0552916, 81.21863492, 79.29882542, 65.35217006, 97.62430886, 55.1145561, 118.94758464, 328.28834018, 320.5284083, 264.1555778, 394.60060304, 222.77481221, 480.78997103
4.18426, 0.52106271, 0.92887064, 2.0562368, 1.7268069, 1.1723134, 2.6159235, 0.83238707, 3.8844073, 0.04033383, 0.03696194, 0.03045473, 0.04549309, 0.0256623, 0.05543644, 86.87639145, 79.61356975, 65.5974677, 97.98909112, 55.27488816, 119.40639606, 351.27164225, 321.90551343, 265.23350964, 396.20417455, 223.49570943, 482.80183076
4.1966, 0.91201509, 0.91147791, 2.332478, 1.7030851, 1.1538991, 2.5805228, 0.81403867, 3.8368237, 0.04311803, 0.03684413, 0.03032732, 0.04535279, 0.02547256, 0.05530139, 92.98946882, 79.45901252, 65.4046922, 97.80900461, 54.93479483, 119.26442286, 376.11344826, 321.38696535, 264.54161558, 395.60696989, 222.19414064, 482.38745636
4.20889, 0.646093, 0.89991926, 2.1113996, 1.710947, 1.1607378, 2.5894597, 0.82301058, 3.850822, 0.04118614, 0.03707526, 0.03053746, 0.04561109, 0.02571394, 0.05562149, 88.89439903, 80.02164208, 65.91074865, 98.44502169, 55.49986029, 120.05103343, 359.62383419, 323.72894196, 266.64307765, 398.26104392, 224.5256481, 485.66853942
4.22113, -0.13913366, 0.89289911, 1.5771309, 1.7168178, 1.1664795, 2.6034591, 0.8334709, 3.865734, 0.03574027, 0.03728946, 0.03073707, 0.04591973, 0.0259818, 0.05595513, 77.1892574, 80.53508032, 66.38371422, 99.17412378, 56.11361048, 120.84786326, 312.31962908, 325.85734415, 268.5987364, 401.27378599, 227.04431422, 488.96907551
4.23332, -1.1257817, 0.83376608, 1.0950498, 1.7122647, 1.162994, 2.5949903, 0.82974102, 3.8538236, 0.0299024, 0.03739164, 0.03081611, 0.0460317, 0.02602917, 0.0560964, 64.62261707, 80.8077582, 66.59725732, 99.47993121, 56.25211907, 121.23095403, 261.51484172, 327.0128796, 269.50581696, 402.57543944, 227.64110586, 490.59749033
4.24546, -1.6941324, 0.73554148, 0.91669197, 1.7076079, 1.1591648, 2.5859806, 0.82492768, 3.8439352, 0.02747091, 0.03749346, 0.03089114, 0.04613962, 0.0260597, 0.05625349, 59.40662272, 81.08065109, 66.80296552, 99.77822667, 56.35482273, 121.64973823, 240.44574709, 328.17044352, 270.38212604, 403.84807544, 228.09371806, 492.3720766
4.25756, -1.8473759, 0.6568868, 0.83193904, 1.7056003, 1.1575698, 2.5823301, 0.82316797, 3.8402726, 0.0262794, 0.03762775, 0.03099868, 0.04629942, 0.0261405, 0.05646127, 56.86397551, 81.41981262, 67.07567637, 100.18376421, 56.56342495, 122.17222787, 230.19242602, 329.59750047, 271.53065773, 405.55630391, 228.9757601, 494.56833217
4.2696, -2.125113, 0.61174482, 0.77113555, 1.71099, 1.1623293, 2.5940061, 0.83051164, 3.8522911, 0.02540772, 0.03784636, 0.03119356, 0.0466, 0.02636776, 0.05678844, 55.00911169, 81.93944254, 67.53577099, 100.89154342, 57.08764546, 122.95008067, 222.72094433, 331.75649381, 273.43889459, 408.48977811, 231.13651386, 497.80040492
4.2816, -2.8880274, 0.64137404, 0.73604692, 1.7134962, 1.1643672, 2.5989996, 0.83307824, 3.8592472, 0.02492834, 0.03803488, 0.03135346, 0.04684289, 0.02652061, 0.05708103, 54.002379, 82.39516266, 67.92116463, 101.47597877, 57.45172037, 123.65493158, 218.68204324, 333.65831019, 275.04601346, 410.9258664, 232.65011342, 500.73929325
4.29355, -2.9342048, 0.52424645, 0.71703875, 1.7058074, 1.1585461, 2.5853128, 0.82736447, 3.8404356, 0.02470927, 0.03811129, 0.03140836, 0.04691862, 0.02654221, 0.05718457, 53.55916754, 82.60902608, 68.07994008, 101.69955515, 57.53219429, 123.95177448, 216.92469873, 334.58208781, 275.73655774, 411.90231993, 233.0162041, 502.0279921
4.30545, -2.9495523, 0.53956994, 0.71354908, 1.7192367, 1.1687384, 2.6098039, 0.83777989, 3.8744868, 0.02475233, 0.03842129, 0.03167837, 0.0473378, 0.02682064, 0.05767814, 53.68938392, 83.33824143, 68.71240539, 102.67871694, 58.17567901, 125.10756981, 217.49022164, 337.59472126, 278.34695027, 415.94101615, 235.66374574, 506.7980129
4.31731, -2.7391476, 0.57728421, 0.72647719, 1.7192699, 1.1692758, 2.6127075, 0.84108661, 3.8780977, 0.02507791, 0.03857913, 0.03181551, 0.04755825, 0.02698366, 0.05794151, 54.43961544, 83.74831681, 69.0657191, 103.24034646, 58.57663464, 125.78053287, 220.56863862, 339.31636133, 279.82805378, 418.29065989, 237.33026863, 509.61493159
4.32912, -2.4237733, 0.62762632, 0.75003262, 1.7161966, 1.1673421, 2.609837, 0.8415613, 3.873655, 0.02558609, 0.03870324, 0.03192, 0.0477277, 0.02710233, 0.05814659, 55.58833219, 84.08665701, 69.34938954, 103.69319594, 58.88252784, 126.32928479, 225.26358326, 340.74887511, 281.02825484, 420.20150556, 238.61282918, 511.93094384
4.34088, -1.950953, 0.67826527, 0.82303294, 1.702533, 1.157189, 2.5841568, 0.8311354, 3.8373658, 0.02691305, 0.03870812, 0.03191218, 0.0476885, 0.0270452, 0.05811267, 58.51992813, 84.16721262, 69.39006972, 103.6942337, 58.80727636, 126.36062806, 237.18707375, 341.1380619, 281.24483589, 420.28301538, 238.35172462, 512.15216016
4.35259, -1.525292, 0.67671867, 0.88535054, 1.6975535, 1.1528105, 2.571953, 0.82366358, 3.8240627, 0.0280317, 0.03881536, 0.0319868, 0.04777749, 0.02703752, 0.05825784, 60.99814924, 84.46382894, 69.60460795, 103.96581057, 58.83475665, 126.7714717, 247.27776532, 342.40427178, 282.16711694, 421.46251368, 238.50768145, 513.91339934
4.36426, -1.3752704, 0.67018679, 0.90849536, 1.6914599, 1.1481739, 2.5613079, 0.81894384, 3.8124593, 0.02852604, 0.03892342, 0.03206889, 0.0478973, 0.02708365, 0.0584363, 62.10098912, 84.73601068, 69.81375473, 104.27208441, 58.96091586, 127.2154237, 251.79638487, 343.57296818, 283.06877723, 422.78447203, 239.06455717, 515.81116893
4.37589, -1.7151616, 0.67781588, 0.86207728, 1.6888383, 1.1459581, 2.5582519, 0.81560127, 3.8068733, 0.02791599, 0.03907274, 0.0321858, 0.04808964, 0.02715306, 0.05866298, 60.79990228, 85.09887451, 70.09937582, 104.7373145, 59.13828532, 127.76561595, 246.56864032, 345.1109787, 284.28183489, 424.75293967, 239.8300993, 518.14218482
4.38747, -2.5484529, 0.70785872, 0.77907109, 1.685156, 1.143475, 2.5531078, 0.81425446, 3.7996406, 0.0266611, 0.03921115, 0.03230002, 0.04826408, 0.02725647, 0.05887904, 58.09299153, 85.43882212, 70.37988193, 105.16464815, 59.39026594, 128.29403273, 235.63731721, 346.55772236, 285.47551308, 426.56979615, 240.89933338, 520.38741486
4.399, -2.7683151, 0.60541682, 0.76448203, 1.6886079, 1.1451593, 2.558896, 0.81250879, 3.8068333, 0.02653339, 0.03943424, 0.03247447, 0.04854398, 0.02735414, 0.05920945, 57.84118907, 85.96427011, 70.79238173, 105.82295618, 59.63038395, 129.07302889, 234.66284141, 348.7587342, 287.20608471, 429.32581406, 241.92164025, 523.65181623
4.41049, -2.4059547, 0.63745445, 0.78483125, 1.6909334, 1.1460733, 2.563032, 0.81051853, 3.8118486, 0.02700236, 0.03963481, 0.0326302, 0.04879671, 0.02744069, 0.05950882, 58.87058827, 86.41188585, 71.14042075, 106.38667758, 59.82623961, 129.7412427, 238.88498092, 350.6420151, 288.67348793, 431.69569369, 242.76282141, 526.46381149
4.42194, -1.8106934, 0.705369, 0.89004515, 1.6731356, 1.1305839, 2.5429608, 0.80575897, 3.7799852, 0.02888165, 0.03959875, 0.03255122, 0.04881865, 0.02748011, 0.05951973, 62.97342034, 86.34095206, 70.97455227, 106.44397786, 59.91752112, 129.77657638, 255.58295243, 350.42205624, 288.05622307, 432.01188668, 243.18032703, 526.70921115
4.43334, -1.2974431, 0.83559745, 1.0425841, 1.6732687, 1.1305277, 2.5433044, 0.80635418, 3.7802082, 0.03139657, 0.03977494, 0.03269394, 0.04903722, 0.02761148, 0.05978395, 68.46313138, 86.73293721, 71.29216676, 106.93020063, 60.20937668, 130.36441806, 277.91799644, 352.08211558, 289.40213148, 434.07052118, 244.412854, 529.19895928
4.4447, -0.36179567, 0.88917362, 1.4441593, 1.6602909, 1.1195702, 2.5281, 0.80439934, 3.7565251, 0.03711549, 0.03979603, 0.03267935, 0.04910716, 0.02770024, 0.05986057, 80.94116334, 86.78686191, 71.26684887, 107.09248982, 60.4084572, 130.54343583, 328.63661116, 352.37126593, 289.35704325, 434.81600072, 245.26989531, 530.03132883
4.45601, 0.47774262, 0.92375834, 2.011915, 1.6562438, 1.1165717, 2.5227739, 0.80306263, 3.7481928, 0.04400552, 0.0399268, 0.03278277, 0.04927669, 0.02780206, 0.06006387, 95.97022293, 87.07506796, 71.4948892, 107.46594301, 60.63262876, 130.99135976, 389.73626994, 353.61293491, 290.34163502, 436.42053229, 246.22986015, 531.95754257
4.46729, 1.1979211, 0.99462932, 2.6730266, 1.6423964, 1.1047332, 2.5067317, 0.80071967, 3.7231739, 0.05095578, 0.03994209, 0.03275824, 0.04934529, 0.02788894, 0.06013793, 111.12604626, 87.10703171, 71.4402434, 107.61384508, 60.82112812, 131.15078167, 451.37698881, 353.81542854, 290.17933267, 437.11096529, 247.04611197, 532.71439868
4.47851, 1.7648038, 1.0757889, 3.2921199, 1.6305176, 1.0964517, 2.4931841, 0.7987384, 3.7019637, 0.05681026, 0.03998082, 0.03278564, 0.04943859, 0.0279828, 0.06024278, 123.89168329, 87.1900802, 71.49885456, 107.81557563, 61.02483498, 131.37732342, 503.33385026, 354.22651149, 290.47788197, 438.02156335, 247.92515796, 533.74570654
4.4897, 2.0902511, 1.1126062, 3.6409176, 1.62622, 1.0964776, 2.4889441, 0.79883104, 3.6948908, 0.06002119, 0.04011334, 0.03293814, 0.04962571, 0.02811426, 0.06046443, 130.8919321, 87.47764891, 71.83024293, 108.22186768, 61.31050865, 131.85853829, 531.88625435, 355.47002991, 291.88597224, 439.76525454, 249.1384784, 535.81410947
4.50085, 2.3044583, 1.1004118, 3.8442589, 1.6212079, 1.0966804, 2.4835954, 0.79900418, 3.6860747, 0.06196194, 0.04023816, 0.03309472, 0.04980342, 0.02824836, 0.06067374, 135.12268886, 87.74882712, 72.17088078, 108.60814297, 61.60223799, 132.3134613, 549.19616036, 356.64860831, 293.33319924, 441.42975251, 250.37773346, 537.77826303
4.51195, 2.4702023, 1.078302, 3.9714797, 1.618132, 1.0950935, 2.4760294, 0.79774763, 3.6741142, 0.06326992, 0.04038574, 0.0332236, 0.0499573, 0.02835658, 0.06085516, 137.98197363, 88.0751015, 72.45557039, 108.94920804, 61.84134697, 132.7157619, 560.93980291, 358.05278601, 294.55451538, 442.91254629, 251.40438326, 539.53100803
