m [GeV/c^2], xsec [fb], xsec error [fb], xsec_UL_obs [fb], xsec_UL_exp [fb], xsec_UL_exp -1sigma [fb], xsec_UL_exp +1sigma [fb], xsec_UL_exp -2sigma [fb], xsec_UL_exp +2sigma [fb], g'_UL_obs, g'_UL_exp, g'_UL_exp -1sigma, g'_UL_exp +1sigma, g'_UL_exp -2sigma, g'_UL_exp +2sigma, xi_UL_obs, xi_UL_exp, xi_UL_exp -1sigma, xi_UL_exp +1sigma, xi_UL_exp -2sigma, xi_UL_exp +2sigma, {c_{\ell\ell}/\Lambda}_UL_obs [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp -1sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp +1sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp -2sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp +2sigma [TeV^-1]
6.49772, 0.76213818, 1.1227115, 2.5211724, 1.7910952, 1.2004588, 2.7578019, 0.85339514, 4.1434769, 0.14914402, 0.12570828, 0.10291489, 0.15598617, 0.08677201, 0.19119962, 298.2672875, 251.39908206, 205.81545448, 311.9506435, 173.53194529, 382.37264357, 1217.43510815, 1026.13354361, 840.07522978, 1273.2863486, 708.30389867, 1560.72724094
6.50314, 1.3106288, 1.1444867, 3.0059818, 1.7966176, 1.2042204, 2.7658079, 0.85599676, 4.154651, 0.16344554, 0.12635945, 0.10345057, 0.15678008, 0.08721997, 0.192153, 326.7064683, 252.57617641, 206.78429406, 313.38309541, 174.34143646, 384.08896819, 1333.56903954, 1030.97979888, 844.06388967, 1279.18493847, 711.63678879, 1567.79619046
6.50854, 1.7379796, 1.1430602, 3.3961426, 1.8115939, 1.2140821, 2.7866072, 0.86418159, 4.1844491, 0.17436634, 0.12735034, 0.10425424, 0.15794561, 0.08795736, 0.19354806, 348.35434557, 254.42436463, 208.2822698, 315.54852268, 175.72387794, 386.67617912, 1421.99063349, 1038.56624164, 850.21312507, 1288.07649272, 717.30900357, 1578.42125953
6.51393, 2.0220575, 1.139407, 3.6589325, 1.817243, 1.2173635, 2.7940425, 0.86771092, 4.1964071, 0.18165419, 0.12801909, 0.10477999, 0.1587394, 0.0884618, 0.19453916, 362.72313467, 255.6257264, 209.22240754, 316.96737344, 176.63858971, 388.45155448, 1480.70548086, 1043.51329691, 854.08603962, 1293.92167813, 721.07263894, 1585.73383054
6.51932, 2.0995293, 1.1440912, 3.7375554, 1.8094424, 1.2124423, 2.7833648, 0.86338732, 4.1801203, 0.18427755, 0.12821859, 0.10495646, 0.15902437, 0.08856894, 0.19488257, 367.76496624, 255.88740935, 209.4628826, 317.36687927, 176.75811813, 388.92953676, 1501.34996412, 1044.6252039, 855.10344959, 1295.60669596, 721.59074046, 1587.75141641
6.52469, 1.6139359, 1.129029, 3.2679979, 1.830355, 1.2249561, 2.8147292, 0.87454502, 4.2253554, 0.1729561, 0.12943826, 0.10589008, 0.16051415, 0.08947178, 0.19666479, 344.98446758, 258.18221514, 211.21216099, 320.16729508, 178.46363854, 392.27468252, 1408.4111178, 1054.03789559, 862.28101178, 1307.09414577, 728.584027, 1601.47506921
6.53005, 1.0447497, 1.1106535, 2.7470568, 1.8196777, 1.2184618, 2.7975162, 0.86899675, 4.2027232, 0.15916746, 0.12954412, 0.10600502, 0.16062264, 0.08952195, 0.19687286, 317.30787728, 258.25234311, 211.32602941, 320.20885613, 178.46625495, 392.47538831, 1295.47572295, 1054.36916273, 862.78267996, 1307.31957536, 728.62578335, 1602.36279594
6.53539, 0.23122567, 1.0633999, 2.0726197, 1.821575, 1.21946, 2.8006648, 0.87004486, 4.2071697, 0.1387752, 0.13009949, 0.10644759, 0.16131792, 0.08991308, 0.19771839, 276.50241249, 259.21650014, 212.09131935, 321.41761968, 179.14716376, 393.94367229, 1128.92747471, 1058.35108734, 865.9444068, 1312.31108781, 731.43721735, 1608.42659972
6.54073, -0.25033063, 1.0364383, 1.7330229, 1.8009323, 1.2063741, 2.7715228, 0.85916034, 4.163639, 0.12737909, 0.12985082, 0.10627644, 0.16108504, 0.08968774, 0.19743881, 253.654357, 258.5763909, 211.63192297, 320.77418015, 178.5982859, 393.16668408, 1035.68665562, 1055.78362887, 864.10642072, 1309.74110509, 729.22800778, 1605.32424103
6.54605, -0.51347546, 0.95533396, 1.5261601, 1.8206914, 1.2189433, 2.7993118, 0.86961689, 4.2057103, 0.11999034, 0.13105827, 0.10723536, 0.16250693, 0.09057539, 0.19918926, 238.80591802, 260.8334033, 213.42082278, 323.42283153, 180.26400704, 396.4283589, 975.10245892, 1065.04602161, 871.44896074, 1320.61383115, 736.06164362, 1618.7130987
