,ma_GeV,gtau_20fb-1,gtau_50ab-1,gtau_3m
0,0.0001,0.0792663508883319,0.0109761493929732,11384167.30599807
1,0.00010528040035730377,0.0792663508883319,0.0109761493929732,10270845.91898683
2,0.00011083962699394158,0.0792663508883319,0.0109761493929732,9266402.456657171
3,0.00011669240305376383,0.0792663508883319,0.0109761493929732,8360189.1378550725
4,0.000122854229121561,0.0792663508883319,0.0109761493929732,7542599.487493271
5,0.0001293414242750587,0.0792663508883319,0.0109761493929732,6804966.501407434
6,0.0001361711693046207,0.0792663508883319,0.0109761493929732,6139470.77024068
7,0.00014336155221512646,0.0792663508883319,0.0109761493929732,5539057.5884071505
8,0.00015093161613053023,0.0792663508883319,0.0109761493929732,4997362.169433608
9,0.00015890140972797112,0.0792663508883319,0.0109761493929732,4508642.174911117
10,0.00016729204033500748,0.0792663508883319,0.0109761493929732,4067716.8418177483
11,0.000176125729830598,0.0792663508883319,0.0109761493929732,3669912.062920869
12,0.00018542587349787656,0.0792663508883319,0.0109761493929732,3311010.8380740774
13,0.00019521710198459207,0.0792663508883319,0.0109761493929732,2987208.5711588194
14,0.00020552534653530454,0.0792663508883319,0.0109761493929732,2695072.738788185
15,0.00021637790766810435,0.0792663508883319,0.0109761493929732,2431506.5032336423
16,0.00022780352747773738,0.0792663508883319,0.0109761493929732,2193715.883847171
17,0.00023983246575662241,0.0792663508883319,0.0109761493929732,1979180.1389736622
18,0.0002524965801353653,0.0792663508883319,0.0109761493929732,1785625.0443816972
19,0.00026582941045501295,0.0792663508883319,0.0109761493929732,1610998.7849460281
20,0.00027986626759449765,0.0792663508883319,0.0109761493929732,1453450.204017287
21,0.00029464432698853027,0.0792663508883319,0.0109761493929732,1311309.1799074193
22,0.0003102027270836079,0.0792663508883319,0.0109761493929732,1183068.9214684085
23,0.00032658267299289645,0.0792663508883319,0.0109761493929732,1067369.9950853207
24,0.00034382754562450554,0.0792663508883319,0.0109761493929732,962985.9137590522
25,0.00036198301657217036,0.0792663508883319,0.0109761493929732,868810.1355132695
26,0.00038109716907262623,0.0792663508883319,0.0109761493929732,783844.3332998313
27,0.0004012206253500118,0.0792663508883319,0.0109761493929732,707187.8120557803
28,0.00042240668068456975,0.0792663508883319,0.0109761493929732,638027.9607254984
29,0.0004447114445607128,0.0792663508883319,0.0109761493929732,575631.6380330157
30,0.00046819398926826696,0.0792663508883319,0.0109761493929732,519337.4006878362
31,0.0004929165063504633,0.0792663508883319,0.0109761493929732,468548.4916379548
32,0.0005189444713130024,0.0792663508883319,0.0109761493929732,422726.51404084766
33,0.0005463468170304219,0.0792663508883319,0.0109761493929732,381385.72389220225
34,0.000575196116309014,0.0792663508883319,0.0109761493929732,344087.8808104085
35,0.0006055687740897921,0.0792663508883319,0.0109761493929732,310437.60239163326
36,0.0006375452298005495,0.0792663508883319,0.0109761493929732,280078.1728884871
37,0.0006712101703929108,0.0792663508883319,0.0109761493929732,252687.76178145094
38,0.0007066527546285973,0.0792663508883319,0.0109761493929732,227976.0121573447
39,0.0007439668492089021,0.0792663508883319,0.0109761493929732,205680.96272934845
40,0.0007832512773727505,0.0792663508883319,0.0109761493929732,185566.27086989715
41,0.0008246100806217268,0.0792663508883319,0.0109761493929732,167418.7072187218
42,0.0008681527942652394,0.0792663508883319,0.0109761493929732,151045.89530717712
43,0.0009139947375155637,0.0792663508883319,0.0109761493929732,136274.2722373525
44,0.0009622573189010722,0.0792663508883319,0.0109761493929732,122947.2487977736
45,0.0010130683578065062,0.0792663508883319,0.0109761493929732,110923.54951168028
46,0.0010665624229918512,0.0792663508883319,0.0109761493929732,100075.71502126801
47,0.0011228811889863809,0.0792663508883319,0.0109761493929732,90288.75093214717
48,0.0011821738113017145,0.0792663508883319,0.0109761493929732,81458.90879486196
49,0.0012445973214576405,0.0792663508883319,0.0109761493929732,73492.58630104153
50,0.001310317042866883,0.0792663508883319,0.0109761493929732,66305.33503552072
51,0.0013795070286802367,0.0792663508883319,0.0109761493929732,59820.96526593149
52,0.0014523505227516985,0.0792663508883319,0.0109761493929732,53970.73827992418
53,0.0015290404449443825,0.0792663508883319,0.0109761493929732,48692.63770825131
54,0.0016097799020625449,0.0792663508883319,0.0109761493929732,43930.71210924028
55,0.0016947827257628582,0.0792663508883319,0.0109761493929732,39634.481845607894
56,0.0017842740388695608,0.0792663508883319,0.0109761493929732,35758.40396610801
57,0.0018784908515933076,0.0792663508883319,0.0109761493929732,32261.38941939553
58,0.001977682689232759,0.0792663508883319,0.0109761493929732,29106.367482246966
59,0.002082112253021341,0.0792663508883319,0.0109761493929732,26259.892784780684
60,0.002192056115869343,0.0792663508883319,0.0109761493929732,23691.7907668789
61,0.002307805454844005,0.0792663508883319,0.0109761493929732,21374.83780740874
62,0.0024296668223274635,0.0792663508883319,0.0109761493929732,19284.472635396
63,0.002557962957894934,0.0792663508883319,0.0109761493929732,17398.53596391387
64,0.002693033643063316,0.0792663508883319,0.0109761493929732,15697.035586629825
65,0.0028352366011739397,0.0792663508883319,0.0109761493929732,14161.934446874973
66,0.0029849484447927324,0.0792663508883319,0.0109761493929732,12776.95943262419
67,0.0031425656731369016,0.0792663508883319,0.0109761493929732,11527.42887048459
68,0.0033085057221697283,0.0792663508883319,0.0109761493929732,10400.096890011664
69,0.0034832080701445944,0.0792663508883319,0.0109761493929732,9383.013008509106
70,0.0036671354015261393,0.0792663508883319,0.0109761493929732,8465.395447816532
71,0.003860774832371139,0.0792663508883319,0.0109761493929732,7637.516840156863
