ma_GeV,cl+gg0,cl-gg0
0.2,103.3822097555054,119.18701403363623
0.2052794871873196,111.51697379143158,118.63530201994095
0.2105933653070195,129.10694129908953,114.9831641955298
0.215941459070314,6456.562745985018,5010.720960990887
0.2213233174315702,6980.925050767657,6145.427110770776
0.2267391253013191,6936.968332544898,6839.001786714077
0.2321881096105845,6372.8611125786065,6962.822845781163
0.2376708272357529,5576.336172297319,6693.045946849325
0.2431863631937064,4957.132800237481,6487.6614222021435
0.2487352681588697,4364.88099207182,6188.9859651137585
0.2543168914008416,4176.4373521772295,6379.67008016219
0.259931336875349,4467.5087583697705,7315.515734476015
0.2655784342705301,4346.816040534199,7596.506754319219
0.2712578420001701,4405.056782268503,8183.269293527892
0.2769698663643716,4276.674970110515,8414.913917556134
0.2827138521017805,4120.458848451529,8559.132066902419
0.288490318279412,3616.6912016481283,7907.35752636523
0.2942987868995807,3085.289097170739,7080.258637192376
0.3001392687689305,2781.6082650173676,6682.998055215101
0.3060118174036068,2670.4786568657487,6701.250643646865
0.3119159420283871,2705.0106431093946,7074.016955343174
0.3178522196836809,2861.00499061316,7781.268675788829
0.3238201719618783,2934.0755028771314,8283.191850278003
0.3298198789149461,3031.065670906507,8866.008597031678
0.3358514020824145,2932.4868193583106,8872.251664723497
0.3419143349704604,2712.4628881012927,8474.749081925467
0.3480091927660733,2640.206836815973,8505.63514252448
0.3541356492958687,2537.6664266307853,8417.530703405499
0.3602936500031584,2543.001280322003,8673.348057688338
0.366483453725636,2730.305660416211,9562.7166274198
0.3727047417368549,2793.6969830837525,10035.680390614307
0.3789577564916602,2852.3346402431657,10496.878315762755
0.3852424994041307,2881.00183817179,10849.62709130292
0.3915587024876618,2776.870750143526,10690.075145530936
0.3979068154591673,2623.0070757119015,10312.003676802837
0.4042866677437081,2396.5562029240136,9612.461680552047
0.4106981024685996,2179.0479251537176,8908.840671428361
0.4171415673241579,2045.1484744310694,8515.486066959007
0.4236168594527502,2088.815387464204,8850.23023672157
0.4301239345569521,2166.7824457130273,9334.599574051694
0.4366631584585823,2362.120117191486,10339.03543951578
0.4432343669254205,2563.73786692213,11392.933333667104
0.4498375630477181,2824.324711580086,12733.875184307488
0.4564730933052801,3083.8862732559364,14097.496418737292
0.4631408285932124,3382.588393044708,15668.107448464465
0.4698407613126311,3469.031081043273,16271.865236878135
0.4765732744422682,3414.532588715435,16209.583599281312
0.4833382710930434,3269.6112030544436,15700.323028517236
0.4901356806433339,2914.1640457230856,14147.153205073373
0.496965972994208,2465.500077778502,12094.378049079123
0.5038290810201526,2158.1880926874496,10692.554426215236
0.5107249514809018,1847.8357989651254,9242.050507314556
0.5176539316958991,1698.6284257603143,8572.826033897652
0.5246161096649703,1543.115585618848,7855.264648221372
0.5316114588227593,1485.9286616834706,7626.423463412984
0.5386401403041303,1526.3521348330808,7895.318699266926
0.5457024482874725,1656.2609257097401,8631.261499943641
0.5527983812281111,1809.1421868662321,9494.983508310386
0.5599279491870531,2046.536109684935,10813.56312188903
0.5670915430329467,2156.7998452276097,11469.524212698529
0.5742892579618577,2176.7271186471166,11646.351910013578
0.5815211269299079,2305.6075503031916,12407.707642557676
0.5887872534390974,2370.976237243252,12830.067680644832
0.5960880371405544,2334.581963880952,12699.513649937891
0.6034235326886487,2307.859406002436,12616.79721688572
0.6107938047828881,2167.874982023487,11907.652744987152
0.6181990283168017,2020.1935925748198,11146.332204130145
0.6256395582691286,2071.799776951115,11479.769471752312
0.6331154794777878,2053.9616525907277,11426.877821208036
0.6406268861035664,1891.4796412793062,10563.169330664454
0.6481739367188463,1748.0523745446887,9797.507289805691
0.6557570272864002,1645.5059218163096,9254.312262923439
0.6633762707767018,1663.4226374194411,9385.324413482602
0.671031788881734,1788.3278349378766,10120.863393282834
0.6787237118309519,2003.488950222525,11371.19409573565
0.6864524177931111,2233.677450053425,12712.070999858586
0.6942181150687838,2215.543520363393,12641.069537181662
0.7020209512138629,2283.750245867226,13061.515472756002
0.7098610818400003,2093.9741654442455,12003.119177333481
0.7177386828131096,2141.1780574748914,12299.639558474399
0.7256541853221529,2149.574555013542,12372.297396767153
0.7336077613169282,2156.431114199409,12434.70350910667
0.7415995903833253,1989.4714550745202,11491.734063126962
0.7496298596168256,1970.4694195392483,11400.232411570983
0.7576987635023223,1805.4004500995488,10460.775728782077
0.7658067042078298,1673.3279470213345,9708.89734911842
0.7739539214098047,1460.9858887410617,8487.648793296252
0.7821406245460641,1331.2818428135713,7743.187003109805
0.7903670301002937,1297.1825537440745,7552.952201402892
0.7986333615002255,1240.0898324583934,7227.595862599437
0.8069398490199101,1284.177864644646,7491.205629883386
0.8152869238264923,1425.8808471883808,8324.494232037221
0.8236748275801345,1587.6865635708527,9275.795502940695
0.8321038042883343,1833.7334618684147,10720.11503899104
0.8405741045081818,1959.809543747096,11463.581478073887
0.8490859852601635,2106.511854780146,12327.676080082721
0.8576397099445853,2073.2893058542786,12138.273104829977
0.8662355557326019,1874.977536810841,10981.02154703662
0.8748739456942071,1715.0762101205426,10047.334572714675
0.8835551558404131,1680.4674270096689,9846.694114380567
0.8922794682930469,1520.312784326598,8909.62338561848
0.9010471712081528,1493.4632816007654,8753.084175335185
0.9098585587010156,1522.4404156558223,8923.229038297448
0.9187139307726384,1592.334916651308,9332.698530478547
0.9276135932375206,1510.938671148079,8854.977875470435
0.9365578576525884,1530.8385061737868,8970.47397575542
0.9455470412471508,1396.0301267890159,8179.0805162131555
0.9545815609016404,1257.381953404012,7365.116790354059
0.9636617459529508,1205.2296751150534,7057.724388377979
