m_a	UL_BF	UL_gagg
0.831	2.95795e-07	0.000688568
0.834	3.82942e-07	0.000784121
0.837	4.96311e-07	0.000893431
0.84	6.10486e-07	0.000991724
0.843	6.85914e-07	0.0010521
0.846	7.00938e-07	0.00106447
0.849	6.60765e-07	0.00103441
0.852	5.78993e-07	0.000969125
0.855	4.97943e-07	0.000899517
0.858	4.34651e-07	0.000841139
0.861	4.16392e-07	0.000824002
0.864	4.26746e-07	0.000834916
0.867	4.79773e-07	0.00088605
0.87	5.5891e-07	0.000957184
0.873	6.64591e-07	0.00104469
0.876	7.74316e-07	0.00112864
0.879	8.76971e-07	0.00120221
0.882	9.5999e-07	0.00125895
0.885	1.02267e-06	0.00130058
0.888	1.06176e-06	0.00132641
0.891	1.04633e-06	0.00131793
0.894	9.80887e-07	0.00127721
0.897	8.77756e-07	0.00120931
0.9	7.53128e-07	0.00112121
1.011	6.44167e-07	0.00107567
1.014	6.21444e-07	0.00105766
1.017	5.83778e-07	0.0010262
1.02	5.41688e-07	0.000989571
1.023	4.95929e-07	0.00094787
1.026	4.43999e-07	0.00089784
1.029	4.03365e-07	0.000856698
1.032	3.82767e-07	0.000835445
1.035	3.76665e-07	0.000829664
1.038	3.93158e-07	0.000848563
1.041	4.03281e-07	0.000860362
1.044	4.20058e-07	0.000879046
1.047	4.13516e-07	0.000873141
1.05	4.19233e-07	0.000880132
1.053	4.22732e-07	0.000884784
1.056	4.53731e-07	0.000917677
1.059	4.8561e-07	0.000950435
1.062	5.28778e-07	0.000992898
1.065	5.6096e-07	0.00102382
1.068	5.72403e-07	0.00103539
1.071	5.5913e-07	0.00102448
1.074	5.28845e-07	0.00099749
1.077	5.06371e-07	0.000977185
1.08	4.8025e-07	0.000952744
1.083	4.67814e-07	0.000941415
1.086	4.5008e-07	0.000924471
1.089	4.57921e-07	0.000933575
1.092	4.62977e-07	0.000939812
1.095	4.87769e-07	0.000965778
1.098	5.23145e-07	0.00100136
1.101	5.80166e-07	0.00105577
1.104	6.48908e-07	0.00111789
1.107	7.19033e-07	0.00117815
1.11	7.78247e-07	0.00122716
1.113	8.09994e-07	0.00125344
1.116	8.05131e-07	0.00125117
1.119	7.50974e-07	0.00120982
1.122	6.71811e-07	0.00114566
1.125	5.85413e-07	0.00107076
1.128	5.18213e-07	0.00100866
1.131	4.64603e-07	0.000956228
1.134	4.41209e-07	0.000932987
1.137	4.29835e-07	0.000922016
1.14	4.31283e-07	0.00092471
1.143	4.37791e-07	0.000932816
1.146	4.46289e-07	0.000942998
1.149	4.61214e-07	0.000959834
1.152	4.65584e-07	0.000965579
1.155	4.81314e-07	0.000982989
1.158	4.97957e-07	0.0010011
1.161	5.4749e-07	0.00105104
1.164	6.10822e-07	0.00111158
1.167	6.99777e-07	0.00119129
1.17	7.93165e-07	0.00126991
1.173	8.8926e-07	0.00134637
1.176	9.76495e-07	0.00141268
1.179	1.04911e-06	0.00146616
1.182	1.10089e-06	0.00150385
1.185	1.12799e-06	0.00152422
1.188	1.12671e-06	0.00152535
1.191	1.09077e-06	0.00150279
1.194	1.02741e-06	0.0014604
1.197	9.46118e-07	0.00140329
1.2	1.1974e-06	0.00158077
1.204	1.09051e-06	0.00151124
1.208	1.02767e-06	0.00146966
1.212	9.32627e-07	0.00140256
1.216	7.87468e-07	0.00129111
1.22	6.72604e-07	0.00119539
1.224	5.96896e-07	0.00112814
1.228	5.95512e-07	0.00112889
1.232	6.08475e-07	0.00114319
1.236	6.16173e-07	0.00115252
1.24	6.13416e-07	0.00115206
1.244	5.9849e-07	0.00114006
1.248	5.81928e-07	0.00112627
1.252	5.45041e-07	0.00109203
1.256	5.17106e-07	0.00106567
1.26	5.19088e-07	0.00106973
1.264	5.16154e-07	0.00106872
1.268	5.28788e-07	0.00108378
1.272	5.13059e-07	0.00106958
1.276	4.56012e-07	0.0010103
1.28	3.77259e-07	0.000920705
1.284	3.58587e-07	0.000899371
1.288	3.25688e-07	0.00085879
1.292	3.37693e-07	0.000876184
1.296	3.29177e-07	0.000866764
1.3	3.3879e-07	0.000881062
1.304	4.02244e-07	0.000961934
1.308	5.33813e-07	0.00111035
1.312	6.44173e-07	0.00122217
1.316	7.56821e-07	0.00132739
1.32	8.02088e-07	0.00136926
1.324	7.93662e-07	0.00136481
1.328	7.09679e-07	0.00129321
1.332	6.24515e-07	0.00121561
1.336	5.07411e-07	0.00109798
1.34	4.89274e-07	0.00108039
1.344	5.28403e-07	0.00112509
1.348	5.80638e-07	0.00118184
1.352	6.45326e-07	0.00124854
1.356	6.61407e-07	0.00126665
1.36	6.765e-07	0.00128371
1.364	7.27296e-07	0.00133385
1.368	7.68224e-07	0.00137378
1.372	7.96227e-07	0.00140158
1.376	8.47313e-07	0.00144894
1.38	9.43263e-07	0.00153207
1.384	1.1008e-06	0.00165865
1.388	1.1719e-06	0.00171509
1.392	1.18175e-06	0.00172603
1.396	1.10239e-06	0.00167073
1.4	1.01902e-06	0.00160984
1.404	9.56566e-07	0.00156317
1.408	8.78121e-07	0.00150103
1.412	7.70653e-07	0.00140931
1.416	6.42712e-07	0.0012899
1.42	5.26329e-07	0.00116991
1.424	4.85436e-07	0.00112608
1.428	4.34893e-07	0.00106826
1.432	3.96064e-07	0.00102178
1.436	3.50203e-07	0.000962998
1.44	2.92455e-07	0.000882044
1.444	2.44535e-07	0.000808411
1.448	2.34745e-07	0.000793897
1.452	2.58604e-07	0.000835205
1.456	2.75588e-07	0.000864209
1.46	3.32363e-07	0.00095129
1.464	4.5594e-07	0.00111682
1.468	5.88614e-07	0.00127195
1.472	7.27645e-07	0.00141758
1.476	8.34126e-07	0.00152138
1.48	9.29457e-07	0.00160982
1.484	1.0395e-06	0.00170655
1.488	1.07691e-06	0.00174119
1.492	1.01295e-06	0.00169279
1.496	8.99503e-07	0.00159907
1.5	7.95086e-07	0.00150708
1.504	7.46428e-07	0.00146383
1.508	7.42227e-07	0.00146331
1.512	7.53135e-07	0.00147768
1.516	6.81897e-07	0.00140956
1.52	6.47881e-07	0.00137739
1.524	6.48827e-07	0.00138186
1.528	6.63529e-07	0.00140096
1.532	7.24471e-07	0.0014676
1.536	7.78019e-07	0.00152474
1.54	7.64454e-07	0.00151525
1.544	7.44955e-07	0.00149965
1.548	6.77598e-07	0.00143393
1.552	6.51922e-07	0.00141015
1.556	5.82081e-07	0.00133594
1.56	5.72037e-07	0.00132782
1.564	6.227e-07	0.00138901
1.568	6.68715e-07	0.00144321
1.572	7.23167e-07	0.00150479
1.576	7.1772e-07	0.0015031
1.58	7.86572e-07	0.00157775
1.584	8.15229e-07	0.00161054
1.588	8.57099e-07	0.00165583
1.592	8.38351e-07	0.00164205
1.596	7.90988e-07	0.00159932
1.6	7.91872e-07	0.00160458
1.604	8.57253e-07	0.00167409
1.608	8.67842e-07	0.00168903
1.612	8.50798e-07	0.00167698
1.616	7.65594e-07	0.00159521
1.62	6.44768e-07	0.00146801
1.624	5.8209e-07	0.00139874
1.628	5.4299e-07	0.00135475
1.632	5.11225e-07	0.00131824
1.636	4.41821e-07	0.00122897
1.64	4.29625e-07	0.00121534
1.644	4.64819e-07	0.00126776
1.648	5.34526e-07	0.00136341
1.652	6.00902e-07	0.00144976
1.656	6.33874e-07	0.00149332
1.66	6.47715e-07	0.00151393
1.664	7.0285e-07	0.00158166
1.668	7.40742e-07	0.0016285
1.672	7.90455e-07	0.00168723
1.676	8.16531e-07	0.00171991
1.68	8.31957e-07	0.00174125
1.684	8.9749e-07	0.00181393
1.688	9.19623e-07	0.00184168
1.692	9.19947e-07	0.00184756
1.696	9.19016e-07	0.00185222
1.7	8.93781e-07	0.00183216
1.704	8.80531e-07	0.00182409
1.708	8.9124e-07	0.00184078
1.712	8.94963e-07	0.00185031
1.716	8.80743e-07	0.00184123
1.72	8.47225e-07	0.00181147
1.724	9.23971e-07	0.00189765
1.728	1.03734e-06	0.00201701
1.732	1.05921e-06	0.00204458
1.736	1.00596e-06	0.00199883
1.74	8.77965e-07	0.00187328
1.744	8.83385e-07	0.00188505
1.748	8.86259e-07	0.00189417
1.752	8.76814e-07	0.00189012
