ma_GeV,cl_inf,cl_sup
0.0010221000997899,496.4721331571056,6620.562300368439
0.0012221000997899,197.35212987197073,972.3203723931928
0.0014221000997899,197.33417708659715,800.4061502431161
0.0016221000997899,198.01726605952493,709.1810366648118
0.0018221000997899,197.11442547038075,648.0526642409669
0.00202210009979,198.1066000460389,602.5693713596945
0.00222210009979,198.25478378604018,566.6367743206982
0.00242210009979,198.44564096768477,537.1233049142573
0.0026221000997899,198.28332870320907,512.2103658183291
0.00282210009979,199.05267142165707,490.7495413416126
0.00302210009979,199.02807433153563,471.969942158277
0.00322210009979,199.62624280814495,455.3294503478809
0.00342210009979,199.19795271292665,440.4326081339828
0.00362210009979,199.21809187372486,426.98228513095944
0.0038221000997899,199.6266585172377,414.749723234749
0.00402210009979,200.37745688987334,403.55516905362884
0.00422210009979,199.8735034459846,393.2549011011995
0.00442210009979,278.94258152235454,383.7322758177915
0.00462210009979,179.04389449655616,374.89138620175197
0.00482210009979,179.24366000720502,366.65246920299666
0.00502210009979,179.6207410787246,358.94851382896724
0.00522210009979,180.16062219585424,351.7227123229556
0.00542210009979,180.8511085977872,344.9265151541218
0.00562210009979,180.27407655275707,338.5181261777005
0.00582210009979,181.2289675575994,332.46132380894096
0.00602210009979,180.89434120969096,326.72452714599586
0.00622210009979,180.66904825452752,321.2800485423549
0.00642210009979,181.9551807510556,316.1034897915962
0.00662210009979,181.92573906086318,311.17325013461596
0.00682210009979,181.98550165387562,306.4701222074958
0.00702210009979,182.12904526174813,301.9769577859827
0.00722210009979,182.35155428940695,297.6783893979409
0.00742210009979,182.6487402436999,293.56059700789734
0.00762210009979,183.0167739867787,289.61111133095284
0.00782210009979,183.45222845994942,285.81864711851205
0.00802210009979,183.9520300109147,282.17296112513867
0.00822210009979,184.5134168328823,278.6647305214858
0.00842210009979,185.13390331586112,275.2854483401384
0.00862210009979,184.37143038339477,272.02733318598376
0.00882210009979,185.0979411885157,268.8832509521637
0.00902210009979,185.8770542430904,265.84664668788514
0.00922210009979,186.7071328065265,262.9114850887404
0.00942210009979,186.13312055267485,260.0721983413971
0.00962210009979,187.05364397501953,257.3236402660624
0.00982210009979,186.56380179740904,254.66104587236663
0.01002210009979,187.56854268931372,252.0799955852666
0.01022210009979,187.15588478289988,249.57638351348672
0.01042210009979,188.23961530432788,247.14638922877555
0.01062210009979,189.3655145040417,244.78645260371724
0.01082210009979,189.05647164995716,242.4932513220506
0.01102210009979,188.7810495427298,240.26368073084006
0.01122210009979,190.01023834956627,238.0948357503627
0.01142210009979,189.79639262971008,235.98399459678748
0.0116221000997899,191.09331369822922,233.92860410588898
0.01182210009979,190.93716825603693,231.92626647417902
0.01202210009979,190.8090772898572,229.97472725783433
0.0122221000997899,192.19734701466433,228.07186449021282
0.01242210009979,192.1218483579838,226.2156787963493
0.01262210009979,192.07178690863003,224.4042843978549
0.0128221000997899,193.54608303038538,222.63590091459963
0.01302210009979,193.54442865772484,220.90884588081678
0.01322210009979,177.69163525870093,219.2215279029482
0.01342210009979,153.31224951526949,217.57244039495458
0.01362210009979,154.56222532365658,215.96015583420066
0.01382210009979,154.631903253694,214.38332048737522
0.01402210009979,154.71807815763714,212.84064956151946
0.01422210009979,154.82030339070224,211.3309227401309
0.01442210009979,156.14812099266493,209.85298006860933
0.01462210009979,156.28224123777727,208.40571815709487
0.01482210009979,156.43132665638734,206.98808667208158
0.01502210009979,156.59501563120944,205.59908509113527
0.01522210009979,156.77296537592792,204.2377596976474
0.01542210009979,156.96485080912228,202.9032007948664
0.0156221000997899,158.3977601203312,201.5945401204974
0.01582210009979,158.6183164132256,200.310948444979
0.01602210009979,158.85203127259226,199.05163333818675
0.01622210009979,159.098638655544,197.81583709072567
0.01642210009979,159.35788579825592,196.6028347773144
0.01662210009979,159.62953248466707,195.41193245088334
0.01682210009979,159.91335036462002,194.2424654570679
0.01702210009979,160.20912231754764,193.0937968597029
0.01722210009979,160.51664185816682,191.9653159687625
0.01742210009979,162.0917331435272,190.85643696294346
0.01762210009979,162.4247486823249,189.76659759976883
0.01782210009979,162.7690381455494,188.6952580067017
0.01802210009979,163.1244310579281,187.6418995473122
0.01822210009979,163.49076519838326,186.6060237570416
0.01842210009979,163.8678861958516,185.58715134356106
0.01862210009979,164.25564714977762,184.58482124713302
0.01882210009979,164.6539082735308,183.59858975675772
0.01902210009979,165.06253655913818,182.62802967822458
0.01922210009979,165.48140546185235,181.67272955049896
0.01942210009979,165.91039460319337,180.7322929071533
0.01962210009979,166.34938949120817,179.80633757980974
0.01982210009979,166.79828125679043,178.89449504079417
0.02002210009979,167.25696640499137,177.99640978241487
0.02022210009979,167.7253465803339,177.111738730475
0.02042210009979,168.2033283452167,176.24015068980557
0.02062210009979,168.69082297056343,175.38132581977075
0.02082210009979,169.18774623793348,174.53495513784554
0.02102210009979,169.69401825236946,173.70074004950573
0.02122210009979,170.20956326530762,172.8783919027939
0.02142210009979,170.73430950692645,172.06763156604424
0.02162210009979,171.26818902735366,171.26818902735366
