ma_GeV,ctau_Blnua,ctau_Dlnua,ctau_Dslnua
0.001,2513.365256137426,768.2824663552061,1188.2257626089822
0.001086089179525511,2513.365734988239,768.2838589965515,1188.2276304653287
0.0011795897058823985,2513.366293736,768.285480174036,1188.2298052024219
0.0012811396158385528,2513.366945633988,768.2873670585816,1188.232336804361
0.001391431874223722,2513.3677061189355,768.2895628018322,1188.2352833114812
0.0015112191026412877,2513.368593167834,768.2921174856397,1188.2387121021004
0.001641318715270955,2513.369627712484,768.2950892197604,1188.2427013748827
0.0017826184968084988,2513.3708341210086,768.298545410391,1188.2473418625693
0.001936082660605742,2513.372240757029,768.302564225534,1188.2527388123976
0.0021027584283508584,2513.3738806288584,768.3072362870148,1188.2590142737774
0.002283783176187939,2513.3757921430138,768.3126666233526,1188.2663097397724
0.002480392196040124,2513.3780199785906,768.3189769226759,1188.2747891957617
0.002693927125098698,2513.380616101595,768.326308130558,1188.2846426364586
0.002925845100999966,2513.383640941329,768.3348234441328,1188.2960901213223
0.003177728705163789,2513.3871647543106,768.3447117611959,1188.309386448513
0.0034512967621460034,2513.3912692051645,768.3561916513736,1188.3248265390196
0.0037484160686982087,2513.396049198439,768.3695159259242,1188.342751635648
0.004071114132572678,2513.4016150005036,768.3849768934972,1188.3635564363522
0.004421593008000572,2513.4080946966615,768.4029124013622,1188.387697298192
0.004802244322255082,2513.415637035483,768.4237127753994,1188.4157016672068
0.005215665595839065,2513.42441472023,768.4478287877292,1188.4481789110066
0.0056646779676642845,2513.43462821628,768.4757807984383,1188.4858327551817
0.0061523454461767475,2513.4465101538167,768.5081692377073,1188.5294755520936
0.006681995817795616,2513.460330416888,768.545686616997,1188.5800446415458
0.007257243355342537,2513.476402023521,768.589131283133,1188.6386210977453
0.007882013481420948,2513.4950879170597,768.6394231574543,1188.7064511962353
0.008560569555045494,2513.516808806641,768.6976217340621,1188.7849709787095
0.009297541964310437,2513.542052214924,768.7649466470356,1188.8758343433449
0.01009795972362193,2513.571382914263,768.8428011567639,1188.9809451442275
0.0109672847911102,2513.6054549588257,768.9327989508529,1189.1024938463288
0.011911449340399498,2513.645025550068,769.0367947060477,1189.2429993532392
0.012936896241074178,2513.69097100706,769.1569189150468,1189.4053567044818
0.014050623024074928,2513.744305151896,769.2956175468861,1189.592891428956
0.015260229632039797,2513.8062004643753,769.4556971828416,1189.8094214423068
0.016573970280432993,2513.878012410129,769.6403763528886,1190.0593274905661
0.01800080978335568,2513.9613074029367,769.8533438922792,1190.3476332723096
0.01955048472839957,2514.057894926222,770.0988252458293,1190.6800965194784
0.02123356991799353,2514.1698644113826,770.381657771551,1191.0633124860885
0.02306155053063116,2514.2996275529467,770.7073762385426,1191.5048314883165
0.025046900494399317,2514.449966833695,771.0823098805746,1192.0132923639735
0.02720316760761928,2514.624091138285,771.5136925617602,1192.5985739805087
0.02954506598745418,2514.825699453189,772.0097878405594,1193.2719672265691
0.0320885764773412,2515.0590537856856,772.580030991568,1194.046370283091
0.034851055698417135,2515.3290625875006,773.2351903717645,1194.9365103991793
0.037851354489091764,2515.6413761418175,773.9875509129107,1195.9591959125669
0.04110994654098694,2516.0024955688955,774.8511230023122,1197.133602876006
0.04464906810903814,2516.419897328857,775.8418806029086,1198.4816014075316
0.04849286974912391,2516.902175354567,776.9780331900372,1200.0281278101354
0.05266758111866345,2517.4592032381424,778.2803369841284,1201.80160965148
0.057201689964762506,2518.102319227629,779.7724520851352,1203.8344524169083
0.062126136521301584,2518.8445371736525,781.4813535294606,1206.1635981269053
0.06747452464151035,2519.7007870089,783.437806076624,1208.8311685444003
0.07328335110677184,2520.688188858251,785.676914799695,1211.8852084196199
0.07959225467643381,2521.8263654794164,788.2387664437374,1215.3805478031672
0.08644428657811354,2523.137798442318,791.1691802195224,1219.379807028789
0.09388620428429152,2524.6482342946665,794.5205914678388,1223.9545738267504
0.10196879057989067,2526.3871479625113,798.3530978012827,1229.1867895778885
0.1107472000981221,2528.3882718381515,802.7357053631503,1235.1703914958234
0.12028133568931713,2530.690200465156,807.7478233613283,1242.0132702595226
0.130636257191043,2533.3370825078373,813.4810688982811,1249.8396193059075
0.14188262538890364,2536.379413876223,820.0414625209264,1258.7927740042555
0.15409718419755977,2539.8749485785506,827.5521195336387,1269.0386681796822
0.1673632843523192,2543.889747236167,836.156575334284,1280.770074615449
0.18177145218490534,2548.499387408907,846.022928263682,1294.2118490566486
0.19742000736466445,2553.790365189215,857.3490456653868,1309.6274693413438
0.21441573382060874,2559.8617242546898,870.3691653329082,1327.3272605705265
0.2328746084225855,2566.826957149742,885.3623461514055,1347.6788354353278
0.2529225923940105,2574.816234566713,902.6633949601876,1371.1204734735786
0.2746964908566761,2583.9790325758136,922.6771466996646,1398.1784406629602
0.2983448863730646,2594.4872461361465,945.8973411127861,1429.4896521711219
0.32402915285655354,2606.5389011965503,972.9318841107056,1465.8316700341188
0.3519245567683209,2620.36260916697,1004.5371064377917,1508.1629054517646
0.38222145311538475,2636.222949134148,1041.6649033632932,1557.6772267437123
0.41512658441113676,2654.4270185700675,1085.5286386387172,1615.879231112085
0.45086449146231966,2675.33246759308,1137.69691177024,1684.6896824067949
0.4896790456094975,2699.357432429921,1200.2295874023414,1766.5958488730532
0.5318351128768544,2726.992921162622,1275.8794590535103,1864.870123325876
0.5776203613872808,2758.8183945373244,1368.3985777275373,1983.8950014748402
0.6273472243763408,2795.5215493165706,1483.0165378666677,2129.658231114364
0.6813550322005065,2837.9236854353153,1627.2110090810952,2310.5285982641767
