ma_GeV,cl_pieee,cl_Keee,cl_Kmuee,cl_Kemumu,cl_Kmumumu,cl_Bmumumu
0.0021027584283508584,6.503344616126492,2.8685638113645453,2.7169522872589127,inf,inf,inf
0.002283783176187939,6.504401814862471,2.8686011831079714,2.7170663672472526,inf,inf,inf
0.002480392196040124,6.505648382378439,2.8686452638719566,2.7171987619375964,inf,inf,inf
0.002693927125098698,6.507118177859449,2.868697257652688,2.717352372632342,inf,inf,inf
0.002925845100999966,6.50885109798464,2.8687585843746803,2.717530552829714,inf,inf,inf
0.003177728705163789,6.510894149790884,2.8688309185699854,2.7177371773335177,inf,inf,inf
0.0034512967621460034,6.513302713766423,2.8689162349713864,2.7179767216870987,inf,inf,inf
0.0037484160686982087,6.5161420311117215,2.86901686225104,2.718254353438133,inf,inf,inf
0.004071114132572678,6.519488955369123,2.869135546354158,2.718576036957563,inf,inf,inf
0.004421593008000572,6.5234340161661635,2.869275525133771,2.7189486537845053,inf,inf,inf
0.004802244322255082,6.528083851957464,2.869440616294114,2.7193801407544913,inf,inf,inf
0.005215665595839065,6.5335640798048065,2.8696353210045795,2.719879648497237,inf,inf,inf
0.0056646779676642845,6.540022683958911,2.86986494596282,2.7204577232698797,inf,inf,inf
0.0061523454461767475,6.547634022042417,2.8701357471753144,2.7211265155314854,inf,inf,inf
0.006681995817795616,6.556603568985539,2.87045509929963,2.7219000191761697,inf,inf,inf
0.007257243355342537,6.567173545899801,2.8708316950699637,2.7227943459394326,inf,inf,inf
0.007882013481420948,6.579629615663738,2.8712757801248636,2.7238280401930384,inf,inf,inf
0.008560569555045494,6.594308871720284,2.8717994294951543,2.7250224401701573,inf,inf,inf
0.009297541964310437,6.611609405034287,2.8724168731177877,2.726402092642561,inf,inf,inf
0.01009795972362193,6.632001811338901,2.8731448790498377,2.727995229241026,inf,inf,inf
0.0109672847911102,6.656043103756038,2.8740032046058976,2.729834314014189,inf,inf,inf
0.011911449340399498,6.684393634588764,2.875015127480934,2.7319566735180887,inf,inf,inf
0.012936896241074178,6.717837818808601,2.876208071110839,2.7344052227935167,inf,inf,inf
0.014050623024074928,6.757309711049729,2.877614341142538,2.737229303117889,inf,inf,inf
0.015260229632039797,6.8039248477132235,2.879271993034645,2.7404856505383965,inf,inf,inf
0.016573970280432993,6.859020270200618,2.881225854617893,2.7442395180675634,inf,inf,inf
0.01800080978335568,6.924205360217282,2.883528732081797,2.748565979265608,inf,inf,inf
0.01955048472839957,7.001427143298438,2.886242833544891,2.753551447028285,inf,inf,inf
0.02123356991799353,7.093055205746579,2.889441451410951,2.7592954491173614,inf,inf,inf
0.02306155053063116,7.201993563317277,2.8932109535174773,2.7659127118093325,inf,inf,inf
0.025046900494399317,7.331830100323813,2.8976531441952806,2.773535615659712,inf,inf,inf
0.02720316760761928,7.487039188357908,2.902888070531237,2.7823171036778853,inf,inf,inf
0.02954506598745418,7.673260829899605,2.9090573673956306,2.792434143391575,inf,inf,inf
0.0320885764773412,7.897691915211187,2.9163282585956267,2.8040918720044363,inf,inf,inf
0.034851055698417135,8.169645005843575,2.924898362847656,2.817528590394374,inf,inf,inf
0.037851354489091764,8.501362985328688,2.9350014949315066,2.833021820233582,inf,inf,inf
0.04110994654098694,8.909234172437158,2.9469147083664358,2.8508957034845586,inf,inf,inf
0.04464906810903814,9.41565168253238,2.960966901889252,2.8715301112545704,inf,inf,inf
0.04849286974912391,10.051942038009805,2.9775494160448197,2.8953719485337857,inf,inf,inf
0.05266758111866345,10.863132698083826,2.9971291901237205,2.922949305851246,inf,inf,inf
0.057201689964762506,11.916014633950935,3.0202652508326637,2.954889337690482,inf,inf,inf
0.062126136521301584,13.31339805663386,3.0476295882364877,2.991941069413789,inf,inf,inf
0.06747452464151035,15.220683544351981,3.080033880536562,3.035004792974631,inf,inf,inf
0.07328335110677184,17.918635434077885,3.1184641166682523,3.0851703736374305,inf,inf,inf
0.07959225467643381,21.916705893342986,3.164126027177194,3.1437677594525733,inf,inf,inf
0.08644428657811354,28.22156367812798,3.2185055162711995,3.2124344277643697,inf,inf,inf
0.09388620428429152,39.060671819141916,3.283450228800203,3.293206686277009,inf,inf,inf
0.10196879057989067,60.20753364067074,3.361281377214536,3.3886451125674673,inf,inf,inf
0.1107472000981221,110.6704150750522,3.4549496574778664,3.5020097132457186,inf,inf,inf
0.12028133568931713,285.12580093380495,3.568256646272456,3.6375089081338823,inf,inf,inf
0.130636257191043,1839.9960500206569,3.706175535859964,3.8006605037255006,inf,inf,inf
0.14188262538890364,,3.8753261723341796,3.9988266497915554,inf,inf,inf
0.15409718419755977,,4.084696221915415,4.24202641380252,inf,inf,inf
0.1673632843523192,,4.346766891671572,4.544204905952654,inf,inf,inf
0.18177145218490534,,4.679326729897528,4.925279423128574,inf,inf,inf
0.19742000736466445,,5.108502625311322,5.414561141759155,inf,inf,inf
0.21441573382060874,,482.88063383602565,515.4481201688509,8.972071466164078,69.65927872260262,99.12276179294348
0.2328746084225855,,863.0543102407543,927.8945264001899,10.181255784099834,79.61646897028884,99.23562271993654
0.2529225923940105,,1150.8711903731876,1246.315749152901,11.872441035174333,93.51525510301514,99.3726992045935
0.2746964908566761,,1499.0122677646814,1635.1529044024555,14.340841436323736,113.78077669883429,99.5346032111659
0.2983448863730646,,1994.6389203598378,2191.620903686568,18.154328357910902,145.08496474025821,99.72545735926191
0.32402915285655354,,2792.210762342997,3090.1438738483885,24.523383801970887,197.40219418642334,99.9503327317694
0.3519245567683209,,4259.227414528186,4747.419538616899,36.42261741534527,295.28338639361806,100.21526571261693
0.38222145311538475,,7504.115145468169,8423.16848029363,62.8633829636705,513.2332965660142,100.52740763144867
0.41512658441113676,,17273.79495644674,19523.272002590482,142.37791448521205,1170.4383661118884,100.89522857701263
0.45086449146231966,,75220.11295925618,85588.39231220342,612.0064996155407,5064.983080853413,101.3287716441882
0.4896790456094975,,26840973.444075417,30740506.68366457,216104.49852198196,1800187.0934969382,101.83996660087747
0.5318351128768544,,,,,,102.44301804074533
0.5776203613872808,,,,,,103.15488917088472
0.6273472243763408,,,,,,103.99591027088947
0.6813550322005065,,,,,,104.9905518283041
0.740012327888227,,,,,,106.16841800551573
0.8037193820348878,,,,,,107.56553879174244
0.8729109242030219,,,,,,109.22607261373328
0.9480591094665164,,,,,,111.2045811645449
1.0296767403421752,,,,,,113.56911426316424
