ma_GeV,gee
0.0010185664041437888,7.611696816847942e-05
0.001024831494419289,7.611696816847942e-05
0.0010311351205781636,7.611696816847942e-05
0.001037477519650408,7.611696816847942e-05
0.0010438589301239606,7.547059566968912e-05
0.0010502795919536722,7.547059566968912e-05
0.001056739746570333,7.547059566968912e-05
0.001063239636889744,7.419427072122865e-05
0.0010697795073218576,7.049334974921203e-05
0.001076359603779963,6.812920690579608e-05
0.001082980173689934,6.528521141127847e-05
0.0010896414659995384,6.363612169654031e-05
0.001096343731187789,6.150195042752208e-05
0.001103087221274372,5.994842503189409e-05
0.0011098721898291164,5.843414133735175e-05
0.0011166988919815307,5.6958108107376864e-05
0.0011235675844303997,5.599485806609301e-05
0.0011304785254534343,5.458044058135366e-05
0.0011374319749169809,5.3657400589502594e-05
0.0011444281942857952,5.230202675339294e-05
0.0011514674466328774,5.1417518276839176e-05
0.0011585499966493562,5.0547968211912455e-05
0.0011656761106544516,4.9693123588647325e-05
0.0011728460566054798,4.885273571519382e-05
0.0011800601041079333,4.802656010546725e-05
0.001187318524425622,4.7214356408021645e-05
0.0011946215904908648,4.6813420029910966e-05
0.0012019695769147627,4.602173241466502e-05
0.001209362759997515,4.524343346616739e-05
0.001216801417738814,4.44782967612763e-05
0.001224285829848301,4.410059454176732e-05
0.0012318162777560755,4.335478501746014e-05
0.001239393044623288,4.262158829015325e-05
0.0012470164153527783,4.2259652926877275e-05
0.0012546866765997923,4.154497658352479e-05
0.0012624041167827648,4.119218362588826e-05
0.0012701690260941555,4.049555984576888e-05
0.0012779816965113714,4.0151678358667465e-05
0.0012858424218077365,3.947265113810581e-05
0.0012937514975635423,3.913745601980384e-05
0.001301709221177165,3.880510732210179e-05
0.0013097158918762457,3.8148852708455354e-05
0.001317771810728939,3.7824899063893825e-05
0.0013258772806552367,3.718522129376553e-05
0.0013340326064383628,3.6869450645195736e-05
0.0013422380947362234,3.6556361467894144e-05
0.0013504940540929496,3.6245930991257335e-05
0.0013588007949504894,3.563295602274397e-05
0.0013671586296602851,3.5330366949927294e-05
0.0013755678724950231,3.503034741265335e-05
0.0013840288396604402,3.44379298497698e-05
0.0013925418493072265,3.414548873833601e-05
0.0014011072215429773,3.3855530987662565e-05
0.001409725278444235,3.35680355094672e-05
0.0014183963440686034,3.32829813945462e-05
0.001427120744466924,3.300034791125288e-05
0.0014358988076955458,3.24422607917163e-05
0.0014447308638286538,3.2166766566461055e-05
0.0014536172449706815,3.189361179185743e-05
0.0014625582852688058,3.1622776601683795e-05
0.0014715543209255,3.1354241298418954e-05
0.001480605690211188,3.0045385302046932e-05
0.0014897127334769532,3.0045385302046932e-05
0.0014988757931673415,3.0045385302046932e-05
0.0015080952138332422,3.0045385302046932e-05
0.001517371342144833,2.979024494054672e-05
0.0015267045269046283,2.95372711881085e-05
0.0015360951190605838,2.9286445646252374e-05
0.0015455434717192972,2.9037750072735063e-05
0.00155504994015929,2.879116638022353e-05
0.0015646148818443623,2.854667663497933e-05
0.001574238656437032,2.8304263055554138e-05
0.001583921625812062,2.8063908011496866e-05
0.001593664154070071,2.782559402207126e-05
0.0016034666075512155,2.758930375498436e-05
0.0016133293548489757,2.7122725793320296e-05
0.0016232527668240053,2.7122725793320296e-05
0.0016332372166180814,2.6892404165083182e-05
0.0016432830796681396,2.643761185749101e-05
0.0016533907337203814,2.643761185749101e-05
0.0016635605588444893,2.5990510793930943e-05
0.0016737929374479083,2.57698037451488e-05
0.0016840882542902295,2.555097090352507e-05
0.0016944468964976633,2.555097090352507e-05
0.0017048692535775838,2.533399635360766e-05
0.0017153557174331897,2.5118864315095822e-05
0.0017259066823782274,2.4905559141692314e-05
0.0017365225451518246,2.4694065319965773e-05
0.001747203704933413,2.4484367468222292e-05
0.0017579505633577256,2.4276450335386565e-05
0.0017687635245299143,2.407029879989301e-05
0.0017796429950407318,2.3663232675628405e-05
0.0017905893839818261,2.3663232675628405e-05
0.001801603102961127,2.3462288481422625e-05
0.0018126845661183188,2.3263050671536287e-05
0.0018238341901404107,2.306550475564049e-05
0.0018350523942774072,2.2869636366456056e-05
0.00184633960035808,2.2675431258708044e-05
0.0018576962328058153,2.2675431258708044e-05
0.0018691227186545887,2.248287530808999e-05
0.0018806194875650097,2.2291954510236944e-05
0.001892186971840482,2.21026549797064e-05
0.001903825606443467,2.1728864767405968e-05
0.0019155358290118246,2.1728864767405968e-05
0.0019273180798752843,2.1544346900318823e-05
0.0019391728020719903,2.1361395927942413e-05
0.0019511004413651657,2.117999854447029e-05
0.00196310144625988,2.1000141557086544e-05
0.0019751762680199,2.0821811885006564e-05
0.001987325360684676,2.0644996558525565e-05
0.001999549181086397,2.04696827180752e-05
0.002011848188867178,2.04696827180752e-05
0.0020242228464963483,2.0295857613288523e-05
0.002036673619287827,2.0123508602072574e-05
0.0020492009754176357,1.9952623149688786e-05
0.00206180538594149,1.978318882784162e-05
0.002074487324812518,1.9615193313774528e-05
0.0020872472688990857,1.9448624389373617e-05
0.002100085698002718,1.928346994027928e-05
0.0021130030948761543,1.9119717955005022e-05
0.0021259999452414853,1.8957356524063752e-05
0.0021390767378084274,1.8796373839101864e-05
0.002152233964292699,1.863675819204029e-05
0.0021654721194345095,1.863675819204029e-05
0.002178791701017156,1.8478497974222908e-05
0.002192193209885746,1.8321581675572444e-05
0.0022056771499660375,1.8165997883753286e-05
0.0022192440282833713,1.801173528334133e-05
0.0022328943549817545,1.785878265500127e-05
0.0022466286433430274,1.785878265500127e-05
0.00226044740980617,1.7707128874670513e-05
