ma_GeV,c_g2tau_ATLAS,c_g2tau_BelleII,c_g2tau_CMS24
0.001,0.555493059241047,0.013093096969713496,0.7406574123213959
0.0010718913192051276,0.5552987821194395,0.013088517814042895,0.7403983761592526
0.0011489510001873086,0.5551047316382947,0.013083944000339225,0.7401396421843929
0.0012315506032928262,0.5549109104451684,0.013079375591005984,0.7398812139268912
0.001320088400831418,0.554717321583363,0.013074812657774493,0.739623095444484
0.0014149912974345759,0.5545239685430939,0.013070255282909915,0.7393652913907919
0.0015167168884709225,0.5543308553191573,0.013065703560570503,0.7391078070922098
0.0016257556664437934,0.5541379864759075,0.01306115759833912,0.7388506486345434
0.0017426333860096508,0.5539453672204442,0.013056617518948278,0.7385938229605923
0.0018679135990207828,0.55375300348502,0.013052083462222516,0.7383373379800267
0.0020022003718155844,0.5535609020197975,0.013047555587264692,0.7380812026930632
0.0021461411978584036,0.5533690704972191,0.013043034074916008,0.7378254273296254
0.002300430119772917,0.5531775176293973,0.013038519130522926,0.7375700235058632
0.002465811075822604,0.5529862533001022,0.013034010987048138,0.7373150044001363
0.0026430814869741054,0.5527952887130991,0.013029509908566925,0.737060384950799
0.002833096101839324,0.5526046365587948,0.013025016194195042,0.736806182078393
0.0030367711180354575,0.5524143112013726,0.013020530182499546,0.7365524149351635
0.0032550885998350564,0.552224328888842,0.013016052256449681,0.7362991051851226
0.0034891012134067737,0.5520347079886992,0.013011582848971493,0.7360462773182657
0.0037399373024787977,0.5518454692522001,0.01300712244917677,0.7357939590029334
0.004008806328898464,0.55165663611057,0.013002671609344792,0.7355421814807601
0.00429700470432084,0.5514682350068444,0.012998230952743876,0.7352909800091258
0.004605922041145104,0.5512802957674274,0.012993801182389119,0.73504039435657
0.004937047852839003,0.5510928520178978,0.012989383090843003,0.7347904693571972
0.005291978735958442,0.5509059416480658,0.012984977571176927,0.7345412555307544
0.005672426068491977,0.550719607331809,0.012980585629223829,0.7342928097757454
0.006080224261649421,0.5505338971077866,0.012976208397265763,0.7340451961437154
0.00651733960488242,0.5503488650277482,0.012971847149314689,0.7337984867036641
0.0069858797467852495,0.5501645718798319,0.012967503318160763,0.7335527625064425
0.007488103857590023,0.5499810859949742,0.012963178514379598,0.7333081146599656
0.008026433522257174,0.5497984841453422,0.012958874547508532,0.7330646455271229
0.008603464416684501,0.5496168525445566,0.012954593449622092,0.7328224700594088
0.009221978823334321,0.5494362879603819,0.012950337501558357,0.7325817172805092
0.009884959046625586,0.5492568989515495,0.012946109262071164,0.7323425319353993
0.010595601792776159,0.5490788072414241,0.01294191160020774,0.7321050763218988
0.01135733358343105,0.5489021492423461,0.012937747731237778,0.7318695323231282
0.012173827277396614,0.5487270777456679,0.012933621256487986,0.7316361036608905
0.013049019780144023,0.5485537637937548,0.012929536207465588,0.7314050183916732
0.01398713102647238,0.5483823987515489,0.01292549709468552,0.7311765316687319
0.014992684327860457,0.5482131965966657,0.012921508961648542,0.7309509287955542
0.016070528182616384,0.5480463964484453,0.012917577444451555,0.730728528597927
0.017225859653987867,0.5478822653578652,0.012913708837546467,0.7305096871438204
0.018464249428955436,0.5477211013817577,0.012909910166200177,0.7302948018423435
0.019791668678535563,0.547563236966341,0.012906189266245207,0.7300843159551214
0.021214517849106298,0.5474090426666642,0.012902554871747813,0.7298787235555524
0.022739657523579274,0.5472589312301485,0.012899016711258017,0.7296785749735314
0.024374441501222206,0.5471133620739929,0.01289558561334304,0.7294844827653238
0.026126752255633278,0.5469728461877481,0.012892273622142103,0.7292971282503308
0.02800503894183631,0.5468379514938483,0.012889094123715349,0.7291172686584644
0.03001835813575589,0.5467093087002897,0.012886061983992813,0.7289457449337196
0.032176417502507354,0.5465876176809277,0.012883193699159468,0.728783490241237
0.03448962260405758,0.5464736544200032,0.012880507559339272,0.728631539226671
0.03696912707195026,0.5463682785584658,0.012878023826463726,0.7284910380779545
0.03962688638701478,0.5462724415804023,0.01287576492722782,0.7283632554405365
0.04247571552536898,0.5461871956783666,0.012873755662047893,0.7282495942378221
0.04552935074866948,0.5461137033366034,0.012872023430940358,0.7281516044488046
0.04880251583654431,0.5460532476710277,0.012870598477237366,0.7280709968947037
0.052310993080562605,0.5460072435643272,0.012869514150043688,0.7280096580857695
0.05607169938205458,0.545977249633672,0.01286880718631833,0.7279696661782292
0.06010276782070382,0.5459649810672118,0.012868518013433682,0.7279533080896157
0.0644236350872137,0.5459723233637982,0.012868691073023871,0.7279630978183975
0.06905513520162328,0.5460013470081911,0.012869375166882706,0.7280017960109215
0.07401959996915641,0.5460543231113782,0.012870623825609521,0.7280724308151709
0.07934096665797492,0.5461337400425887,0.01287249570062952,0.7281783200567851
0.08504489341802678,0.5462423210761443,0.012875054980134035,0.7283230947681926
0.09115888299750818,0.5463830430725132,0.012878371829397184,0.7285107240966843
0.09771241535346496,0.5465591562088927,0.012882522855830185,0.728745541611857
0.10473708979594497,0.5467742047704415,0.01288759159903537,0.7290322730272554
0.11226677735108136,0.5470320490090235,0.012893669046021742,0.7293760653453646
0.12033778407775893,0.5473368880721727,0.012900854171645855,0.7297825174295636
0.1289890261253308,0.5476932840010882,0.01290925450424997,0.7302577120014508
0.1382622173764655,0.5481061867930292,0.012918986716388381,0.7308082490573723
0.14820207057988585,0.5485809605207004,0.012930177240467232,0.7314412806942672
0.15885651294280528,0.5491234104993261,0.012942962909078589,0.7321645473324347
0.17027691722258995,0.5497398114913428,0.012957491619791425,0.7329864153217903
0.18251834943190426,0.5504369369392353,0.012973923024176177,0.7339159159189804
0.1956398343517063,0.5512220892192391,0.012992429240891336,0.7349627856256522
0.2097046401323233,0.5521031309126522,0.013013195592755352,0.7361375078835363
0.22478058335487253,0.5530885170975541,0.013036421367869743,0.7374513561300723
0.24094035602395245,0.5541873286719928,0.013062320605054138,0.7389164382293237
0.2582618760682675,0.5554093067302852,0.01309112290410346,0.740545742307047
0.2768286630392064,0.5567648880271089,0.013123074261684582,0.7423531840361451
0.29673024081888694,0.5582652415795172,0.013158437934054091,0.7443536554393563
0.3180625692794119,0.5599223064748929,0.013197495328200304,0.7465630752998572
0.3409285069746811,0.5617488309730343,0.013240546923488274,0.7489984412973791
0.36543830709572545,0.5637584130128753,0.01328791322641235,0.7516778840171671
0.39171014908092566,0.5659655422585448,0.013339935761631286,0.7546207230113932
0.419870708444391,0.568385643845243,0.013396978103068441,0.7578475251269908
0.4500557675700497,0.5710351240124217,0.01345942694949615,0.7613801653498957
0.48241087041653685,0.5739314178395837,0.013527693249679316,0.7652418904527782
0.5170920242896755,0.5770930393282488,0.013602213382818657,0.7694573857709984
0.5542664520663102,0.5805396341018382,0.013683450400698896,0.7740528454691176
0.5941133984965034,0.584292035022983,0.013771895338601299,0.7790560466973107
0.6368249944718586,0.5883723210546987,0.013868068602674864,0.7844964280729317
0.6826071834272386,0.5928038797176353,0.01397252144206781,0.790405172956847
0.7316807143427192,0.5976114735199846,0.014085837514695531,0.7968152980266461
0.7842822061337682,0.6028213107594463,0.01420863455605892,0.8037617476792619
0.8406652885618325,0.6084611211178487,0.014341566161026666,0.8112814948237983
0.9011018251665018,0.614560236488715,0.014485323688959292,0.8194136486516201
0.9658832241158698,0.621149677496412,0.014640638302985001,0.828199569995216
1.0353218432956617,0.6282622461828664,0.014808283154646567,0.8376829949104887
1.1097524964120722,0.6359326253546407,0.014989075725534354,0.8479101671395209
1.1895340673703196,0.6441974850999426,0.01518388033791631,0.8589299801332568
1.2750512407130128,0.653095597002577,0.015393610846786627,0.8707941293367694
1.366716356462006,0.6626679565986188,0.015619233526197204,0.8835572754648251
1.464971398307285,0.6729579146424477,0.01586177016322775,0.8972772195232636
1.5702901247293775,0.6840113177724857,0.01612230137350904,0.9120150903633143
1.6831803533309566,0.6958766591942566,0.01640197015285663,0.927835545592342
1.8041864093920719,0.708605240029922,0.016701985680315966,0.9448069867065627
1.9338917504552302,0.7222513420198234,0.01702362738877672,0.9630017893597647
2.07292177959537,0.7368724123033208,0.017368249320298925,0.9824965497377611
2.2219468609395236,0.7525292610536634,0.017737284784411566,1.003372348071551
2.381685551976158,0.7692862727950971,0.01813225133890458,1.0257150303934628
2.5529080682395167,0.7872116322899416,0.018554756114038288,1.0496155097199222
2.7364399970746693,0.8063775659489975,0.019006501502641285,1.0751700879319968
2.9331662783900425,0.8268605997902149,0.019489291240254565,1.1024807997202866
3.1440354715915,0.8487418350479194,0.020005036901303265,1.1316557800638927
3.370064329271928,0.8721072426176494,0.020555764839228052,1.1628096568235327
3.6123426997094303,0.8970479776143642,0.021143623600693173,1.1960639701524856
3.8720387818125532,0.9236607153838288,0.021770891845450766,1.2315476205117717
4.150404757850472,0.9520480104991969,0.02243998680797145,1.2693973473322626
4.448782831127585,0.9823186802121402,0.023153473335474135,1.3097582402828536
4.768611697714469,1.0145882141138636,0.023914073543728726,1.3527842854851515
5.111433483440165,1.048979211752194,0.02472467713178986,1.3986389490029254
5.478901179593939,1.0856218501161674,0.025588352400714255,1.4474958001548899
5.872786613189477,1.1246543830137765,0.026508358024007136,1.4995391773517022
6.294988990221888,1.1662236744968673,0.02748815562056759,1.5549648993291563
6.747544053110693,1.2104857686235093,0.02853142318411645,1.6139810248313458
7.2326338964835335,1.2576064979911923,0.029642069426461276,1.6768086639882562
7.752597488629457,1.307762133629758,0.030824249095619663,1.7436828448396775
8.309941949353387,1.3611400790031871,0.03208237933359823,1.8148534386709163
8.907354638610439,1.4179396110450557,0.03342115714276582,1.8905861480600743
9.547716114208056,1.4783726713524015,0.03484557803447181,1.9711635618032022
10.234114021054527,1.5426647108266287,0.03636095593742312,2.0568862811021718
10.96985797892384,1.611055591293792,0.037972944449078117,2.148074121725056
11.758495540521558,1.6838005479602778,0.03968755952094456,2.24506739728037
12.603829296797274,1.7611712164907904,0.04151120366703997,2.3482282886543873
13.50993521198025,1.8434567293038782,0.04345069180382487,2.4579423057385044
14.481182276745331,1.9309648853672996,0.045513278822544065,2.5746198471563995
15.52225357427048,2.0240233984032634,0.04770668900970629,2.6986978645376847
16.638168860761272,2.122981229687637,0.05003914746146279,2.8306416395835163
17.834308769319094,2.293660676900245,0.05406210061256967,3.0582142358669935
19.116440753857,2.3993901194788676,0.05655416747318359,3.199186825971824
20.49074689815846,2.5128740320218683,0.059229008943674825,3.3504987093624914
21.96385372416547,2.6344758167564315,0.06209519049668137,3.512634422341909
23.542864143224154,2.764601633272716,0.06516228540555141,3.686135511030288
25.23539170434766,2.90369985976973,0.06844086204578677,3.8715998130263065
