ma_GeV,c_g2tau_ATLAS,c_g2tau_BelleII,c_g2tau_ATLASPb,c_g2tau_CMS
0.001,357.8008693077731,6.557420137878933,931.4597761307532,1856.772157920611
0.0010233717986325203,357.8009114093139,6.557420909474296,931.4598857333148,1856.7723764023856
0.0010472898382363584,357.80095518230587,6.557421711702361,931.4599996871499,1856.77260355799
0.0010717668854455034,357.80100069144095,6.5574225457487385,931.4601181606708,1856.7728397231372
0.001096816005273138,357.8010480038909,6.557423412844485,931.460241328745,1856.773085246408
0.001122450568085307,357.8010971894032,6.557424314267865,931.4603693729457,1856.7733404897508
0.0011486842567375536,357.8011483204026,6.5574252513462055,931.4605024818152,1856.7736058290054
0.0011755310738783698,357.80120147209493,6.557426225457807,931.4606408511365,1856.7738816544463
0.0012030053494233243,357.80125672257697,6.557427238033948,931.4607846842181,1856.7741683713482
0.0012311217482038907,357.8013141529468,6.557428290560915,931.460934192182,1856.7744664005618
0.0012598952777950272,357.8013738474251,6.55742938458222,931.4610895942789,1856.774776179142
0.0012893412965257157,357.8014358934758,6.557430521700817,931.4612511182032,1856.775098160974
0.001319475521676706,357.8015003819331,6.5574317035814245,931.4614190004227,1856.7754328174337
0.0013503140378698735,357.80156740713466,6.557432931952968,931.4615934865252,1856.7757806380755
0.0013818733056536322,357.8016370670595,6.557434208611113,931.4617748315793,1856.7761421313533
0.001414170170289024,357.8017094634713,6.557435535420882,931.4619633005052,1856.7765178253587
0.0014472218707411344,357.80178470206783,6.557436914319399,931.462159168465,1856.7769082686002
0.0014810460488806755,357.8018628926352,6.5574383473187146,931.4623627212638,1856.777314030802
0.0015156607589006028,357.8019441492105,6.557439836508789,931.4625742557735,1856.7777357037478
0.0015510844769528406,357.8020285902495,6.557441384060562,931.4627940803688,1856.778173902153
0.0015873361110102086,357.80211633880117,6.557442992229153,931.4630225153819,1856.7786292645671
0.001624435010958867,357.8022075226891,6.557444663357186,931.463259893575,1856.7791024543183
0.001662400978926612,357.8023022747017,6.557446399878275,931.4635065606346,1856.7795941604988
0.0017012542798525892,357.80240073278713,6.5574482043205995,931.4637628756807,1856.7801050989776
0.0017410156523040153,357.802503040259,6.557450079310668,931.4640292117995,1856.7806360134655
0.0017817063195457307,357.80260934601,6.557452027577238,931.4643059566024,1856.7811876766268
0.0018233480008684403,357.8027198047305,6.557454051955321,931.464593512793,1856.7817608912114
0.001865962923181746,357.8028345771416,6.557456155390456,931.4648922987759,1856.7823564912667
0.0019095738328780967,357.80295383023105,6.557458340943029,931.4652027492682,1856.782975343358
0.0019542040079740535,357.80307773750644,6.557460611792914,931.4655253159608,1856.7836183478862
0.001999877270535287,357.8032064792501,6.5574629712441475,931.4658604681808,1856.784286440408
0.00204661799939199,357.8033402427902,6.557465422729894,931.4662086935984,1856.7849805930455
0.0020944511431514688,357.80347922278025,6.557467969817573,931.466570498953,1856.7857018159325
0.0021434022335148567,357.8036236214895,6.557470616214173,931.4669464108106,1856.7864511587265
0.00219349739890506,357.80377364910674,6.557473365771827,931.4673369763535,1856.7872297121803
0.002244763378413224,357.8039295240528,6.557476222493533,931.4677427641947,1856.7880386097677
0.0022972275360711512,357.80409147331005,6.557479190539203,931.4681643652355,1856.788879029391
0.0023509178754572866,357.80425973276016,6.557482274231841,931.4686023935444,1856.789752195135
0.002405863054644067,357.804434547539,6.557485478064055,931.4690574872817,1856.7906593791083
0.0024620924014946257,357.8046161724029,6.557488806704766,931.4695303096519,1856.7916019033428
0.0025196359293170162,357.80480487211133,6.557492265006225,931.4700215499009,1856.792581141782
0.002578524352884274,357.80500092182325,6.55749585801127,931.4705319243478,1856.793598522336
0.0026387891048289345,357.8052046075106,6.557499590960915,931.4710621774606,1856.7946555290278
0.0027004623524206823,357.80541622638543,6.557503469302167,931.471613082969,1856.7957537042105
0.0027635770147361603,357.8056360873473,6.557507498696231,931.4721854450281,1856.7968946508865
0.0028281667802300325,357.8058645114453,6.557511685026978,931.4727800994224,1856.7980800351095
0.0028942661247167516,357.8061018323593,6.55751603440976,931.4733979148173,1856.799311588477
0.0029619103297725533,357.80634839689975,6.557520553200577,931.4740397940617,1856.8005911107282
0.003031135501567579,357.80660456552914,6.55752524800563,931.4747066755443,1856.8019204724476
0.003101978590138097,357.80687071289884,6.557530125691157,931.4753995345916,1856.803301617851
0.0031744774091091933,357.80714722841253,6.557535193393764,931.4761193849345,1856.8047365677103
0.003248670655878375,357.80743451680763,6.557540458531077,931.4768672802226,1856.8062274223703
0.0033245979322709418,357.8077329987611,6.557545928812845,931.4776443156,1856.8077763648919
0.003402299765678068,357.8080431115174,6.557551612252456,931.4784516293417,1856.809385664313
0.0034818176306889667,357.8083653095429,6.557557517178917,931.4792904045556,1856.8110576790407
0.003563193971228584,357.80870006520473,6.557563652249305,931.480161870951,1856.8127948603778
0.0036464722232127486,357.8090478694734,6.557570026461641,931.4810673066667,1856.814599756167
0.0037316968377327556,357.8094092326561,6.557576649168333,931.4820080401812,1856.8164750145975
0.003818913304781854,357.80978468515644,6.55758353009009,931.4829854522892,1856.8184233881454
0.003908168177536264,357.81017477826475,6.557590679330418,931.48400097816,1856.820447737678
0.003999509097203665,357.8105800849756,6.557598107390592,931.4850561094648,1856.8225510366933
0.004092984818452442,357.81100120084085,6.557605825185299,931.486152396599,1856.8247363757491
0.004188645235435271,357.8114387448521,6.557613844058803,931.4872914509773,1856.8270069670407
0.004286541408420925,357.81189336035874,6.557622175801775,931.4884749474256,1856.829366149166
0.0043867255910484985,357.81236571601994,6.557630832668739,931.4897046266584,1856.8318173920657
