ma_GeV,cl_g2e+cgg,cl_g2e-cgg,cl_g2mu+cgg,cl_g2mu-cgg,cl_g2tauBII+cgg,cl_g2tauBII-cgg,cl_g2tauATLAS+cgg,cl_g2tauATLAS-cgg
0.001,25.554235839579025,94.83105351478405,,,5.848060570880694,7.609027598940723,319.0951795110152,415.1810669810849
0.0010233717986325203,25.6333183590863,87.9502741506112,,,5.848062530675029,7.609025693198787,319.0952864457703,415.1809629956597
0.0010472898382363584,25.712737347239532,82.42162227066653,,,5.84806454519348,7.609023762642369,319.09539636650703,415.1808576562502
0.0010717668854455034,25.792469209137877,77.85762906370549,,,5.848066616047426,7.609021807427205,319.09550936114925,415.18075097135426
0.001096816005273138,25.872490029177676,74.0104131715163,,,5.848068744898457,7.609019827740465,319.0956255203603,415.18064295118444
0.001122450568085307,25.95277560173915,70.71304203000122,,,5.8480709334600345,7.609017823802583,319.0957449376339,415.1805336077688
0.0011486842567375536,26.033301462864447,67.84843672246699,,,5.848073183499237,7.609015795869223,319.0958677093896,415.1804229550572
0.0011755310738783698,26.114042922851898,65.3317303696095,,,5.84807549683856,7.609013744233288,319.0959939350703,415.1803110090318
0.0012030053494233243,26.194975099685614,63.09970147485837,,,5.848077875357776,7.6090116692270735,319.09612371724455,415.18019778782417
0.0012311217482038907,26.27607295321796,61.10415643075512,,,5.848080320995837,7.609009571224426,319.0962571617099,415.1800833118328
0.0012598952777950272,26.357311320011856,59.30762766050824,,,5.848082835752923,7.609007450643176,319.09639437760455,415.17996760385637
0.0012893412965257157,26.438664948752404,57.68048695331973,,,5.848085421692482,7.609005307947541,319.0965354775193,415.17985068922457
0.001319475521676706,26.52010853613074,56.19895479329306,,,5.848088080943381,7.609003143650682,319.0966805776141,415.17973259593765
0.0013503140378698735,26.601616763095137,54.84369454438104,,,5.848090815702133,7.6090009583174,319.09682979774004,415.1796133548137
0.0013818733056536322,26.683164331369802,53.59879870611155,,,5.848093628235211,7.6089987525669756,319.09698326156564,415.17949299964306
0.001414170170289024,26.76472600013425,52.45104424445329,,,5.84809652088143,7.608996527076086,319.0971410967066,415.17937156734837
0.0014472218707411344,26.846276622755077,51.38933647547664,,,5.848099496054433,7.608994282581922,319.09730343486154,415.1792490981537
0.0014810460488806755,26.927791183455764,50.40428756099647,,,5.848102556245241,7.60899201988538,319.09747041195146,415.17912563575953
0.0015156607589006028,27.009244833825406,49.48789273051106,,,5.848105704024944,7.608989739854478,319.0976421682656,415.1790012275286
0.0015510844769528406,27.090612929041338,48.63327853488957,,,5.848108942047439,7.6089874434279,319.0978188486124,415.1788759246795
0.0015873361110102086,27.171871063708473,47.8345049291038,,,5.848112273052304,7.608985131618679,319.09800060247466,415.1787497824877
0.001624435010958867,27.252995107194124,47.08640809065374,,,5.848115699867752,7.608982805518074,319.09818758417185,415.1786228604969
0.001662400978926612,27.333961238361,46.38447442238482,,,5.848119225413727,7.608980466299656,319.0983799530285,415.1784952227421
0.0017012542798525892,27.414745979580793,45.724738682736955,,,5.848122852705066,7.608978115223494,319.0985778735471,415.1783669379782
0.0017410156523040153,27.495326229939067,45.10370096689116,,,5.848126584854814,7.608975753640626,319.09878151558866,415.1782380799234
0.0017817063195457307,27.575679297513716,44.5182585507425,,,5.848130425077677,7.608973382997718,319.0989910545613,415.1781087275141
0.0018233480008684403,27.655782930647067,43.96564955214408,,,5.848134376693527,7.608971004841831,319.09920667161134,415.1779789651647
0.001865962923181746,27.73561534810837,43.4434060621882,,,5.848138443131133,7.6089686208255864,319.0994285538272,415.177848883049
0.0019095738328780967,27.815155268058238,42.94931492120941,,,5.848142627931929,7.608966232712338,319.09965689444454,415.17771857738336
0.0019542040079740535,27.894381935747816,42.48138470832117,,,5.848146934754035,7.608963842381844,319.0998918930661,415.1775881507353
0.001999877270535287,27.973275149852096,42.03781781410814,,,5.848151367376311,7.608961451835926,319.10013375588267,415.17745771233274
0.00204661799939199,28.051815287378787,41.616986696649754,,,5.848155929702641,7.608959063204568,319.1003826959067,415.1773273783968
0.0020944511431514688,28.129983327096,41.21741359999215,,,5.848160625766339,7.6089566787522065,319.1006389332132,415.17719727248465
0.0021434022335148567,28.207760871402993,40.83775315400661,,,5.848165459734723,7.608954300884301,319.10090269518867,415.1770675258487
0.00219349739890506,28.285130166616067,40.476777383979446,,,5.848170435913869,7.608951932154241,319.10117421679126,415.17693827781255
0.002244763378413224,28.362074121577624,40.13336274563413,,,5.848175558753516,7.608949575270467,319.1014537408175,415.17680967616053
0.0022972275360711512,28.438576324632592,39.80647886949527,,,5.848180832852188,7.608947233104041,319.10174151818273,415.17668187754975
0.0023509178754572866,28.514621058842277,39.495178755203895,,,5.848186262962465,7.608944908696392,319.10203780820785,415.1765550479339
0.002405863054644067,28.59019331551235,39.19859019957099,,,5.848191853996478,7.608942605267524,319.10234287891984,415.17642936300996
0.0024620924014946257,28.66527880593583,38.91590827961228,,,5.848197611031584,7.608940326224503,319.10265700736096,415.17630500868205
0.0025196359293170162,28.739863971394982,38.64638874024331,,,5.848203539316275,7.608938075170358,319.1029804799113,415.17618218154684
0.002578524352884274,28.8139359914028,38.38934216091267,,,5.848209644276278,7.608935855913341,319.1033135926219,415.17606108939884
0.0026387891048289345,28.887482790238455,38.14412879479075,,,5.84821593152091,7.608933672476612,319.1036566515608,415.17594195175883
0.0027004623524206823,28.960493041658683,37.91015399152965,,,5.848222406849627,7.608931529108284,319.1040099731713,415.17582500042204
0.0027635770147361603,29.032956171931193,37.68686412660581,,,5.8482290762588525,7.608929430291978,319.1043738846439,415.175710480034
